Dataset,Cohort Size,Num Features,Method,Feature Name,Score
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_11,1.0000001495731567
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_11,1.0000001495731567
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_11,1.0000001495731567
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_159,1.000000145904658
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_13,1.0000001440167106
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_13,1.0000001440167106
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_13,1.0000001440167106
Complete Cohort,135723,2073,Variance Threshold,Native_Hawiian_or_Pacific_Islander,1.0000001388762505
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G0_2,1.0000001379013337
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_245,1.0000001377272436
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Merced,1.0000001377272434
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_52,1.0000001377272434
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Camden,1.0000001377272434
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Indiana,1.0000001377272434
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Dearborn,1.0000001377272432
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_44,1.0000001377272432
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_66,1.0000001377272432
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Craven,1.0000001377272432
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_18_1,1.0000001377272432
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_5CHKT,1.000000137591245
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CGKT,1.000000134715257
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1BFKS,1.0000001325354482
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_0,1.0000001299652406
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1BFLS,1.0000001288904876
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_McLean,1.0000001288904874
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Roanoke,1.0000001288904874
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Beaufort,1.0000001288904872
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2BGLS,1.0000001269649061
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_364,1.0000001265762588
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CGKW,1.0000001244601824
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Rock,1.0000001238461438
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CGPU,1.0000001238461438
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Allegan,1.0000001238461438
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_25,1.0000001238461438
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_25,1.0000001238461438
