Dataset,Cohort Size,Num Features,Method,Feature Name,Score
Complete Cohort,62449,754,Variance Threshold,pcd,1.0000001458875254
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1AHKS,1.0000001445132152
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_Other,1.0000001363108515
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CHKU,1.0000001349727166
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_21,1.0000001252147783
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_21,1.0000001252147783
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_21,1.0000001252147783
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Nueces,1.0000001199243156
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_Other,1.0000001139416104
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Gregg,1.0000001093101376
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_2AFMS,1.0000001084744432
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CGKU,1.0000001084744432
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_9,1.0000001084744432
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CHKV,1.0000001033632333
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_14,1.0000000969283607
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_17,1.0000000966953266
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_11,1.0000000949349563
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_11_1,1.0000000949084633
Complete Cohort,62449,754,Variance Threshold,hp,1.000000094594182
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CHLS,1.000000094594182
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_32,1.000000093678175
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_32,1.000000093678175
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Denton,1.0000000927452914
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_35,1.0000000927452912
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_35,1.0000000927452912
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_2BHLS,1.0000000926066726
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_24,1.0000000915869787
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_24,1.0000000915869787
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G1_24,1.0000000915869787
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CGKT,1.0000000907436077
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_Other,1.0000000901875128
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_19,1.0000000892229497
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_19,1.0000000892229497
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G1_19,1.0000000892229497
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_Other,1.0000000869222416
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_4,1.0000000869089734
