Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Random Forest,ROC_AUC,0.5999609606105631,0.580375585505881,0.6235583263544353,0.6000 (0.5804 - 0.6236)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Random Forest,PR_AUC,0.5108573062406604,0.48148296578526656,0.542455649048026,0.5109 (0.4815 - 0.5425)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Random Forest,F1_Score,0.6077733203285488,0.5878298202898523,0.6254956550998264,0.6078 (0.5878 - 0.6255)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Random Forest,Accuracy,0.5019075520833333,0.4812934027777778,0.5208550347222223,0.5019 (0.4813 - 0.5209)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Random Forest,Precision,0.4590771525840491,0.4386181687232663,0.47842018531771446,0.4591 (0.4386 - 0.4784)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Random Forest,Recall_Sensitivity,0.8992735233803589,0.8788972359273663,0.9159112164431313,0.8993 (0.8789 - 0.9159)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Random Forest,Specificity,0.20299856150490675,0.18198783110328268,0.22321719794978623,0.2030 (0.1820 - 0.2232)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Random Forest,Brier_Score,0.24012214407595014,0.23472238803878312,0.24511338382562348,0.2401 (0.2347 - 0.2451)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,LightGBM,ROC_AUC,0.5960292191243585,0.5693947048780803,0.6188408945979694,0.5960 (0.5694 - 0.6188)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,LightGBM,PR_AUC,0.5098660965086471,0.47497959965841663,0.5452751473698438,0.5099 (0.4750 - 0.5453)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,LightGBM,F1_Score,0.605080024368421,0.5860228940208135,0.6261540352505245,0.6051 (0.5860 - 0.6262)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,LightGBM,Accuracy,0.4482183159722222,0.4296875,0.46878255208333336,0.4482 (0.4297 - 0.4688)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,LightGBM,Precision,0.43673652003679564,0.41729380079824846,0.4581711334725197,0.4367 (0.4173 - 0.4582)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,LightGBM,Recall_Sensitivity,0.984996114392848,0.9754767341059443,0.9928267326732674,0.9850 (0.9755 - 0.9928)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,LightGBM,Specificity,0.04447432060115707,0.03430090659530786,0.055059686160603596,0.0445 (0.0343 - 0.0551)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,LightGBM,Brier_Score,0.2621133831119252,0.2526434148915705,0.27248315662331835,0.2621 (0.2526 - 0.2725)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Logistic Regression,ROC_AUC,0.5805175484316308,0.5561137331530545,0.6030014203076043,0.5805 (0.5561 - 0.6030)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Logistic Regression,PR_AUC,0.5029340422504326,0.46993205427946255,0.5345991853603902,0.5029 (0.4699 - 0.5346)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Logistic Regression,F1_Score,0.6006217550386796,0.5825790691621514,0.6199667449502264,0.6006 (0.5826 - 0.6200)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Logistic Regression,Accuracy,0.42927951388888885,0.4110134548611111,0.4492404513888889,0.4293 (0.4110 - 0.4492)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Logistic Regression,Precision,0.42927951388888885,0.4110134548611111,0.4492404513888889,0.4293 (0.4110 - 0.4492)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Logistic Regression,Recall_Sensitivity,1.0,1.0,1.0,1.0000 (1.0000 - 1.0000)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Logistic Regression,Specificity,0.0,0.0,0.0,0.0000 (0.0000 - 0.0000)
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),11517,2075,Logistic Regression,Brier_Score,0.288734326813969,0.2782393442727087,0.30127044514849893,0.2887 (0.2782 - 0.3013)
