Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Random Forest,ROC_AUC,0.5885118363241253,0.5672075729514092,0.6084988192400345,0.5885 (0.5672 - 0.6085)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Random Forest,PR_AUC,0.5008753917852592,0.47364053432071185,0.5282924540747576,0.5009 (0.4736 - 0.5283)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Random Forest,F1_Score,0.5945834891797344,0.5774989767056219,0.6119961233287761,0.5946 (0.5775 - 0.6120)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Random Forest,Accuracy,0.44798458904109595,0.4324914383561644,0.4636986301369863,0.4480 (0.4325 - 0.4637)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Random Forest,Precision,0.4290619104377494,0.41189231998104725,0.44618525108854584,0.4291 (0.4119 - 0.4462)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Random Forest,Recall_Sensitivity,0.9682934708961768,0.957951651423167,0.9773918321575501,0.9683 (0.9580 - 0.9774)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Random Forest,Specificity,0.07405163877935603,0.06286088420917284,0.08662095041920996,0.0741 (0.0629 - 0.0866)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Random Forest,Brier_Score,0.23914414943119752,0.2350972461226746,0.24337015837861092,0.2391 (0.2351 - 0.2434)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,LightGBM,ROC_AUC,0.6039792414163349,0.5806554150655815,0.6220765744468613,0.6040 (0.5807 - 0.6221)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,LightGBM,PR_AUC,0.5202423592235881,0.49053051903932515,0.5433617525808665,0.5202 (0.4905 - 0.5434)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,LightGBM,F1_Score,0.5966384085364409,0.5800035030457972,0.6134108572586061,0.5966 (0.5800 - 0.6134)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,LightGBM,Accuracy,0.4722739726027397,0.45476027397260277,0.48940068493150685,0.4723 (0.4548 - 0.4894)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,LightGBM,Precision,0.43846284202516456,0.4212708614201976,0.45537705783518817,0.4385 (0.4213 - 0.4554)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,LightGBM,Recall_Sensitivity,0.9336241412617542,0.916932216062193,0.9466279345989127,0.9336 (0.9169 - 0.9466)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,LightGBM,Specificity,0.1407355557124124,0.12425082636767026,0.15820788177826303,0.1407 (0.1243 - 0.1582)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,LightGBM,Brier_Score,0.2527988329355157,0.24579533929582542,0.26119165309871806,0.2528 (0.2458 - 0.2612)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Logistic Regression,ROC_AUC,0.588902954806898,0.5681696955039485,0.6098105305100487,0.5889 (0.5682 - 0.6098)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Logistic Regression,PR_AUC,0.5003668739479237,0.4741903850279716,0.5267423866446653,0.5004 (0.4742 - 0.5267)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Logistic Regression,F1_Score,0.5890626954053083,0.570463187926886,0.6065019912191957,0.5891 (0.5705 - 0.6065)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Logistic Regression,Accuracy,0.41813527397260275,0.4002739726027397,0.43596746575342465,0.4181 (0.4003 - 0.4360)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Logistic Regression,Precision,0.4179739439935617,0.40001035894084797,0.43539221876062495,0.4180 (0.4000 - 0.4354)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Logistic Regression,Recall_Sensitivity,0.9975761833613547,0.9944484085000287,1.0,0.9976 (0.9944 - 1.0000)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Logistic Regression,Specificity,0.001727118853084334,0.0,0.00412025282630182,0.0017 (0.0000 - 0.0041)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Logistic Regression,Brier_Score,0.2813866258506989,0.2702810344721481,0.29170840782256396,0.2814 (0.2703 - 0.2917)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Gradient Boosting,ROC_AUC,0.6271418881546781,0.6073786308585958,0.6451930114353804,0.6271 (0.6074 - 0.6452)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Gradient Boosting,PR_AUC,0.5464649918410657,0.5181945315810298,0.5719480315492712,0.5465 (0.5182 - 0.5719)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Gradient Boosting,F1_Score,0.589207103797044,0.5714940684016818,0.6072682544802861,0.5892 (0.5715 - 0.6073)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Gradient Boosting,Accuracy,0.5220667808219178,0.5058219178082192,0.5387071917808219,0.5221 (0.5058 - 0.5387)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Gradient Boosting,Precision,0.45990361540508523,0.4397241759305419,0.4788529721052544,0.4599 (0.4397 - 0.4789)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Gradient Boosting,Recall_Sensitivity,0.8199015299075225,0.8037599862171061,0.8375182984115886,0.8199 (0.8038 - 0.8375)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Gradient Boosting,Specificity,0.3080207577251022,0.28545680668082263,0.33121362048894065,0.3080 (0.2855 - 0.3312)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Gradient Boosting,Brier_Score,0.23579490628173183,0.2319818770415958,0.2401127179140864,0.2358 (0.2320 - 0.2401)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,CatBoost,ROC_AUC,0.6174474762540373,0.6000777177134071,0.6372702112746036,0.6174 (0.6001 - 0.6373)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,CatBoost,PR_AUC,0.5329631911836711,0.5050248095374619,0.5614133864070395,0.5330 (0.5050 - 0.5614)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,CatBoost,F1_Score,0.5935581698552174,0.5740485533270944,0.6115471879327301,0.5936 (0.5740 - 0.6115)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,CatBoost,Accuracy,0.49679109589041104,0.4794434931506849,0.5147602739726027,0.4968 (0.4794 - 0.5148)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,CatBoost,Precision,0.44814566742692646,0.4272643191393839,0.46878303860454884,0.4481 (0.4273 - 0.4688)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,CatBoost,Recall_Sensitivity,0.8789397031313863,0.8623413482108383,0.8962233332638209,0.8789 (0.8623 - 0.8962)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,CatBoost,Specificity,0.22217355870348918,0.20389243820695435,0.24146977990253815,0.2222 (0.2039 - 0.2415)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,CatBoost,Brier_Score,0.23829992230152186,0.234069612477783,0.24302496553037317,0.2383 (0.2341 - 0.2430)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,XGBoost,ROC_AUC,0.6134427563120669,0.593618405222371,0.6322464413361522,0.6134 (0.5936 - 0.6322)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,XGBoost,PR_AUC,0.5225777141846427,0.4925268933514465,0.549189911978155,0.5226 (0.4925 - 0.5492)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,XGBoost,F1_Score,0.5941441645811057,0.5758965036828638,0.6115312560927606,0.5941 (0.5759 - 0.6115)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,XGBoost,Accuracy,0.5137191780821918,0.49690924657534247,0.5287842465753425,0.5137 (0.4969 - 0.5288)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,XGBoost,Precision,0.456329682964568,0.43726140607586017,0.47352588792628647,0.4563 (0.4373 - 0.4735)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,XGBoost,Recall_Sensitivity,0.851462959979832,0.8334614212833135,0.8695723802019912,0.8515 (0.8335 - 0.8696)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,XGBoost,Specificity,0.2709877688372512,0.25025469041882126,0.29086433971485914,0.2710 (0.2503 - 0.2909)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,XGBoost,Brier_Score,0.24263383059495056,0.23724659011558455,0.2482057134839887,0.2426 (0.2372 - 0.2482)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard MLP,ROC_AUC,0.5983176721499288,0.5787991047624022,0.6169816467347199,0.5983 (0.5788 - 0.6170)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard MLP,PR_AUC,0.5059792710127065,0.4773892289104667,0.5347498745221116,0.5060 (0.4774 - 0.5347)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard MLP,F1_Score,0.590886343018471,0.572383706112987,0.6088283472149091,0.5909 (0.5724 - 0.6088)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard MLP,Accuracy,0.4489828767123288,0.43012842465753426,0.4661130136986301,0.4490 (0.4301 - 0.4661)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard MLP,Precision,0.42847956223853023,0.40994424865340373,0.44637625729724534,0.4285 (0.4099 - 0.4464)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard MLP,Recall_Sensitivity,0.9518423102430507,0.9415525383707202,0.9636556529909177,0.9518 (0.9416 - 0.9637)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard MLP,Specificity,0.08760669495718033,0.07396632163084392,0.10249537602949192,0.0876 (0.0740 - 0.1025)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard MLP,Brier_Score,0.2400691376834388,0.23648453143543005,0.24410109392168017,0.2401 (0.2365 - 0.2441)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard Transformer,ROC_AUC,0.5432406179460856,0.5188062202619158,0.5641490383492299,0.5432 (0.5188 - 0.5641)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard Transformer,PR_AUC,0.47546195132489616,0.44338251916583804,0.5020255180133374,0.4755 (0.4434 - 0.5020)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard Transformer,F1_Score,0.5896536741060462,0.5720746954541427,0.606546129383029,0.5897 (0.5721 - 0.6065)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard Transformer,Accuracy,0.41814383561643836,0.4006335616438356,0.4352825342465753,0.4181 (0.4006 - 0.4353)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard Transformer,Precision,0.41814383561643836,0.4006335616438356,0.4352825342465753,0.4181 (0.4006 - 0.4353)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard Transformer,Recall_Sensitivity,1.0,1.0,1.0,1.0000 (1.0000 - 1.0000)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard Transformer,Specificity,0.0,0.0,0.0,0.0000 (0.0000 - 0.0000)
Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard Transformer,Brier_Score,0.24953829990886164,0.2494287760452397,0.2496620396832947,0.2495 (0.2494 - 0.2497)
