Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Random Forest,ROC_AUC,0.6193634925363591,0.6038343276592982,0.6324680850776868,0.6194 (0.6038 - 0.6325)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Random Forest,PR_AUC,0.41605687557217425,0.39522941999424976,0.43542389198378323,0.4161 (0.3952 - 0.4354)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Random Forest,F1_Score,0.4995875537533763,0.48478032857123976,0.513648366147183,0.4996 (0.4848 - 0.5136)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Random Forest,Accuracy,0.4829340875553369,0.4702287260206591,0.49483521888834237,0.4829 (0.4702 - 0.4948)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Random Forest,Precision,0.3601907315532015,0.34586613246565684,0.37389081954650544,0.3602 (0.3459 - 0.3739)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Random Forest,Recall_Sensitivity,0.8152479874826555,0.7972034531314164,0.8328333333333333,0.8152 (0.7972 - 0.8328)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Random Forest,Specificity,0.32895225730126415,0.3135187970184755,0.34368143078264524,0.3290 (0.3135 - 0.3437)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Random Forest,Brier_Score,0.2118761323209485,0.20844827390578052,0.2156522698471216,0.2119 (0.2084 - 0.2157)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,LightGBM,ROC_AUC,0.6505876358288581,0.6370281372252281,0.6657757760022678,0.6506 (0.6370 - 0.6658)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,LightGBM,PR_AUC,0.4618716729168292,0.44063873071859216,0.4829456097103659,0.4619 (0.4406 - 0.4829)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,LightGBM,F1_Score,0.5029410086195769,0.48677325120637344,0.5165242556130167,0.5029 (0.4868 - 0.5165)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,LightGBM,Accuracy,0.46238235776356773,0.44906951959337593,0.4720814887686506,0.4624 (0.4491 - 0.4721)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,LightGBM,Precision,0.3555831061154569,0.3413984365382559,0.36737668886513,0.3556 (0.3414 - 0.3674)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,LightGBM,Recall_Sensitivity,0.8590934130774298,0.8450103933418939,0.8734286657223244,0.8591 (0.8450 - 0.8734)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,LightGBM,Specificity,0.27854356363076344,0.2641964501328182,0.28963230383963817,0.2785 (0.2642 - 0.2896)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,LightGBM,Brier_Score,0.2167813479580728,0.21154159708766504,0.22165554066132856,0.2168 (0.2115 - 0.2217)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Gradient Boosting,ROC_AUC,0.6599498042340017,0.6422348905168669,0.6738044007302402,0.6599 (0.6422 - 0.6738)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Gradient Boosting,PR_AUC,0.4748422647381747,0.4511509435435356,0.5004779891369746,0.4748 (0.4512 - 0.5005)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Gradient Boosting,F1_Score,0.5136284234105255,0.4994966557912485,0.5273940363020977,0.5136 (0.4995 - 0.5274)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Gradient Boosting,Accuracy,0.5075815707493032,0.49433923594031803,0.5181218232497131,0.5076 (0.4943 - 0.5181)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Gradient Boosting,Precision,0.3737091313206212,0.3609700203738083,0.38652038685235346,0.3737 (0.3610 - 0.3865)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Gradient Boosting,Recall_Sensitivity,0.8212551953742758,0.8018232414916672,0.8381412572254335,0.8213 (0.8018 - 0.8381)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Gradient Boosting,Specificity,0.36222581049864366,0.3471736896256761,0.3771373976726369,0.3622 (0.3472 - 0.3771)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,Gradient Boosting,Brier_Score,0.2271195214918057,0.22436178821893432,0.22996575790652443,0.2271 (0.2244 - 0.2300)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,CatBoost,ROC_AUC,0.6710660537660017,0.6552395729422257,0.6841587324861228,0.6711 (0.6552 - 0.6842)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,CatBoost,PR_AUC,0.4909267727522083,0.4690586249605077,0.5117172795591903,0.4909 (0.4691 - 0.5117)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,CatBoost,F1_Score,0.5208693281053028,0.506123259703481,0.5357410351792508,0.5209 (0.5061 - 0.5357)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,CatBoost,Accuracy,0.553459583538285,0.5411993769470405,0.5656910969011314,0.5535 (0.5412 - 0.5657)
Nationwide Cohort,Diabetes + Hypertension (d+hyp),30493,2075,CatBoost,Precision,0.39447716326004056,0.38026086677948345,0.4095763196635121,0.3945 (0.3803 - 0.4096)
