Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Random Forest,ROC_AUC,0.6324959326380096,0.6211934880004053,0.6439311651564765,0.6325 (0.6212 - 0.6439)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Random Forest,PR_AUC,0.4800602499659462,0.4618203519335342,0.49817294166286114,0.4801 (0.4618 - 0.4982)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Random Forest,F1_Score,0.525249185509731,0.5126292627393269,0.5385204183032365,0.5252 (0.5126 - 0.5385)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Random Forest,Accuracy,0.542716606498195,0.5332099879663057,0.553083634175692,0.5427 (0.5332 - 0.5531)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Random Forest,Precision,0.41211498017584325,0.3993196111472947,0.42530705064096735,0.4121 (0.3993 - 0.4253)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Random Forest,Recall_Sensitivity,0.7241396178327963,0.7098236168651016,0.739028056022433,0.7241 (0.7098 - 0.7390)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Random Forest,Specificity,0.4453101360525797,0.4333244296166689,0.4557061025471386,0.4453 (0.4333 - 0.4557)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Random Forest,Brier_Score,0.2189758077595883,0.21626452978538294,0.221891166031314,0.2190 (0.2163 - 0.2219)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,LightGBM,ROC_AUC,0.6482261316662752,0.6366001113337881,0.6581661540565026,0.6482 (0.6366 - 0.6582)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,LightGBM,PR_AUC,0.49842819939793725,0.47674712848451817,0.5170305336527741,0.4984 (0.4767 - 0.5170)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,LightGBM,F1_Score,0.5375008086162666,0.5246104480989874,0.5512282333897897,0.5375 (0.5246 - 0.5512)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,LightGBM,Accuracy,0.5195968712394705,0.5086582430806258,0.5291365824308063,0.5196 (0.5087 - 0.5291)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,LightGBM,Precision,0.40496590667182636,0.3918158198437913,0.4179437467748304,0.4050 (0.3918 - 0.4179)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,LightGBM,Recall_Sensitivity,0.7991127318017593,0.7878249757431315,0.8132030485593834,0.7991 (0.7878 - 0.8132)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,LightGBM,Specificity,0.3694941399703599,0.35802760421525415,0.38182914809595886,0.3695 (0.3580 - 0.3818)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,LightGBM,Brier_Score,0.22490846732674818,0.22186611764663178,0.2284624027259332,0.2249 (0.2219 - 0.2285)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,CatBoost,ROC_AUC,0.660835528606074,0.6499810773228557,0.6716622130256074,0.6608 (0.6500 - 0.6717)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,CatBoost,PR_AUC,0.510362534300089,0.49093852312021513,0.52929801350115,0.5104 (0.4909 - 0.5293)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,CatBoost,F1_Score,0.5399584718162771,0.528416475998882,0.5528660409419214,0.5400 (0.5284 - 0.5529)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,CatBoost,Accuracy,0.5448309265944644,0.5350180505415163,0.5560770156438026,0.5448 (0.5350 - 0.5561)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,CatBoost,Precision,0.417363874107903,0.40453148109069803,0.43025517717713896,0.4174 (0.4045 - 0.4303)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,CatBoost,Recall_Sensitivity,0.764662029829176,0.7498264606693695,0.7788810585873882,0.7647 (0.7498 - 0.7789)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,CatBoost,Specificity,0.4267914290867176,0.413238742766029,0.4399273513580997,0.4268 (0.4132 - 0.4399)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,CatBoost,Brier_Score,0.22704718020448056,0.22412091089538244,0.23009632656158333,0.2270 (0.2241 - 0.2301)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,XGBoost,ROC_AUC,0.6560625162568328,0.64482768073389,0.6675025855917125,0.6561 (0.6448 - 0.6675)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,XGBoost,PR_AUC,0.5022096445330146,0.48285793609542593,0.520082598262097,0.5022 (0.4829 - 0.5201)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,XGBoost,F1_Score,0.5382178049576849,0.5254085477063353,0.552369712332564,0.5382 (0.5254 - 0.5524)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,XGBoost,Accuracy,0.5612430806257521,0.5498194945848376,0.5723285198555956,0.5612 (0.5498 - 0.5723)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,XGBoost,Precision,0.42562184392124647,0.4117701530086907,0.4397281461618112,0.4256 (0.4118 - 0.4397)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,XGBoost,Recall_Sensitivity,0.7319468897021271,0.7165214617608885,0.7465958018700115,0.7319 (0.7165 - 0.7466)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,XGBoost,Specificity,0.46958189806946427,0.4537881645145732,0.48279060604487484,0.4696 (0.4538 - 0.4828)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,XGBoost,Brier_Score,0.22546421106846776,0.22235836357978667,0.22876705758625218,0.2255 (0.2224 - 0.2288)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Gradient Boosting,ROC_AUC,0.6577358502684512,0.6455640097766532,0.6690943849327805,0.6577 (0.6456 - 0.6691)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Gradient Boosting,PR_AUC,0.5112365705723656,0.4914485913926853,0.5304751724222069,0.5112 (0.4914 - 0.5305)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Gradient Boosting,F1_Score,0.5403930861558887,0.5283927033073039,0.5525441866139377,0.5404 (0.5284 - 0.5525)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Gradient Boosting,Accuracy,0.517621540312876,0.5070908543922985,0.5265974729241877,0.5176 (0.5071 - 0.5266)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Gradient Boosting,Precision,0.4050296163432891,0.39248108304143764,0.41667918454935626,0.4050 (0.3925 - 0.4167)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Gradient Boosting,Recall_Sensitivity,0.811795137181722,0.7979006050343963,0.8255104906049475,0.8118 (0.7979 - 0.8255)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Gradient Boosting,Specificity,0.3596596574980935,0.34848444533258804,0.3733192387491164,0.3597 (0.3485 - 0.3733)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Gradient Boosting,Brier_Score,0.22843537217641768,0.2255337705486031,0.23096368731390626,0.2284 (0.2255 - 0.2310)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Logistic Regression,ROC_AUC,0.6328629735780417,0.6194489230329927,0.6443607918905118,0.6329 (0.6194 - 0.6444)
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),41550,2075,Logistic Regression,PR_AUC,0.47597460561488203,0.45625408558419656,0.495609145716337,0.4760 (0.4563 - 0.4956)
