Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,Heart Failure (hf),31542,2075,Random Forest,ROC_AUC,0.6458504707391255,0.6323110646536515,0.6623669306140518,0.6459 (0.6323 - 0.6624)
Nationwide Cohort,Heart Failure (hf),31542,2075,Random Forest,PR_AUC,0.46672515974574574,0.4390828209958994,0.4902646953374249,0.4667 (0.4391 - 0.4903)
Nationwide Cohort,Heart Failure (hf),31542,2075,Random Forest,F1_Score,0.5019900050084242,0.48736678970709235,0.5193443653650589,0.5020 (0.4874 - 0.5193)
Nationwide Cohort,Heart Failure (hf),31542,2075,Random Forest,Accuracy,0.5156268822317324,0.5033840545252813,0.5290933586939294,0.5156 (0.5034 - 0.5291)
Nationwide Cohort,Heart Failure (hf),31542,2075,Random Forest,Precision,0.37321309899234223,0.3584585953175061,0.3888091392746848,0.3732 (0.3585 - 0.3888)
Nationwide Cohort,Heart Failure (hf),31542,2075,Random Forest,Recall_Sensitivity,0.7666715911054404,0.7493718239432251,0.7855484106328067,0.7667 (0.7494 - 0.7855)
Nationwide Cohort,Heart Failure (hf),31542,2075,Random Forest,Specificity,0.3983196034552378,0.3843943757344561,0.41077908504310295,0.3983 (0.3844 - 0.4108)
Nationwide Cohort,Heart Failure (hf),31542,2075,Random Forest,Brier_Score,0.20735729755973728,0.20403993294725573,0.21050283092992877,0.2074 (0.2040 - 0.2105)
Nationwide Cohort,Heart Failure (hf),31542,2075,LightGBM,ROC_AUC,0.6653146808660659,0.6519468660994489,0.6788733049625003,0.6653 (0.6519 - 0.6789)
Nationwide Cohort,Heart Failure (hf),31542,2075,LightGBM,PR_AUC,0.48044373124668466,0.4563616942515955,0.5026802332485049,0.4804 (0.4564 - 0.5027)
Nationwide Cohort,Heart Failure (hf),31542,2075,LightGBM,F1_Score,0.5137055851554148,0.49810708718071706,0.527785129426769,0.5137 (0.4981 - 0.5278)
Nationwide Cohort,Heart Failure (hf),31542,2075,LightGBM,Accuracy,0.5412070058646379,0.5297075606276748,0.5536614360437471,0.5412 (0.5297 - 0.5537)
Nationwide Cohort,Heart Failure (hf),31542,2075,LightGBM,Precision,0.387755290559618,0.3713800864261316,0.4036139524192621,0.3878 (0.3714 - 0.4036)
Nationwide Cohort,Heart Failure (hf),31542,2075,LightGBM,Recall_Sensitivity,0.7610514931312977,0.7432277582100306,0.7779162271252874,0.7611 (0.7432 - 0.7779)
Nationwide Cohort,Heart Failure (hf),31542,2075,LightGBM,Specificity,0.43848239604470507,0.4241401476392026,0.4517983698183512,0.4385 (0.4241 - 0.4518)
Nationwide Cohort,Heart Failure (hf),31542,2075,LightGBM,Brier_Score,0.21268279016968034,0.20849852018713835,0.2166383885288849,0.2127 (0.2085 - 0.2166)
Nationwide Cohort,Heart Failure (hf),31542,2075,Gradient Boosting,ROC_AUC,0.681469461490609,0.6694870763961672,0.6982553297644868,0.6815 (0.6695 - 0.6983)
Nationwide Cohort,Heart Failure (hf),31542,2075,Gradient Boosting,PR_AUC,0.5074047499576085,0.4843250368659768,0.5340167384432135,0.5074 (0.4843 - 0.5340)
Nationwide Cohort,Heart Failure (hf),31542,2075,Gradient Boosting,F1_Score,0.5200956441697003,0.5028035776513278,0.5367296854985847,0.5201 (0.5028 - 0.5367)
Nationwide Cohort,Heart Failure (hf),31542,2075,Gradient Boosting,Accuracy,0.5921294975431922,0.5807259470597559,0.6046996354414329,0.5921 (0.5807 - 0.6047)
Nationwide Cohort,Heart Failure (hf),31542,2075,Gradient Boosting,Precision,0.41590558574190767,0.398175822956004,0.4326729021501475,0.4159 (0.3982 - 0.4327)
Nationwide Cohort,Heart Failure (hf),31542,2075,Gradient Boosting,Recall_Sensitivity,0.6941305716418427,0.6759680646994455,0.7159245651604779,0.6941 (0.6760 - 0.7159)
Nationwide Cohort,Heart Failure (hf),31542,2075,Gradient Boosting,Specificity,0.5444713323016238,0.5299242104350353,0.5590179314713339,0.5445 (0.5299 - 0.5590)
Nationwide Cohort,Heart Failure (hf),31542,2075,Gradient Boosting,Brier_Score,0.2206654406723137,0.21707246930179158,0.22316921856594174,0.2207 (0.2171 - 0.2232)
Nationwide Cohort,Heart Failure (hf),31542,2075,CatBoost,ROC_AUC,0.6791037863975098,0.6643992043029507,0.6952065348434453,0.6791 (0.6644 - 0.6952)
Nationwide Cohort,Heart Failure (hf),31542,2075,CatBoost,PR_AUC,0.5019290964142368,0.4782494918571942,0.5288986879751343,0.5019 (0.4782 - 0.5289)
Nationwide Cohort,Heart Failure (hf),31542,2075,CatBoost,F1_Score,0.5173233960245741,0.499637145513745,0.5326311430620538,0.5173 (0.4996 - 0.5326)
Nationwide Cohort,Heart Failure (hf),31542,2075,CatBoost,Accuracy,0.5733848470439056,0.5609407196069107,0.5848827072436202,0.5734 (0.5609 - 0.5849)
Nationwide Cohort,Heart Failure (hf),31542,2075,CatBoost,Precision,0.40438141433741154,0.38682222696836416,0.4213235303366688,0.4044 (0.3868 - 0.4213)
Nationwide Cohort,Heart Failure (hf),31542,2075,CatBoost,Recall_Sensitivity,0.7180085455163632,0.69749989765214,0.7391976754940346,0.7180 (0.6975 - 0.7392)
Nationwide Cohort,Heart Failure (hf),31542,2075,CatBoost,Specificity,0.5058074780072942,0.49215176002008354,0.5226094786559615,0.5058 (0.4922 - 0.5226)
Nationwide Cohort,Heart Failure (hf),31542,2075,CatBoost,Brier_Score,0.21850751441410626,0.2144982944042441,0.2217678477116854,0.2185 (0.2145 - 0.2218)
Nationwide Cohort,Heart Failure (hf),31542,2075,Logistic Regression,ROC_AUC,0.6467200739518327,0.6323570039659354,0.6620179879913837,0.6467 (0.6324 - 0.6620)
Nationwide Cohort,Heart Failure (hf),31542,2075,Logistic Regression,PR_AUC,0.4608217685359108,0.43678237374008627,0.48496995219274097,0.4608 (0.4368 - 0.4850)
Nationwide Cohort,Heart Failure (hf),31542,2075,Logistic Regression,F1_Score,0.5018254293515391,0.4849817954900962,0.5188999162903767,0.5018 (0.4850 - 0.5189)
Nationwide Cohort,Heart Failure (hf),31542,2075,Logistic Regression,Accuracy,0.5099167855444603,0.4956173720082422,0.5237002694563323,0.5099 (0.4956 - 0.5237)
Nationwide Cohort,Heart Failure (hf),31542,2075,Logistic Regression,Precision,0.37104620132710975,0.3559101202385937,0.38817173460415827,0.3710 (0.3559 - 0.3882)
Nationwide Cohort,Heart Failure (hf),31542,2075,Logistic Regression,Recall_Sensitivity,0.7751921974095343,0.7586938791655051,0.7938541180390088,0.7752 (0.7587 - 0.7939)
Nationwide Cohort,Heart Failure (hf),31542,2075,Logistic Regression,Specificity,0.3859601901995496,0.37244850808985697,0.3993913105062396,0.3860 (0.3724 - 0.3994)
Nationwide Cohort,Heart Failure (hf),31542,2075,Logistic Regression,Brier_Score,0.24017811780259968,0.23523536096153447,0.2454930328098362,0.2402 (0.2352 - 0.2455)
Nationwide Cohort,Heart Failure (hf),31542,2075,XGBoost,ROC_AUC,0.6748295245115942,0.6612420311467462,0.6910241718150822,0.6748 (0.6612 - 0.6910)
Nationwide Cohort,Heart Failure (hf),31542,2075,XGBoost,PR_AUC,0.5050068450402155,0.4779704148902012,0.5292182344279601,0.5050 (0.4780 - 0.5292)
Nationwide Cohort,Heart Failure (hf),31542,2075,XGBoost,F1_Score,0.518891366980035,0.5024256488131332,0.5358366118953947,0.5189 (0.5024 - 0.5358)
Nationwide Cohort,Heart Failure (hf),31542,2075,XGBoost,Accuracy,0.6024274845458868,0.5907314946901252,0.6153154224124268,0.6024 (0.5907 - 0.6153)
Nationwide Cohort,Heart Failure (hf),31542,2075,XGBoost,Precision,0.4221426524501113,0.40443404009986,0.43872698727123843,0.4221 (0.4044 - 0.4387)
Nationwide Cohort,Heart Failure (hf),31542,2075,XGBoost,Recall_Sensitivity,0.6733499541095174,0.6534384525887428,0.6959358053876948,0.6733 (0.6534 - 0.6959)
