Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,Hypertension (hyp),65916,2075,Random Forest,ROC_AUC,0.637237327420054,0.6272589573988867,0.6472789821981517,0.6372 (0.6273 - 0.6473)
Nationwide Cohort,Hypertension (hyp),65916,2075,Random Forest,PR_AUC,0.3371081224099852,0.32590840492107254,0.35271896456358404,0.3371 (0.3259 - 0.3527)
Nationwide Cohort,Hypertension (hyp),65916,2075,Random Forest,F1_Score,0.4136424821639316,0.4033326737616423,0.4246147268285709,0.4136 (0.4033 - 0.4246)
Nationwide Cohort,Hypertension (hyp),65916,2075,Random Forest,Accuracy,0.46946260618932045,0.4613736347087378,0.4775030339805825,0.4695 (0.4614 - 0.4775)
Nationwide Cohort,Hypertension (hyp),65916,2075,Random Forest,Precision,0.27875480207456266,0.2697530346325032,0.287880511988622,0.2788 (0.2698 - 0.2879)
Nationwide Cohort,Hypertension (hyp),65916,2075,Random Forest,Recall_Sensitivity,0.8016280663071026,0.7884780792156425,0.8168236641036083,0.8016 (0.7885 - 0.8168)
Nationwide Cohort,Hypertension (hyp),65916,2075,Random Forest,Specificity,0.36829487019817964,0.3584319564237981,0.3766251094780248,0.3683 (0.3584 - 0.3766)
Nationwide Cohort,Hypertension (hyp),65916,2075,Random Forest,Brier_Score,0.18106482101250576,0.17847055127740885,0.18352771075300023,0.1811 (0.1785 - 0.1835)
Nationwide Cohort,Hypertension (hyp),65916,2075,LightGBM,ROC_AUC,0.6721706408374135,0.6619320823511815,0.681033877796618,0.6722 (0.6619 - 0.6810)
Nationwide Cohort,Hypertension (hyp),65916,2075,LightGBM,PR_AUC,0.39826352541578336,0.38228955270855713,0.4180376582851213,0.3983 (0.3823 - 0.4180)
Nationwide Cohort,Hypertension (hyp),65916,2075,LightGBM,F1_Score,0.436333034315685,0.4254541686300242,0.4481859697008975,0.4363 (0.4255 - 0.4482)
Nationwide Cohort,Hypertension (hyp),65916,2075,LightGBM,Accuracy,0.5979547178398058,0.5892559162621359,0.6048297178398058,0.5980 (0.5893 - 0.6048)
Nationwide Cohort,Hypertension (hyp),65916,2075,LightGBM,Precision,0.3243321343329398,0.31368218120966523,0.33506791074255354,0.3243 (0.3137 - 0.3351)
Nationwide Cohort,Hypertension (hyp),65916,2075,LightGBM,Recall_Sensitivity,0.6666176907598982,0.6501376705272688,0.6838490321148801,0.6666 (0.6501 - 0.6838)
Nationwide Cohort,Hypertension (hyp),65916,2075,LightGBM,Specificity,0.5770414918059141,0.5667852273555156,0.5848993781320764,0.5770 (0.5668 - 0.5849)
Nationwide Cohort,Hypertension (hyp),65916,2075,LightGBM,Brier_Score,0.19890044725886813,0.19640354599231302,0.20142409198890213,0.1989 (0.1964 - 0.2014)
Nationwide Cohort,Hypertension (hyp),65916,2075,CatBoost,ROC_AUC,0.6899036641354409,0.6806578161072531,0.6994230320896084,0.6899 (0.6807 - 0.6994)
Nationwide Cohort,Hypertension (hyp),65916,2075,CatBoost,PR_AUC,0.4197147533383493,0.4030115488654936,0.4390531990258704,0.4197 (0.4030 - 0.4391)
Nationwide Cohort,Hypertension (hyp),65916,2075,CatBoost,F1_Score,0.44986148545261506,0.4379054199523685,0.46244049334735865,0.4499 (0.4379 - 0.4624)
Nationwide Cohort,Hypertension (hyp),65916,2075,CatBoost,Accuracy,0.5899931735436893,0.5810072815533981,0.5976979672330097,0.5900 (0.5810 - 0.5977)
Nationwide Cohort,Hypertension (hyp),65916,2075,CatBoost,Precision,0.32754415016536137,0.3164250693407848,0.3384210709630523,0.3275 (0.3164 - 0.3384)
Nationwide Cohort,Hypertension (hyp),65916,2075,CatBoost,Recall_Sensitivity,0.7181199831345001,0.7025495191212652,0.7320956438639803,0.7181 (0.7025 - 0.7321)
Nationwide Cohort,Hypertension (hyp),65916,2075,CatBoost,Specificity,0.550967546110752,0.5410262176542961,0.5604578315307318,0.5510 (0.5410 - 0.5605)
Nationwide Cohort,Hypertension (hyp),65916,2075,CatBoost,Brier_Score,0.2131393202585693,0.21103481901160556,0.2152481955014249,0.2131 (0.2110 - 0.2152)
Nationwide Cohort,Hypertension (hyp),65916,2075,XGBoost,ROC_AUC,0.6832470695299339,0.6716796316470639,0.6926108779366557,0.6832 (0.6717 - 0.6926)
Nationwide Cohort,Hypertension (hyp),65916,2075,XGBoost,PR_AUC,0.4134620706759911,0.39412563841217046,0.43397632862528635,0.4135 (0.3941 - 0.4340)
Nationwide Cohort,Hypertension (hyp),65916,2075,XGBoost,F1_Score,0.4387749803242372,0.42670974225201913,0.4512652690607429,0.4388 (0.4267 - 0.4513)
Nationwide Cohort,Hypertension (hyp),65916,2075,XGBoost,Accuracy,0.6125705400485437,0.6044296116504855,0.6198517141990292,0.6126 (0.6044 - 0.6199)
Nationwide Cohort,Hypertension (hyp),65916,2075,XGBoost,Precision,0.33150740086002384,0.31976171832294736,0.34278667453907546,0.3315 (0.3198 - 0.3428)
Nationwide Cohort,Hypertension (hyp),65916,2075,XGBoost,Recall_Sensitivity,0.6487881736248451,0.6332161018255037,0.6654755559878779,0.6488 (0.6332 - 0.6655)
Nationwide Cohort,Hypertension (hyp),65916,2075,XGBoost,Specificity,0.6015370916660145,0.5912795670584284,0.6105306622986703,0.6015 (0.5913 - 0.6105)
Nationwide Cohort,Hypertension (hyp),65916,2075,XGBoost,Brier_Score,0.20672557072459039,0.20442350961358352,0.20907415722951192,0.2067 (0.2044 - 0.2091)
Nationwide Cohort,Hypertension (hyp),65916,2075,Gradient Boosting,ROC_AUC,0.6811690498603937,0.6723932302038433,0.6904322735321547,0.6812 (0.6724 - 0.6904)
Nationwide Cohort,Hypertension (hyp),65916,2075,Gradient Boosting,PR_AUC,0.39680086017271826,0.3807552395245385,0.4148956888831612,0.3968 (0.3808 - 0.4149)
Nationwide Cohort,Hypertension (hyp),65916,2075,Gradient Boosting,F1_Score,0.4432397163702997,0.43182297122986113,0.45496352926615574,0.4432 (0.4318 - 0.4550)
Nationwide Cohort,Hypertension (hyp),65916,2075,Gradient Boosting,Accuracy,0.5973168234223301,0.5883476183252427,0.6055085709951457,0.5973 (0.5883 - 0.6055)
Nationwide Cohort,Hypertension (hyp),65916,2075,Gradient Boosting,Precision,0.3272704443493333,0.3156800227009892,0.33830313710553855,0.3273 (0.3157 - 0.3383)
Nationwide Cohort,Hypertension (hyp),65916,2075,Gradient Boosting,Recall_Sensitivity,0.6866445276704124,0.6714628225303768,0.7024336333307263,0.6866 (0.6715 - 0.7024)
Nationwide Cohort,Hypertension (hyp),65916,2075,Gradient Boosting,Specificity,0.5701119180187489,0.5595392871833529,0.5802422169453312,0.5701 (0.5595 - 0.5802)
Nationwide Cohort,Hypertension (hyp),65916,2075,Gradient Boosting,Brier_Score,0.21985642242629497,0.217880263982074,0.22186066141066524,0.2199 (0.2179 - 0.2219)
Nationwide Cohort,Hypertension (hyp),65916,2075,Logistic Regression,ROC_AUC,0.6612236998935029,0.6516570750316386,0.6718643410883237,0.6612 (0.6517 - 0.6719)
Nationwide Cohort,Hypertension (hyp),65916,2075,Logistic Regression,PR_AUC,0.37451139541606127,0.3599457534307866,0.3885299646986942,0.3745 (0.3599 - 0.3885)
Nationwide Cohort,Hypertension (hyp),65916,2075,Logistic Regression,F1_Score,0.4322693993970951,0.42190009413098173,0.44518506361269317,0.4323 (0.4219 - 0.4452)
Nationwide Cohort,Hypertension (hyp),65916,2075,Logistic Regression,Accuracy,0.5847375606796116,0.5766686893203884,0.5936058859223301,0.5847 (0.5767 - 0.5936)
Nationwide Cohort,Hypertension (hyp),65916,2075,Logistic Regression,Precision,0.317477139819029,0.3069265923783183,0.3297857987915467,0.3175 (0.3069 - 0.3298)
Nationwide Cohort,Hypertension (hyp),65916,2075,Logistic Regression,Recall_Sensitivity,0.6772271917469936,0.661934212600863,0.6916326935808349,0.6772 (0.6619 - 0.6916)
Nationwide Cohort,Hypertension (hyp),65916,2075,Logistic Regression,Specificity,0.5565667992016003,0.5456127076171433,0.5666000273521936,0.5566 (0.5456 - 0.5666)
Nationwide Cohort,Hypertension (hyp),65916,2075,Logistic Regression,Brier_Score,0.22660129784839825,0.22337529182562244,0.23003037921395011,0.2266 (0.2234 - 0.2300)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard MLP,ROC_AUC,0.6407873564656363,0.6301813194470616,0.6501044884016773,0.6408 (0.6302 - 0.6501)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard MLP,PR_AUC,0.3492008307301331,0.3351565768475549,0.3651560147660671,0.3492 (0.3352 - 0.3652)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard MLP,F1_Score,0.41569180593934085,0.4036234634240157,0.4276461424952506,0.4157 (0.4036 - 0.4276)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard MLP,Accuracy,0.5689532766990291,0.5614949939320388,0.5760846480582524,0.5690 (0.5615 - 0.5761)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard MLP,Precision,0.3040884676464022,0.29428134208834833,0.3149281099619244,0.3041 (0.2943 - 0.3149)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard MLP,Recall_Sensitivity,0.6568389872962124,0.640834009994017,0.672523767343001,0.6568 (0.6408 - 0.6725)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard MLP,Specificity,0.5421844904830317,0.5337172480474828,0.553477978150257,0.5422 (0.5337 - 0.5535)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard MLP,Brier_Score,0.22512424807784837,0.22188381525855677,0.22861284672489024,0.2251 (0.2219 - 0.2286)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard Transformer,ROC_AUC,0.5709738597235271,0.5600765022646449,0.582197816101384,0.5710 (0.5601 - 0.5822)
Nationwide Cohort,Hypertension (hyp),65916,2075,Standard Transformer,PR_AUC,0.28360558444612916,0.2715961659669765,0.29440392544713806,0.2836 (0.2716 - 0.2944)
