Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Logistic Regression,ROC_AUC,0.5930123226327969,0.5157623428397707,0.6683098749492291,0.5930 (0.5158 - 0.6683)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Logistic Regression,PR_AUC,0.5851434251495365,0.4909471790988224,0.677749818316459,0.5851 (0.4909 - 0.6777)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Logistic Regression,F1_Score,0.6787899173885943,0.6111892510005718,0.739876944508939,0.6788 (0.6112 - 0.7399)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Logistic Regression,Accuracy,0.5171891891891892,0.44324324324324327,0.5893243243243244,0.5172 (0.4432 - 0.5893)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Logistic Regression,Precision,0.5145829561304146,0.44008152173913045,0.5871474735605171,0.5146 (0.4401 - 0.5871)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Logistic Regression,Recall_Sensitivity,1.0,1.0,1.0,1.0000 (1.0000 - 1.0000)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Logistic Regression,Specificity,0.01092856371983253,0.0,0.03490448504983389,0.0109 (0.0000 - 0.0349)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Logistic Regression,Brier_Score,0.3645643263016498,0.3090792411833708,0.4259832701029885,0.3646 (0.3091 - 0.4260)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,LightGBM,ROC_AUC,0.6090867060075453,0.5316473819541842,0.6819057330976858,0.6091 (0.5316 - 0.6819)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,LightGBM,PR_AUC,0.6069557933008793,0.49225224826626557,0.7098951114619352,0.6070 (0.4923 - 0.7099)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,LightGBM,F1_Score,0.6916598032490009,0.6249351659751038,0.7500691881918818,0.6917 (0.6249 - 0.7501)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,LightGBM,Accuracy,0.5796756756756757,0.5081081081081081,0.6486486486486487,0.5797 (0.5081 - 0.6486)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,LightGBM,Precision,0.5536338950184096,0.47019069656107876,0.6306474265142225,0.5536 (0.4702 - 0.6306)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,LightGBM,Recall_Sensitivity,0.9243906205286282,0.8695652173913043,0.978027950310559,0.9244 (0.8696 - 0.9780)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,LightGBM,Specificity,0.21868866027107195,0.14602397775975906,0.29411764705882354,0.2187 (0.1460 - 0.2941)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,LightGBM,Brier_Score,0.3086967058715981,0.2628495090686233,0.3609246421543379,0.3087 (0.2628 - 0.3609)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Random Forest,ROC_AUC,0.5417198878945135,0.46154204696490236,0.616725037312268,0.5417 (0.4615 - 0.6167)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Random Forest,PR_AUC,0.5526372415080506,0.45824685570492046,0.655251109298132,0.5526 (0.4582 - 0.6553)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Random Forest,F1_Score,0.6632728230793994,0.5967844364937388,0.7158916266582022,0.6633 (0.5968 - 0.7159)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Random Forest,Accuracy,0.5096486486486487,0.43243243243243246,0.572972972972973,0.5096 (0.4324 - 0.5730)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Random Forest,Precision,0.5113714158706317,0.43747410220994476,0.5756804968287527,0.5114 (0.4375 - 0.5757)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Random Forest,Recall_Sensitivity,0.9467155728971703,0.8976525119617225,0.9892529711375212,0.9467 (0.8977 - 0.9893)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Random Forest,Specificity,0.05152701466954677,0.012021713226532508,0.09206481096800999,0.0515 (0.0120 - 0.0921)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Random Forest,Brier_Score,0.2574198889041762,0.2411363581410073,0.2744303096106619,0.2574 (0.2411 - 0.2744)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Gradient Boosting,ROC_AUC,0.6244077962172034,0.5416330895772702,0.6962862748677018,0.6244 (0.5416 - 0.6963)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Gradient Boosting,PR_AUC,0.6172362204660073,0.524497265952368,0.7223472735063676,0.6172 (0.5245 - 0.7223)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Gradient Boosting,F1_Score,0.6805169109208736,0.6147264199318312,0.7456445993031359,0.6805 (0.6147 - 0.7456)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Gradient Boosting,Accuracy,0.5317297297297298,0.4594594594594595,0.6054054054054054,0.5317 (0.4595 - 0.6054)
Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),925,756,Gradient Boosting,Precision,0.522766771737173,0.448737551072523,0.6045801900656412,0.5228 (0.4487 - 0.6046)
