Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Logistic Regression,ROC_AUC,0.5176750898025815,0.4461922522842539,0.5778221848213994,0.5177 (0.4462 - 0.5778)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Logistic Regression,PR_AUC,0.5315930077646205,0.44994513197509267,0.6255186360391757,0.5316 (0.4499 - 0.6255)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Logistic Regression,F1_Score,0.6380212170998597,0.5813953488372093,0.6952741532976826,0.6380 (0.5814 - 0.6953)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Logistic Regression,Accuracy,0.46915983606557377,0.4098360655737705,0.5328893442622952,0.4692 (0.4098 - 0.5329)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Logistic Regression,Precision,0.4730418534859976,0.4172520661157025,0.5394666678097458,0.4730 (0.4173 - 0.5395)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Logistic Regression,Recall_Sensitivity,0.9829306411198583,0.9572271386430679,1.0,0.9829 (0.9572 - 1.0000)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Logistic Regression,Specificity,0.0,0.0,0.0,0.0000 (0.0000 - 0.0000)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Logistic Regression,Brier_Score,0.4483796738794548,0.3950924615485052,0.5003073591117378,0.4484 (0.3951 - 0.5003)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Random Forest,ROC_AUC,0.5626878004175415,0.4936284340392171,0.6248269489247311,0.5627 (0.4936 - 0.6248)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Random Forest,PR_AUC,0.5757556136135022,0.4829145452045335,0.6624405155908331,0.5758 (0.4829 - 0.6624)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Random Forest,F1_Score,0.6193093615953588,0.562790490447676,0.6847863311494937,0.6193 (0.5628 - 0.6848)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Random Forest,Accuracy,0.4557786885245902,0.40153688524590164,0.5246926229508198,0.4558 (0.4015 - 0.5247)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Random Forest,Precision,0.4649777037947064,0.41101769409629674,0.5361939050450618,0.4650 (0.4110 - 0.5362)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Random Forest,Recall_Sensitivity,0.9301077436227874,0.8842621547167002,0.9677609855219711,0.9301 (0.8843 - 0.9678)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Random Forest,Specificity,0.022557869161476597,0.0,0.05512904636920385,0.0226 (0.0000 - 0.0551)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Random Forest,Brier_Score,0.2507736039560027,0.23870381651028386,0.2646304164768634,0.2508 (0.2387 - 0.2646)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,LightGBM,ROC_AUC,0.5767225127556072,0.5092691480878629,0.6417529583556563,0.5767 (0.5093 - 0.6418)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,LightGBM,PR_AUC,0.5993483480336126,0.512895551316614,0.6832423671228893,0.5993 (0.5129 - 0.6832)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,LightGBM,F1_Score,0.5909543383738349,0.5240929020026069,0.6579846187468129,0.5910 (0.5241 - 0.6580)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,LightGBM,Accuracy,0.5014139344262295,0.4344262295081967,0.5656762295081967,0.5014 (0.4344 - 0.5657)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,LightGBM,Precision,0.4857599368273617,0.4160010282021152,0.565352493244903,0.4858 (0.4160 - 0.5654)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,LightGBM,Recall_Sensitivity,0.7570847254646367,0.672566371681416,0.8281336696090795,0.7571 (0.6726 - 0.8281)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,LightGBM,Specificity,0.26798293979654053,0.1904017857142857,0.33588125548726955,0.2680 (0.1904 - 0.3359)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,LightGBM,Brier_Score,0.34319225490370914,0.3030461255223865,0.3864301843496219,0.3432 (0.3030 - 0.3864)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Gradient Boosting,ROC_AUC,0.5547111345622412,0.48066542472764595,0.6302116047107691,0.5547 (0.4807 - 0.6302)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Gradient Boosting,PR_AUC,0.5548904064128393,0.46099133816989446,0.6586116338494344,0.5549 (0.4610 - 0.6586)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Gradient Boosting,F1_Score,0.6187145969704463,0.5537286466897787,0.689860157640478,0.6187 (0.5537 - 0.6899)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Gradient Boosting,Accuracy,0.49393442622950817,0.43012295081967217,0.5615778688524591,0.4939 (0.4301 - 0.5616)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Gradient Boosting,Precision,0.4830021234736076,0.4227594422254923,0.5567216981132076,0.4830 (0.4228 - 0.5567)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Gradient Boosting,Recall_Sensitivity,0.8631131974028783,0.7927457002457002,0.9211032388663968,0.8631 (0.7927 - 0.9211)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Gradient Boosting,Specificity,0.15633728873240368,0.09831392004601669,0.21094861534552845,0.1563 (0.0983 - 0.2109)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Gradient Boosting,Brier_Score,0.2714181716793522,0.2443330407631701,0.2933994267983018,0.2714 (0.2443 - 0.2934)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,CatBoost,ROC_AUC,0.5830056353772658,0.5160090033770556,0.6422726144765775,0.5830 (0.5160 - 0.6423)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,CatBoost,PR_AUC,0.5890775357493122,0.5012965952168186,0.6829069376780089,0.5891 (0.5013 - 0.6829)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,CatBoost,F1_Score,0.5834425093561412,0.5075506072874495,0.6492048146178759,0.5834 (0.5076 - 0.6492)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,CatBoost,Accuracy,0.5361065573770492,0.47120901639344265,0.5943647540983608,0.5361 (0.4712 - 0.5944)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,CatBoost,Precision,0.5103732827129331,0.42857142857142855,0.6012584308196471,0.5104 (0.4286 - 0.6013)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,CatBoost,Recall_Sensitivity,0.6834645578846691,0.5876489572989078,0.761153045288912,0.6835 (0.5876 - 0.7612)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,CatBoost,Specificity,0.4014509204241441,0.31243943798449614,0.47693181818181823,0.4015 (0.3124 - 0.4769)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,CatBoost,Brier_Score,0.2719171011841698,0.2471148018134279,0.2961373943756292,0.2719 (0.2471 - 0.2961)
Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,XGBoost,ROC_AUC,0.5506243755434876,0.48020551551519763,0.6216061693782479,0.5506 (0.4802 - 0.6216)
