Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Logistic Regression,ROC_AUC,0.5853170606123999,0.5437278322620392,0.6300110785907468,0.5853 (0.5437 - 0.6300)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Logistic Regression,PR_AUC,0.4094777133147643,0.36070867906550447,0.46664152039564905,0.4095 (0.3607 - 0.4666)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Logistic Regression,F1_Score,0.5003627432164468,0.46550771550771547,0.539047619047619,0.5004 (0.4655 - 0.5390)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Logistic Regression,Accuracy,0.3347395833333333,0.3033854166666667,0.3697916666666667,0.3347 (0.3034 - 0.3698)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Logistic Regression,Precision,0.334758885330163,0.304951049178978,0.36946377071281084,0.3348 (0.3050 - 0.3695)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Logistic Regression,Recall_Sensitivity,0.9919369024676797,0.9813397766805072,1.0,0.9919 (0.9813 - 1.0000)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Logistic Regression,Specificity,0.0020121290920585982,0.0,0.006,0.0020 (0.0000 - 0.0060)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Logistic Regression,Brier_Score,0.28332549693324166,0.262582760918538,0.3023239887669404,0.2833 (0.2626 - 0.3023)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Random Forest,ROC_AUC,0.6162624693878611,0.5718663699368848,0.6538058951883915,0.6163 (0.5719 - 0.6538)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Random Forest,PR_AUC,0.44489319192450083,0.3977332771344952,0.5081082019839731,0.4449 (0.3977 - 0.5081)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Random Forest,F1_Score,0.5173615890594419,0.4782482468985992,0.5603385681939973,0.5174 (0.4782 - 0.5603)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Random Forest,Accuracy,0.43201171875,0.3919270833333333,0.4674479166666667,0.4320 (0.3919 - 0.4674)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Random Forest,Precision,0.36221647118682776,0.32571761189880455,0.40358369673939753,0.3622 (0.3257 - 0.4036)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Random Forest,Recall_Sensitivity,0.9065534812977845,0.8715235941889639,0.9357038123167155,0.9066 (0.8715 - 0.9357)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Random Forest,Specificity,0.19176405049592676,0.16128268572825025,0.23215356250070696,0.1918 (0.1613 - 0.2322)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Random Forest,Brier_Score,0.22197434265025615,0.21408846382004845,0.23014985344104896,0.2220 (0.2141 - 0.2301)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Gradient Boosting,ROC_AUC,0.6273215261679407,0.5889849353735801,0.6627384638196221,0.6273 (0.5890 - 0.6627)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Gradient Boosting,PR_AUC,0.4702298392307347,0.4190517816189658,0.5293861551197094,0.4702 (0.4191 - 0.5294)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Gradient Boosting,F1_Score,0.5158854681259413,0.4802391497534687,0.5540997034905651,0.5159 (0.4802 - 0.5541)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Gradient Boosting,Accuracy,0.4136458333333334,0.3827799479166667,0.44534505208333336,0.4136 (0.3828 - 0.4453)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Gradient Boosting,Precision,0.35711607435133,0.3234037731009566,0.3904507362155389,0.3571 (0.3234 - 0.3905)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Gradient Boosting,Recall_Sensitivity,0.9303579344560663,0.9034626577537025,0.9607426561545226,0.9304 (0.9035 - 0.9607)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Gradient Boosting,Specificity,0.15200525152855693,0.12252547489201314,0.18458217469985877,0.1520 (0.1225 - 0.1846)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Gradient Boosting,Brier_Score,0.22658647355609848,0.21675814325908677,0.23658717910956092,0.2266 (0.2168 - 0.2366)
Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,LightGBM,ROC_AUC,0.6052654478070698,0.562403055094142,0.6522707222186143,0.6053 (0.5624 - 0.6523)
