Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Subgroup,Cohort Size,Num Features,Model
7.721237179590642e-06,0.5845104205532755,0.4029073043472158,0.4990215264187867,0.3333333333333333,0.3333333333333333,0.9922178988326849,0.9922178988326849,0.0019569471624266144,0.28398387146882376,255,1,510,2,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Logistic Regression
0.3145468797974021,0.6162784499760141,0.4416976828346816,0.5160575858250277,0.4309895833333333,0.3606811145510836,0.9066147859922179,0.9066147859922179,0.1917808219178082,0.22182332836762822,233,98,413,24,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Random Forest
0.24611763094682562,0.6263449252628934,0.46481115320375715,0.513978494623656,0.4114583333333333,0.3551263001485884,0.9299610894941635,0.9299610894941635,0.1506849315068493,0.2267926557742829,239,77,434,18,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Gradient Boosting
0.002669406604911797,0.6073313180077212,0.4705671851508333,0.5000000000000001,0.359375,0.33837689133425036,0.9571984435797666,0.9571984435797666,0.05870841487279843,0.26242657681809917,246,30,481,11,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,LightGBM
0.19687801390403983,0.6468890631781736,0.491643233792583,0.5186020293122886,0.4440104166666667,0.36507936507936506,0.8949416342412452,0.8949416342412452,0.2172211350293542,0.21832273490303922,230,111,400,27,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,CatBoost
0.0659477636218071,0.6177785223145279,0.47965796209284367,0.5010570824524313,0.3854166666666667,0.3439767779390421,0.9221789883268483,0.9221789883268483,0.11545988258317025,0.2336790971570933,237,59,452,20,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,XGBoost
0.4428901970386505,0.5795000266510314,0.41761264451486935,0.4995083579154376,0.3372395833333333,0.33421052631578946,0.9883268482490273,0.9883268482490273,0.009784735812133072,0.25660930273505084,254,5,506,3,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Standard MLP
0.511591911315918,0.5128686408735447,0.3735756446062976,0.5004887585532747,0.3346354166666667,0.3342036553524804,0.9961089494163424,0.9961089494163424,0.0019569471624266144,0.28004303020982924,256,1,510,1,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,Standard Transformer
0.5153759717941284,0.5340181379305093,0.3721510239680422,0.0,0.6653645833333334,0.0,0.0,0.0,1.0,0.24050202464040726,0,511,0,257,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,SAINT Transformer
0.4957186281681061,0.5100322096750859,0.35680423754487506,0.5,0.3385416666666667,0.3346508563899868,0.9883268482490273,0.9883268482490273,0.011741682974559686,0.25622960357768076,254,6,505,3,Texas Cohort,Diabetes + Hypertension (d+hyp),3836,756,HIR-M3 Transformer
