Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,Diabetes (d),10030,756,Random Forest,ROC_AUC,0.6257716796476083,0.5966812858106934,0.6540857606473696,0.6258 (0.5967 - 0.6541)
Texas Cohort,Diabetes (d),10030,756,Random Forest,PR_AUC,0.3533574372599435,0.31401743374707264,0.3958977786345704,0.3534 (0.3140 - 0.3959)
Texas Cohort,Diabetes (d),10030,756,Random Forest,F1_Score,0.41427105237226847,0.3825665627248741,0.4438099737578409,0.4143 (0.3826 - 0.4438)
Texas Cohort,Diabetes (d),10030,756,Random Forest,Accuracy,0.5427642073778665,0.5189431704885344,0.5633599202392822,0.5428 (0.5189 - 0.5634)
Texas Cohort,Diabetes (d),10030,756,Random Forest,Precision,0.30042851203741494,0.27221796657381614,0.327341628818257,0.3004 (0.2722 - 0.3273)
Texas Cohort,Diabetes (d),10030,756,Random Forest,Recall_Sensitivity,0.6678979923424105,0.626664243532773,0.7108556710775048,0.6679 (0.6267 - 0.7109)
Texas Cohort,Diabetes (d),10030,756,Random Forest,Specificity,0.5027925901617687,0.47494183033203574,0.5258725474647696,0.5028 (0.4749 - 0.5259)
Texas Cohort,Diabetes (d),10030,756,Random Forest,Brier_Score,0.20705470355146943,0.20283624123423716,0.21201907633122755,0.2071 (0.2028 - 0.2120)
Texas Cohort,Diabetes (d),10030,756,Logistic Regression,ROC_AUC,0.6326830251177626,0.6020294770683594,0.6612893446317859,0.6327 (0.6020 - 0.6613)
Texas Cohort,Diabetes (d),10030,756,Logistic Regression,PR_AUC,0.36496280094420297,0.3263903662775512,0.4077621796698704,0.3650 (0.3264 - 0.4078)
Texas Cohort,Diabetes (d),10030,756,Logistic Regression,F1_Score,0.42634904688072167,0.39513074291300093,0.454455068619775,0.4263 (0.3951 - 0.4545)
Texas Cohort,Diabetes (d),10030,756,Logistic Regression,Accuracy,0.5647158524426721,0.5438683948155534,0.5867397806580259,0.5647 (0.5439 - 0.5867)
Texas Cohort,Diabetes (d),10030,756,Logistic Regression,Precision,0.31324922926377496,0.2851497146869025,0.34002610190974575,0.3132 (0.2851 - 0.3400)
Texas Cohort,Diabetes (d),10030,756,Logistic Regression,Recall_Sensitivity,0.6681521722608963,0.6267168303852184,0.7103849756785094,0.6682 (0.6267 - 0.7104)
Texas Cohort,Diabetes (d),10030,756,Logistic Regression,Specificity,0.5316781872622042,0.5073503956965862,0.5608975511950144,0.5317 (0.5074 - 0.5609)
Texas Cohort,Diabetes (d),10030,756,Logistic Regression,Brier_Score,0.23786770070349966,0.22794247174413876,0.2480161334275761,0.2379 (0.2279 - 0.2480)
Texas Cohort,Diabetes (d),10030,756,Gradient Boosting,ROC_AUC,0.6662396351573523,0.6378392659396666,0.6950690041808714,0.6662 (0.6378 - 0.6951)
Texas Cohort,Diabetes (d),10030,756,Gradient Boosting,PR_AUC,0.4004760187938963,0.35792805336379047,0.4406805911714364,0.4005 (0.3579 - 0.4407)
Texas Cohort,Diabetes (d),10030,756,Gradient Boosting,F1_Score,0.4236690043835847,0.38814786167351895,0.4540158801163051,0.4237 (0.3881 - 0.4540)
Texas Cohort,Diabetes (d),10030,756,Gradient Boosting,Accuracy,0.6288459621136591,0.608636590229312,0.6505483549351944,0.6288 (0.6086 - 0.6505)
Texas Cohort,Diabetes (d),10030,756,Gradient Boosting,Precision,0.33964657027346873,0.306224185268293,0.3706913588045263,0.3396 (0.3062 - 0.3707)
Texas Cohort,Diabetes (d),10030,756,Gradient Boosting,Recall_Sensitivity,0.5636160504999169,0.5152065888247429,0.6066907197661674,0.5636 (0.5152 - 0.6067)
Texas Cohort,Diabetes (d),10030,756,Gradient Boosting,Specificity,0.6497167749104784,0.6271708509570196,0.6719338822706804,0.6497 (0.6272 - 0.6719)
Texas Cohort,Diabetes (d),10030,756,Gradient Boosting,Brier_Score,0.2062118903314932,0.19968522936119898,0.21307223438114412,0.2062 (0.1997 - 0.2131)
Texas Cohort,Diabetes (d),10030,756,CatBoost,ROC_AUC,0.6536480129498536,0.6260857433236311,0.6857378216508657,0.6536 (0.6261 - 0.6857)
Texas Cohort,Diabetes (d),10030,756,CatBoost,PR_AUC,0.38898581273038313,0.34334032949176246,0.4298185212569799,0.3890 (0.3433 - 0.4298)
Texas Cohort,Diabetes (d),10030,756,CatBoost,F1_Score,0.42943167977354224,0.3993945868945869,0.4604433546588335,0.4294 (0.3994 - 0.4604)
Texas Cohort,Diabetes (d),10030,756,CatBoost,Accuracy,0.6062288135593221,0.582240777666999,0.627617148554337,0.6062 (0.5822 - 0.6276)
Texas Cohort,Diabetes (d),10030,756,CatBoost,Precision,0.330939737428085,0.30283127031073137,0.3583097389899356,0.3309 (0.3028 - 0.3583)
Texas Cohort,Diabetes (d),10030,756,CatBoost,Recall_Sensitivity,0.6121435784966814,0.5702054452146095,0.6543074449819221,0.6121 (0.5702 - 0.6543)
Texas Cohort,Diabetes (d),10030,756,CatBoost,Specificity,0.6043686348162947,0.5789817398897373,0.6276048002414556,0.6044 (0.5790 - 0.6276)
Texas Cohort,Diabetes (d),10030,756,CatBoost,Brier_Score,0.19970742926362398,0.19161453084102129,0.20722853906599636,0.1997 (0.1916 - 0.2072)
Texas Cohort,Diabetes (d),10030,756,LightGBM,ROC_AUC,0.629496887023954,0.5982632095191647,0.6557469744265908,0.6295 (0.5983 - 0.6557)
Texas Cohort,Diabetes (d),10030,756,LightGBM,PR_AUC,0.3468857491022457,0.3060362820546498,0.379265951824842,0.3469 (0.3060 - 0.3793)
Texas Cohort,Diabetes (d),10030,756,LightGBM,F1_Score,0.42970970010820864,0.3999938499384994,0.46146451587899195,0.4297 (0.4000 - 0.4615)
Texas Cohort,Diabetes (d),10030,756,LightGBM,Accuracy,0.5264581256231305,0.5054835493519442,0.5499127617148555,0.5265 (0.5055 - 0.5499)
Texas Cohort,Diabetes (d),10030,756,LightGBM,Precision,0.30343731725414896,0.27849076987855687,0.33143464503914366,0.3034 (0.2785 - 0.3314)
Texas Cohort,Diabetes (d),10030,756,LightGBM,Recall_Sensitivity,0.7368875186651087,0.6915603307578965,0.7738617487163999,0.7369 (0.6916 - 0.7739)
Texas Cohort,Diabetes (d),10030,756,LightGBM,Specificity,0.45920030465757233,0.43183832285639,0.4849410169606787,0.4592 (0.4318 - 0.4849)
Texas Cohort,Diabetes (d),10030,756,LightGBM,Brier_Score,0.19728968453339893,0.18513911176158251,0.20979117148616155,0.1973 (0.1851 - 0.2098)
Texas Cohort,Diabetes (d),10030,756,XGBoost,ROC_AUC,0.6245883582829993,0.5933745068352029,0.6562823799492836,0.6246 (0.5934 - 0.6563)
Texas Cohort,Diabetes (d),10030,756,XGBoost,PR_AUC,0.35350615689432385,0.3102972872548992,0.393025119524205,0.3535 (0.3103 - 0.3930)
Texas Cohort,Diabetes (d),10030,756,XGBoost,F1_Score,0.41038873174604545,0.37930056819488855,0.44251849592440684,0.4104 (0.3793 - 0.4425)
Texas Cohort,Diabetes (d),10030,756,XGBoost,Accuracy,0.5582726819541377,0.5373878364905285,0.5792871385842473,0.5583 (0.5374 - 0.5793)
Texas Cohort,Diabetes (d),10030,756,XGBoost,Precision,0.30332399614507305,0.27685734612939356,0.3291712581821969,0.3033 (0.2769 - 0.3292)
Texas Cohort,Diabetes (d),10030,756,XGBoost,Recall_Sensitivity,0.6350203318479215,0.5907290304928101,0.6826633181276052,0.6350 (0.5907 - 0.6827)
Texas Cohort,Diabetes (d),10030,756,XGBoost,Specificity,0.5337369063884227,0.5080238906059603,0.5557901003075406,0.5337 (0.5080 - 0.5558)
Texas Cohort,Diabetes (d),10030,756,XGBoost,Brier_Score,0.20101079000319405,0.19185431719494422,0.21067006980660954,0.2010 (0.1919 - 0.2107)
Texas Cohort,Diabetes (d),10030,756,Standard MLP,ROC_AUC,0.6356871681258883,0.6042524382479459,0.6629530151569831,0.6357 (0.6043 - 0.6630)
