Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Random Forest,ROC_AUC,0.6595323185245752,0.6231486826926753,0.7002973993375186,0.6595 (0.6231 - 0.7003)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Random Forest,PR_AUC,0.583041979175002,0.5291993690116166,0.6393601817840816,0.5830 (0.5292 - 0.6394)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Random Forest,F1_Score,0.6227718966144029,0.5892307692307692,0.6524687397005803,0.6228 (0.5892 - 0.6525)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Random Forest,Accuracy,0.49779816513761466,0.4632262996941896,0.5336391437308868,0.4978 (0.4632 - 0.5336)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Random Forest,Precision,0.45924446020032605,0.42360169491525423,0.4914973192666897,0.4592 (0.4236 - 0.4915)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Random Forest,Recall_Sensitivity,0.9683499235726277,0.9495155167379012,0.985927469579381,0.9683 (0.9495 - 0.9859)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Random Forest,Specificity,0.14494510128024787,0.10965343505221933,0.1845324569221628,0.1449 (0.1097 - 0.1845)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Random Forest,Brier_Score,0.22706163819253994,0.21820009431954449,0.23457272538628182,0.2271 (0.2182 - 0.2346)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Logistic Regression,ROC_AUC,0.6290059723116492,0.5907567744377951,0.6652166747609514,0.6290 (0.5908 - 0.6652)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Logistic Regression,PR_AUC,0.5520835796251679,0.49550886129855515,0.6074623281275717,0.5521 (0.4955 - 0.6075)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Logistic Regression,F1_Score,0.5974842717712548,0.5594472614022444,0.6299973884165687,0.5975 (0.5594 - 0.6300)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Logistic Regression,Accuracy,0.44367737003058105,0.40672782874617736,0.4801223241590214,0.4437 (0.4067 - 0.4801)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Logistic Regression,Precision,0.4330740567995622,0.396111884057971,0.4674143089405796,0.4331 (0.3961 - 0.4674)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Logistic Regression,Recall_Sensitivity,0.9644478005004262,0.9438243089738736,0.9829756743579269,0.9644 (0.9438 - 0.9830)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Logistic Regression,Specificity,0.05323943353940182,0.03233426048058726,0.07593266456858118,0.0532 (0.0323 - 0.0759)
Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Logistic Regression,Brier_Score,0.2820490274023366,0.2619716051645352,0.30639064947318334,0.2820 (0.2620 - 0.3064)
