Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,Heart Failure (hf),4852,756,Random Forest,ROC_AUC,0.635785041471933,0.6037288181867768,0.6672162889051344,0.6358 (0.6037 - 0.6672)
Texas Cohort,Heart Failure (hf),4852,756,Random Forest,PR_AUC,0.517819041371718,0.4730241488976265,0.5626365616204091,0.5178 (0.4730 - 0.5626)
Texas Cohort,Heart Failure (hf),4852,756,Random Forest,F1_Score,0.5823949905862491,0.548558752332999,0.612069143777987,0.5824 (0.5486 - 0.6121)
Texas Cohort,Heart Failure (hf),4852,756,Random Forest,Accuracy,0.5096858908341916,0.48398558187435636,0.537615859938208,0.5097 (0.4840 - 0.5376)
Texas Cohort,Heart Failure (hf),4852,756,Random Forest,Precision,0.4380752528760108,0.40373745191856647,0.4697618688897817,0.4381 (0.4037 - 0.4698)
Texas Cohort,Heart Failure (hf),4852,756,Random Forest,Recall_Sensitivity,0.8693971557369558,0.8361797235023042,0.9037497326203208,0.8694 (0.8362 - 0.9037)
Texas Cohort,Heart Failure (hf),4852,756,Random Forest,Specificity,0.2762223857793219,0.2421951284542826,0.31242632844200285,0.2762 (0.2422 - 0.3124)
Texas Cohort,Heart Failure (hf),4852,756,Random Forest,Brier_Score,0.22884485249156333,0.22320860590048863,0.23554296249768317,0.2288 (0.2232 - 0.2355)
Texas Cohort,Heart Failure (hf),4852,756,Logistic Regression,ROC_AUC,0.6023088712681768,0.5642140657800178,0.6350414436568185,0.6023 (0.5642 - 0.6350)
Texas Cohort,Heart Failure (hf),4852,756,Logistic Regression,PR_AUC,0.5184819105703472,0.4741835766395039,0.5703662051810825,0.5185 (0.4742 - 0.5704)
Texas Cohort,Heart Failure (hf),4852,756,Logistic Regression,F1_Score,0.5629967581432465,0.5302196485836809,0.5945357283113496,0.5630 (0.5302 - 0.5945)
