Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,Hypertension (hyp),16161,756,Random Forest,ROC_AUC,0.6557420937371251,0.6352052860280786,0.6765432841852201,0.6557 (0.6352 - 0.6765)
Texas Cohort,Hypertension (hyp),16161,756,Random Forest,PR_AUC,0.37518493931481783,0.3423396961539267,0.4028041292555188,0.3752 (0.3423 - 0.4028)
Texas Cohort,Hypertension (hyp),16161,756,Random Forest,F1_Score,0.43624258900396823,0.41537558102279476,0.46014103344518015,0.4362 (0.4154 - 0.4601)
Texas Cohort,Hypertension (hyp),16161,756,Random Forest,Accuracy,0.5083730281472316,0.4917723476647077,0.5252165171667182,0.5084 (0.4918 - 0.5252)
Texas Cohort,Hypertension (hyp),16161,756,Random Forest,Precision,0.3034168085737543,0.2855939310877593,0.3248614238059314,0.3034 (0.2856 - 0.3249)
Texas Cohort,Hypertension (hyp),16161,756,Random Forest,Recall_Sensitivity,0.7764058158886782,0.7515303793547545,0.8032214642065759,0.7764 (0.7515 - 0.8032)
Texas Cohort,Hypertension (hyp),16161,756,Random Forest,Specificity,0.4213614645862927,0.3981918188474252,0.4378994819082496,0.4214 (0.3982 - 0.4379)
Texas Cohort,Hypertension (hyp),16161,756,Random Forest,Brier_Score,0.2112169768034407,0.20806259601397747,0.21413258699474205,0.2112 (0.2081 - 0.2141)
Texas Cohort,Hypertension (hyp),16161,756,Logistic Regression,ROC_AUC,0.6597593767575515,0.640676548121859,0.679001748377254,0.6598 (0.6407 - 0.6790)
Texas Cohort,Hypertension (hyp),16161,756,Logistic Regression,PR_AUC,0.4074322485732032,0.3773609193693013,0.4422395378087951,0.4074 (0.3774 - 0.4422)
Texas Cohort,Hypertension (hyp),16161,756,Logistic Regression,F1_Score,0.436600689505661,0.4127529171161392,0.4613623203318565,0.4366 (0.4128 - 0.4614)
Texas Cohort,Hypertension (hyp),16161,756,Logistic Regression,Accuracy,0.581917723476647,0.5656974945870709,0.5991416640890813,0.5819 (0.5657 - 0.5991)
Texas Cohort,Hypertension (hyp),16161,756,Logistic Regression,Precision,0.32599609299699295,0.30474334066864933,0.34863018220227093,0.3260 (0.3047 - 0.3486)
Texas Cohort,Hypertension (hyp),16161,756,Logistic Regression,Recall_Sensitivity,0.6612597552646434,0.6289647009538755,0.6897913078607727,0.6613 (0.6290 - 0.6898)
Texas Cohort,Hypertension (hyp),16161,756,Logistic Regression,Specificity,0.5561523151193055,0.5349060388919297,0.5778434494649534,0.5562 (0.5349 - 0.5778)
