Cohort,Subgroup,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,Diabetes (d),40643,2075,Random Forest,ROC_AUC,0.6332585347853162,0.6199542576906715,0.6469273376220481,0.6333 (0.6200 - 0.6469)
Nationwide Cohort,Diabetes (d),40643,2075,Random Forest,PR_AUC,0.34303087027134216,0.32512627026461044,0.3645329660573617,0.3430 (0.3251 - 0.3645)
Nationwide Cohort,Diabetes (d),40643,2075,Random Forest,F1_Score,0.41386136056084877,0.3988324653637533,0.42917112374622685,0.4139 (0.3988 - 0.4292)
Nationwide Cohort,Diabetes (d),40643,2075,Random Forest,Accuracy,0.49559293886086847,0.4845491450362898,0.5068304834542995,0.4956 (0.4845 - 0.5068)
Nationwide Cohort,Diabetes (d),40643,2075,Random Forest,Precision,0.28502542164881156,0.27139681217324313,0.29875069911242114,0.2850 (0.2714 - 0.2988)
Nationwide Cohort,Diabetes (d),40643,2075,Random Forest,Recall_Sensitivity,0.7554675395142341,0.735801061088057,0.7749454077804316,0.7555 (0.7358 - 0.7749)
Nationwide Cohort,Diabetes (d),40643,2075,Random Forest,Specificity,0.4154221499533523,0.40288528075945124,0.4259197044629874,0.4154 (0.4029 - 0.4259)
Nationwide Cohort,Diabetes (d),40643,2075,Random Forest,Brier_Score,0.18174946414985388,0.17877061480460804,0.18506609283545095,0.1817 (0.1788 - 0.1851)
Nationwide Cohort,Diabetes (d),40643,2075,LightGBM,ROC_AUC,0.6568208198255511,0.6445487502752802,0.6685895659278289,0.6568 (0.6445 - 0.6686)
Nationwide Cohort,Diabetes (d),40643,2075,LightGBM,PR_AUC,0.38731899729066027,0.3684164512892501,0.41001851580859955,0.3873 (0.3684 - 0.4100)
Nationwide Cohort,Diabetes (d),40643,2075,LightGBM,F1_Score,0.4232397988569423,0.40668768144899675,0.4371224896363644,0.4232 (0.4067 - 0.4371)
Nationwide Cohort,Diabetes (d),40643,2075,LightGBM,Accuracy,0.6005671054250216,0.5910874646327962,0.6109054004182556,0.6006 (0.5911 - 0.6109)
Nationwide Cohort,Diabetes (d),40643,2075,LightGBM,Precision,0.3208634463070871,0.3036557357038228,0.3361092944590518,0.3209 (0.3037 - 0.3361)
Nationwide Cohort,Diabetes (d),40643,2075,LightGBM,Recall_Sensitivity,0.6217656895368888,0.6025494652088758,0.6420129303475767,0.6218 (0.6025 - 0.6420)
Nationwide Cohort,Diabetes (d),40643,2075,LightGBM,Specificity,0.5940271017427757,0.5827197439898105,0.6060291112052402,0.5940 (0.5827 - 0.6060)
Nationwide Cohort,Diabetes (d),40643,2075,LightGBM,Brier_Score,0.19361086384971052,0.18966589696563882,0.19691783283876593,0.1936 (0.1897 - 0.1969)
Nationwide Cohort,Diabetes (d),40643,2075,CatBoost,ROC_AUC,0.6768303247852695,0.663196264152284,0.6881108032733897,0.6768 (0.6632 - 0.6881)
Nationwide Cohort,Diabetes (d),40643,2075,CatBoost,PR_AUC,0.4114059592085351,0.3901041014273516,0.43302336235894606,0.4114 (0.3901 - 0.4330)
Nationwide Cohort,Diabetes (d),40643,2075,CatBoost,F1_Score,0.4321544089524689,0.41819522782907065,0.4478128192346834,0.4322 (0.4182 - 0.4478)
Nationwide Cohort,Diabetes (d),40643,2075,CatBoost,Accuracy,0.5326829868372494,0.5219461188338048,0.5421392545208512,0.5327 (0.5219 - 0.5421)
Nationwide Cohort,Diabetes (d),40643,2075,CatBoost,Precision,0.3028432135526794,0.29017757260166716,0.3159721514029833,0.3028 (0.2902 - 0.3160)
Nationwide Cohort,Diabetes (d),40643,2075,CatBoost,Recall_Sensitivity,0.7544133210693355,0.7340013525794712,0.7721177819310358,0.7544 (0.7340 - 0.7721)
Nationwide Cohort,Diabetes (d),40643,2075,CatBoost,Specificity,0.464287356467613,0.4527453380550832,0.4764443488207537,0.4643 (0.4527 - 0.4764)
Nationwide Cohort,Diabetes (d),40643,2075,CatBoost,Brier_Score,0.2133675063101208,0.21043608427126198,0.21623075420258905,0.2134 (0.2104 - 0.2162)
Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting,ROC_AUC,0.6729262942125991,0.6588532993725784,0.6853325064861067,0.6729 (0.6589 - 0.6853)
Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting,PR_AUC,0.3930205338581581,0.3685920883707096,0.41590668782472323,0.3930 (0.3686 - 0.4159)
Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting,F1_Score,0.4316463244080944,0.4161572204764226,0.4477957376588138,0.4316 (0.4162 - 0.4478)
Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting,Accuracy,0.543716324271128,0.5326608438922377,0.5545608315906015,0.5437 (0.5327 - 0.5546)
Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting,Precision,0.3055677427911956,0.2924009816175356,0.31964340495321697,0.3056 (0.2924 - 0.3196)
Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting,Recall_Sensitivity,0.7350702899751264,0.7150665819148075,0.7516232416879796,0.7351 (0.7151 - 0.7516)
Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting,Specificity,0.4846851521736638,0.4722927423625885,0.49615152934288403,0.4847 (0.4723 - 0.4962)
Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting,Brier_Score,0.21996059569084747,0.21749474654131473,0.22240303033637268,0.2200 (0.2175 - 0.2224)
Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression,ROC_AUC,0.6388571482472561,0.6248874989943135,0.6527305086407442,0.6389 (0.6249 - 0.6527)
Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression,PR_AUC,0.3635185067017575,0.34218218758788677,0.3847773162120531,0.3635 (0.3422 - 0.3848)
Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression,F1_Score,0.42298871817554684,0.4072514092067431,0.43806708617540624,0.4230 (0.4073 - 0.4381)
Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression,Accuracy,0.5787876737606102,0.5689322179849919,0.5894944027555665,0.5788 (0.5689 - 0.5895)
Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression,Precision,0.312397375918747,0.2983469250334318,0.3274470133043291,0.3124 (0.2983 - 0.3274)
Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression,Recall_Sensitivity,0.6550000463635232,0.6315446633908137,0.6756677470290036,0.6550 (0.6315 - 0.6757)
Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression,Specificity,0.5552779063593308,0.5446120216184097,0.5667603074446868,0.5553 (0.5446 - 0.5668)
Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression,Brier_Score,0.2323978075002291,0.22778796167869492,0.23729339190345775,0.2324 (0.2278 - 0.2373)
Nationwide Cohort,Diabetes (d),40643,2075,XGBoost,ROC_AUC,0.6704977076489722,0.6577787662244846,0.682887843668555,0.6705 (0.6578 - 0.6829)
Nationwide Cohort,Diabetes (d),40643,2075,XGBoost,PR_AUC,0.40329032899057515,0.38276949381252606,0.42479634742703287,0.4033 (0.3828 - 0.4248)
Nationwide Cohort,Diabetes (d),40643,2075,XGBoost,F1_Score,0.4331722892109468,0.41588924918385595,0.44769226399264195,0.4332 (0.4159 - 0.4477)
Nationwide Cohort,Diabetes (d),40643,2075,XGBoost,Accuracy,0.5411797269036782,0.5290841431910444,0.5524787796776972,0.5412 (0.5291 - 0.5525)
Nationwide Cohort,Diabetes (d),40643,2075,XGBoost,Precision,0.3056082446939884,0.29152009660169054,0.3191648281116375,0.3056 (0.2915 - 0.3192)
Nationwide Cohort,Diabetes (d),40643,2075,XGBoost,Recall_Sensitivity,0.7437620117231044,0.7237822816651134,0.7624081863634508,0.7438 (0.7238 - 0.7624)
Nationwide Cohort,Diabetes (d),40643,2075,XGBoost,Specificity,0.4786874788949286,0.465702360538234,0.49110848350923675,0.4787 (0.4657 - 0.4911)
Nationwide Cohort,Diabetes (d),40643,2075,XGBoost,Brier_Score,0.204019974788676,0.2008167254367522,0.20734009937980488,0.2040 (0.2008 - 0.2073)
Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP,ROC_AUC,0.6372918645998067,0.6230943931077781,0.6515973415492646,0.6373 (0.6231 - 0.6516)
Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP,PR_AUC,0.3355027768965394,0.31873458986340536,0.3558417515476113,0.3355 (0.3187 - 0.3558)
Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP,F1_Score,0.41692492624890365,0.4015442264955254,0.43090471982760314,0.4169 (0.4015 - 0.4309)
Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP,Accuracy,0.4650289088448764,0.4550375199901587,0.47450485914626644,0.4650 (0.4550 - 0.4745)
Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP,Precision,0.28056462253941783,0.2676870536997099,0.2926640903278152,0.2806 (0.2677 - 0.2927)
Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP,Recall_Sensitivity,0.8114180276995868,0.7909074354365717,0.8280239008627126,0.8114 (0.7909 - 0.8280)
Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP,Specificity,0.3581703471588065,0.34657124199528144,0.36887622081373567,0.3582 (0.3466 - 0.3689)
Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP,Brier_Score,0.245894806357161,0.2434037573943004,0.24802797320675088,0.2459 (0.2434 - 0.2480)
Nationwide Cohort,Diabetes (d),40643,2075,Standard Transformer,ROC_AUC,0.546022268346964,0.5317701988615792,0.5600524248383956,0.5460 (0.5318 - 0.5601)
Nationwide Cohort,Diabetes (d),40643,2075,Standard Transformer,PR_AUC,0.2722848681616867,0.25703913518257127,0.2897299026856996,0.2723 (0.2570 - 0.2897)
Nationwide Cohort,Diabetes (d),40643,2075,Standard Transformer,F1_Score,0.38379413127755585,0.3719687429627565,0.3979765379881752,0.3838 (0.3720 - 0.3980)
Nationwide Cohort,Diabetes (d),40643,2075,Standard Transformer,Accuracy,0.262813384180096,0.25303850412104806,0.2729886824947718,0.2628 (0.2530 - 0.2730)
