Cohort,Subgroup,Cohort Size,Num Features,Model,Accuracy_Formatted,Brier_Score_Formatted,F1_Score_Formatted,PR_AUC_Formatted,Precision_Formatted,ROC_AUC_Formatted,Recall_Sensitivity_Formatted,Specificity_Formatted
Nationwide Cohort,D,40643,2077,CatBoost,0.7220 (0.7121 - 0.7321),0.1824 (0.1785 - 0.1860),0.5365 (0.5209 - 0.5548),0.5336 (0.5115 - 0.5561),0.4420 (0.4241 - 0.4627),0.7881 (0.7783 - 0.7979),0.6825 (0.6627 - 0.7041),0.7342 (0.7242 - 0.7461)
Nationwide Cohort,D,40643,2077,Gradient Boosting,0.7131 (0.7040 - 0.7245),0.1903 (0.1875 - 0.1934),0.5295 (0.5121 - 0.5482),0.5152 (0.4902 - 0.5365),0.4316 (0.4132 - 0.4503),0.7781 (0.7679 - 0.7881),0.6850 (0.6639 - 0.7078),0.7217 (0.7113 - 0.7329)
Nationwide Cohort,D,40643,2077,HIR-M3 Transformer,0.4893 (0.4793 - 0.4983),0.2519 (0.2506 - 0.2531),0.3906 (0.3768 - 0.4054),0.2961 (0.2803 - 0.3131),0.2717 (0.2598 - 0.2839),0.5892 (0.5751 - 0.6036),0.6943 (0.6747 - 0.7125),0.4260 (0.4149 - 0.4369)
Nationwide Cohort,D,40643,2077,LightGBM,0.6934 (0.6847 - 0.7037),0.1659 (0.1622 - 0.1697),0.5235 (0.5073 - 0.5414),0.5131 (0.4917 - 0.5335),0.4131 (0.3965 - 0.4310),0.7759 (0.7667 - 0.7863),0.7145 (0.6963 - 0.7365),0.6868 (0.6760 - 0.7004)
Nationwide Cohort,D,40643,2077,Logistic Regression,0.6919 (0.6832 - 0.7023),0.2042 (0.1994 - 0.2091),0.4883 (0.4706 - 0.5051),0.4650 (0.4408 - 0.4875),0.4013 (0.3839 - 0.4188),0.7271 (0.7144 - 0.7415),0.6237 (0.5993 - 0.6447),0.7129 (0.7030 - 0.7231)
Nationwide Cohort,D,40643,2077,Random Forest,0.6451 (0.6354 - 0.6547),0.1667 (0.1639 - 0.1696),0.4818 (0.4671 - 0.4985),0.4379 (0.4159 - 0.4609),0.3674 (0.3529 - 0.3852),0.7270 (0.7168 - 0.7387),0.6998 (0.6834 - 0.7197),0.6283 (0.6161 - 0.6395)
Nationwide Cohort,D,40643,2077,Standard MLP,0.6724 (0.6639 - 0.6820),0.2077 (0.2024 - 0.2124),0.4810 (0.4638 - 0.4985),0.4502 (0.4266 - 0.4729),0.3839 (0.3660 - 0.4010),0.7195 (0.7080 - 0.7344),0.6441 (0.6228 - 0.6676),0.6811 (0.6691 - 0.6924)
Nationwide Cohort,D,40643,2077,Standard Transformer,0.7377 (0.7267 - 0.7472),0.2377 (0.2373 - 0.2382),0.1321 (0.1166 - 0.1515),0.2801 (0.2647 - 0.2960),0.3004 (0.2676 - 0.3361),0.5641 (0.5503 - 0.5771),0.0847 (0.0741 - 0.0982),0.9392 (0.9337 - 0.9447)
Nationwide Cohort,D,40643,2077,XGBoost,0.7066 (0.6982 - 0.7178),0.1757 (0.1717 - 0.1792),0.5319 (0.5161 - 0.5495),0.5223 (0.5015 - 0.5462),0.4263 (0.4107 - 0.4449),0.7813 (0.7715 - 0.7917),0.7071 (0.6886 - 0.7287),0.7065 (0.6954 - 0.7195)
Nationwide Cohort,D + HF,14596,2077,CatBoost,0.6538 (0.6356 - 0.6709),0.2062 (0.1992 - 0.2131),0.6746 (0.6549 - 0.6956),0.6335 (0.6025 - 0.6639),0.5557 (0.5313 - 0.5819),0.7373 (0.7179 - 0.7540),0.8587 (0.8396 - 0.8787),0.5066 (0.4834 - 0.5309)
