Cohort,Base Model,Target Model,Pair Name,Ensemble Ratio (Base:HIR),Weight Base Model,Weight HIR-M3,Threshold,ROC_AUC,PR_AUC,F1_Score,Brier_Score,Accuracy,Precision,Recall,Sample Size,ROC_AUC [95% CI],PR_AUC [95% CI],F1 Score [95% CI],Brier [95% CI]
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,100:0,1.0,0.0,0.5575659090961337,0.7186185922182039,0.31271160217119587,0.3497346027466509,0.19455238958059973,0.7725383867260027,0.27706581230810307,0.47407492005481955,339308,,,,
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,90:10,0.9,0.1,0.559281943279957,0.7187497686134025,0.31259158643403906,0.35043512144434347,0.19653157545168606,0.7789189826412425,0.2821978941496409,0.4621973503883052,339308,0.7187 (0.7125 - 0.7245),0.3129 (0.3037 - 0.3214),0.3504 (0.3430 - 0.3581),0.1965 (0.1955 - 0.1976)
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,80:20,0.8,0.2,0.529538352397717,0.7185305145959091,0.31149114638598535,0.348595613697576,0.19919147313052094,0.7505231204503257,0.26285250087037254,0.5173595248972134,339308,,,,
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,70:30,0.7,0.3,0.550635384322565,0.7177195987690318,0.30868097944186534,0.34972963544392116,0.20253208551459992,0.7802599392885562,0.282872460496614,0.4579716765646414,339308,,,,
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,60:40,0.6,0.4,0.5457922482030594,0.7158613296237897,0.30330780345676295,0.3486158414112304,0.20655340391143592,0.7801715245645575,0.2821999151703662,0.4559159433531293,339308,,,,
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,50:50,0.5,0.5,0.5382558903535086,0.7121723722292678,0.29366716818290134,0.3447656517276771,0.21125543376441072,0.7742182664819781,0.2755674049767569,0.4603700319780722,339308,,,,
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,40:60,0.4,0.6,0.5293447277979114,0.7051444144523616,0.27825497372686264,0.33828814113034955,0.216638188120898,0.7612213020541687,0.2632850241545894,0.4730470534490635,339308,,,,
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,30:70,0.3,0.7,0.5269151091687274,0.6924375687464556,0.2564378814714163,0.32888997594879943,0.22270163020284003,0.7574047331348914,0.2557210776545166,0.46071265417999085,339308,,,,
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,20:80,0.2,0.8,0.5170254124043663,0.6718143953093573,0.22962474537165792,0.31554148568063023,0.22944580716624757,0.7260027703280186,0.23280825638240088,0.48949291914116033,339308,,,,
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,10:90,0.1,0.9,0.5193912316027355,0.6379527164280288,0.19881057433789845,0.2835951466281237,0.23687067169528123,0.7224514455807374,0.21260336469917307,0.42576518958428505,339308,,,,
Nationwide Cohort,LightGBM,HIR-M3 Transformer,LightGBM + HIR-M3 Transformer,0:100,0.0,1.0,0.49584251642227173,0.5688714130401363,0.15781841070728939,0.23992454913507544,0.2449762724091722,0.5131001149391412,0.15021891923032607,0.595591594335313,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,100:0,1.0,0.0,0.5561155080795288,0.7180009281587878,0.3122875646538078,0.3524381984422621,0.19924543189770463,0.7745719253779729,0.2799973096583266,0.4754454088624943,339308,0.7181 (0.7119 - 0.7239),0.3129 (0.3037 - 0.3223),0.3527 (0.3452 - 0.3609),0.1992 (0.1980 - 0.2004)
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,90:10,0.9,0.1,0.5520945191383362,0.718160072865504,0.3120263154138061,0.35214677028920877,0.2011247029078972,0.775205564233297,0.28030559123791493,0.4735038830516217,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,80:20,0.8,0.2,0.547176718711853,0.7179554121446866,0.3107714032430867,0.3523232665508916,0.20360261455235373,0.7746750758893047,0.2800107722345654,0.47498857925993604,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,70:30,0.7,0.3,0.5457290410995483,0.7171058784260693,0.3078142689812284,0.35005804204823937,0.20667913569981236,0.7772391028852672,0.2807005447148866,0.46493832800365464,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,60:40,0.6,0.4,0.5441051125526428,0.7151682287029997,0.3024140883259471,0.3489305979921431,0.2103542913220574,0.7802009961392237,0.28239366963402573,0.45648698035632707,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,50:50,0.5,0.5,0.5284769535064697,0.7112939407882489,0.2932084709882888,0.3457779202050954,0.21462805404842028,0.7593351212755297,0.2662882527147088,0.4929191411603472,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,40:60,0.4,0.6,0.5279108285903931,0.7039899788947599,0.2782939816074991,0.33886399418675056,0.21950046293372152,0.7586720108455395,0.2620668123634093,0.4793284604842394,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,30:70,0.3,0.7,0.5175309777259827,0.6908964344969681,0.2567044987165224,0.32671957671957674,0.22497146954677355,0.7299814329079602,0.24084507042253522,0.5077661032434901,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,20:80,0.2,0.8,0.5208466053009033,0.669936332224208,0.22929795505598363,0.31374521258075744,0.23104112019060954,0.7386018684978338,0.23723161528110923,0.46311100959342166,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,10:90,0.1,0.9,0.5236819982528687,0.6360248303498587,0.1982451767285049,0.28095784812202723,0.23770937156592886,0.7415932333264567,0.2191658137154555,0.3912745545911375,339308,,,,
Nationwide Cohort,XGBoost,HIR-M3 Transformer,XGBoost + HIR-M3 Transformer,0:100,0.0,1.0,0.49584251642227173,0.5688714130401363,0.15781841070728939,0.23992454913507544,0.2449762724091722,0.5131001149391412,0.15021891923032607,0.595591594335313,339308,,,,
