Cohort,Base Model,Target Model,Pair Name,Ensemble Ratio (Base:HIR),Weight Base,Weight HIR,Threshold,ROC_AUC,ROC_AUC [95% CI],PR_AUC,PR_AUC [95% CI],F1_Score,F1 Score [95% CI],Brier_Score,Brier [95% CI],Accuracy,Precision,Recall,Sample Size
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,100:0,1.0,0.0,0.5703070163726807,0.7054385585052829,0.7055 (0.6998 - 0.7106),0.28535614360844774,0.2859 (0.2787 - 0.2953),0.3400008457732482,0.3402 (0.3327 - 0.3473),0.20693948909859627,0.2070 (0.2058 - 0.2081),0.7700185670920398,0.26996172184540995,0.459113750571037,339308
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,90:10,0.9,0.1,0.5694918632507324,0.7050447510760955,0.7051 (0.6996 - 0.7104),0.2842030059414371,0.2847 (0.2772 - 0.2947),0.33961446826943903,0.3398 (0.3321 - 0.3471),0.2084425695604894,0.2085 (0.2074 - 0.2095),0.7753529221066282,0.27357107962872496,0.4476930105070809,339308
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,80:20,0.8,0.2,0.565823495388031,0.7041258438876924,0.7042 (0.6983 - 0.7097),0.2819648148376804,0.2825 (0.2747 - 0.2923),0.33824941094336325,0.3384 (0.3303 - 0.3459),0.21051986326013883,0.2105 (0.2096 - 0.2115),0.7765170493059445,0.2736901567575201,0.44266788487894015,339308
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,70:30,0.7,0.3,0.5581283569335938,0.702381770549607,0.7024 (0.6962 - 0.7082),0.27799606422825673,0.2785 (0.2704 - 0.2883),0.3359060114912958,0.3361 (0.3278 - 0.3435),0.21317133521014214,0.2132 (0.2123 - 0.2141),0.7717721257846807,0.26891390910339147,0.44735038830516216,339308
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,60:40,0.6,0.4,0.5426719188690186,0.6993608972718943,0.6994 (0.6932 - 0.7053),0.271464603219004,0.2720 (0.2642 - 0.2816),0.3334920634920635,0.3336 (0.3264 - 0.3408),0.21639701757459057,0.2164 (0.2156 - 0.2172),0.7524977159529633,0.25553393334955,0.4798994974874372,339308
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,50:50,0.5,0.5,0.5317220687866211,0.6943094128941203,0.6943 (0.6882 - 0.6998),0.2613479975565354,0.2619 (0.2545 - 0.2711),0.3297606154535609,0.3299 (0.3223 - 0.3366),0.22019687658863413,0.2202 (0.2195 - 0.2209),0.7355368247325454,0.24499195383164085,0.5042256738236638,339308
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,40:60,0.4,0.6,0.5257753133773804,0.6860673681914123,0.6861 (0.6797 - 0.6915),0.2467711899779296,0.2473 (0.2404 - 0.2559),0.3230155853570134,0.3230 (0.3163 - 0.3296),0.22457094835902855,0.2246 (0.2239 - 0.2252),0.7247649641920367,0.2365933949240735,0.5089081772498858,339308
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,30:70,0.3,0.7,0.529161810874939,0.6732850653355369,0.6733 (0.6671 - 0.6791),0.2296470138870374,0.2301 (0.2233 - 0.2377),0.3149655118964582,0.3151 (0.3081 - 0.3213),0.22951919915052993,0.2295 (0.2289 - 0.2301),0.739500751525154,0.23835777126099708,0.4641388761991777,339308
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,20:80,0.2,0.8,0.5163483023643494,0.6550473196122453,0.6550 (0.6486 - 0.6611),0.2126717498187727,0.2132 (0.2067 - 0.2200),0.30265546218487394,0.3030 (0.2974 - 0.3088),0.2350416587435537,0.2350 (0.2345 - 0.2356),0.6942913559871504,0.21444222158712012,0.5141617176793056,339308
Nationwide Cohort,Standard MLP,Standard Transformer,Standard MLP + Standard Transformer,10:90,0.1,0.9,0.5007539987564087,0.6247972280507815,0.6248 (0.6186 - 0.6306),0.19218002766387912,0.1927 (0.1867 - 0.1989),0.273261634025514,0.2735 (0.2688 - 0.2786),0.2411382951148231,0.2411 (0.2406 - 0.2417),0.5827856532374525,0.17624077078435918,0.6079259936043856,339308
