Cohort,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,222953,4106,LightGBM,ROC_AUC,0.7101040498843861,0.7038899133814175,0.716786674854367,0.7101 (0.7039 - 0.7168)
Texas Cohort,222953,4106,LightGBM,PR_AUC,0.34712083966843515,0.3356989910567698,0.3594654176177644,0.3471 (0.3357 - 0.3595)
Texas Cohort,222953,4106,LightGBM,F1_Score,0.37708949275133236,0.3688171212113271,0.3860292109453241,0.3771 (0.3688 - 0.3860)
Texas Cohort,222953,4106,LightGBM,Accuracy,0.7318638290237941,0.7277898006324146,0.7362724540826624,0.7319 (0.7278 - 0.7363)
Texas Cohort,222953,4106,LightGBM,Precision,0.2929248284933431,0.28529133899179787,0.3007057032640414,0.2929 (0.2853 - 0.3007)
Texas Cohort,222953,4106,LightGBM,Recall_Sensitivity,0.5291690891337113,0.5180493708115917,0.5401934374908965,0.5292 (0.5180 - 0.5402)
Texas Cohort,222953,4106,LightGBM,Specificity,0.7685867248280931,0.76425667946526,0.7727347356396173,0.7686 (0.7643 - 0.7727)
Texas Cohort,222953,4106,LightGBM,Brier_Score,0.19650948986304606,0.19486298352028225,0.19790459274074387,0.1965 (0.1949 - 0.1979)
Texas Cohort,222953,4106,XGBoost,ROC_AUC,0.7111732172188932,0.7045348001057211,0.7178851110676893,0.7112 (0.7045 - 0.7179)
Texas Cohort,222953,4106,XGBoost,PR_AUC,0.3491918910027368,0.3377504474024855,0.36070698043002725,0.3492 (0.3378 - 0.3607)
Texas Cohort,222953,4106,XGBoost,F1_Score,0.37898797302882126,0.36892119361943815,0.3872071355073659,0.3790 (0.3689 - 0.3872)
Texas Cohort,222953,4106,XGBoost,Accuracy,0.7466568365813729,0.7426380884034894,0.7509374088941715,0.7467 (0.7426 - 0.7509)
Texas Cohort,222953,4106,XGBoost,Precision,0.30367053666878213,0.2951873825642304,0.31168697827085357,0.3037 (0.2952 - 0.3117)
Texas Cohort,222953,4106,XGBoost,Recall_Sensitivity,0.5040323521223657,0.49030779031886407,0.5149511715508335,0.5040 (0.4903 - 0.5150)
