Cohort,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,339308,2075,Standard MLP,ROC_AUC,0.7054195713867554,0.6975845658837345,0.7115307866938574,0.7054 (0.6976 - 0.7115)
Nationwide Cohort,339308,2075,Standard MLP,PR_AUC,0.2888201967347811,0.2798796557493274,0.2971457993697799,0.2888 (0.2799 - 0.2971)
Nationwide Cohort,339308,2075,Standard MLP,F1_Score,0.32482917586350835,0.3188791564876637,0.33115902671737024,0.3248 (0.3189 - 0.3312)
Nationwide Cohort,339308,2075,Standard MLP,Accuracy,0.6575144410715865,0.6538559871503935,0.6605681382806283,0.6575 (0.6539 - 0.6606)
Nationwide Cohort,339308,2075,Standard MLP,Precision,0.21791624606617493,0.21337829342227405,0.222549797649055,0.2179 (0.2134 - 0.2225)
Nationwide Cohort,339308,2075,Standard MLP,Recall_Sensitivity,0.6377224598173252,0.628204483401015,0.6476552145955258,0.6377 (0.6282 - 0.6477)
Nationwide Cohort,339308,2075,Standard MLP,Specificity,0.6604497641346798,0.6567171618935389,0.6635884559704579,0.6604 (0.6567 - 0.6636)
Nationwide Cohort,339308,2075,Standard MLP,Brier_Score,0.20754670130306685,0.20624668681052705,0.2088877222255954,0.2075 (0.2062 - 0.2089)
Nationwide Cohort,339308,2075,Standard Transformer,ROC_AUC,0.5634319730303493,0.5580395160379024,0.5693700685364931,0.5634 (0.5580 - 0.5694)
Nationwide Cohort,339308,2075,Standard Transformer,PR_AUC,0.15583407093867863,0.15212477499449706,0.16015894112171827,0.1558 (0.1521 - 0.1602)
Nationwide Cohort,339308,2075,Standard Transformer,F1_Score,0.15491909441084936,0.1472663373632499,0.16280679198895148,0.1549 (0.1473 - 0.1628)
Nationwide Cohort,339308,2075,Standard Transformer,Accuracy,0.8110064542748517,0.8081072617959978,0.8139179511361292,0.8110 (0.8081 - 0.8139)
Nationwide Cohort,339308,2075,Standard Transformer,Precision,0.1834169057902198,0.17381821337360828,0.19252418456831938,0.1834 (0.1738 - 0.1925)
