Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort - Urban,Urban,224440,2075,LightGBM,ROC_AUC,0.7133063398054634,0.7062598016060215,0.72144285441814,0.7133 (0.7063 - 0.7214)
Nationwide Cohort - Urban,Urban,224440,2075,LightGBM,PR_AUC,0.290282310969173,0.27718176349066975,0.3019205187909104,0.2903 (0.2772 - 0.3019)
Nationwide Cohort - Urban,Urban,224440,2075,LightGBM,F1_Score,0.33207615349368647,0.3204607860555256,0.3413303028631724,0.3321 (0.3205 - 0.3413)
Nationwide Cohort - Urban,Urban,224440,2075,LightGBM,Accuracy,0.7644031812511138,0.7605139458207093,0.7682571065763679,0.7644 (0.7605 - 0.7683)
Nationwide Cohort - Urban,Urban,224440,2075,LightGBM,Precision,0.25405516502125725,0.24401907637018924,0.26234709563078706,0.2541 (0.2440 - 0.2623)
Nationwide Cohort - Urban,Urban,224440,2075,LightGBM,Recall_Sensitivity,0.47931381344307356,0.4656788035833122,0.495086350773354,0.4793 (0.4657 - 0.4951)
Nationwide Cohort - Urban,Urban,224440,2075,LightGBM,Specificity,0.8040899051220879,0.8001752755986834,0.8080201283994948,0.8041 (0.8002 - 0.8080)
Nationwide Cohort - Urban,Urban,224440,2075,LightGBM,Brier_Score,0.18822429764626192,0.1868337900678377,0.1898154164788456,0.1882 (0.1868 - 0.1898)
Nationwide Cohort - Urban,Urban,224440,2075,XGBoost,ROC_AUC,0.7162089965459958,0.7075677427946935,0.7237586927546553,0.7162 (0.7076 - 0.7238)
Nationwide Cohort - Urban,Urban,224440,2075,XGBoost,PR_AUC,0.2936542963698719,0.28053067304735846,0.3058976795553892,0.2937 (0.2805 - 0.3059)
Nationwide Cohort - Urban,Urban,224440,2075,XGBoost,F1_Score,0.3390502319001958,0.3280295244664498,0.34911488951321934,0.3391 (0.3280 - 0.3491)
Nationwide Cohort - Urban,Urban,224440,2075,XGBoost,Accuracy,0.7710138567100339,0.7669020673676706,0.7750194929602566,0.7710 (0.7669 - 0.7750)
Nationwide Cohort - Urban,Urban,224440,2075,XGBoost,Precision,0.2619078529594384,0.2512821035927943,0.27013802028363554,0.2619 (0.2513 - 0.2701)
Nationwide Cohort - Urban,Urban,224440,2075,XGBoost,Recall_Sensitivity,0.4806677011019488,0.46677376945923993,0.4951063728543743,0.4807 (0.4668 - 0.4951)
Nationwide Cohort - Urban,Urban,224440,2075,XGBoost,Specificity,0.811431653965251,0.8073354235123517,0.8153928589166007,0.8114 (0.8073 - 0.8154)
Nationwide Cohort - Urban,Urban,224440,2075,XGBoost,Brier_Score,0.19625599568998645,0.1948541062130181,0.1976814095415624,0.1963 (0.1949 - 0.1977)
Nationwide Cohort - Urban,Urban,224440,2075,CatBoost,ROC_AUC,0.7214401793669808,0.7143684719474982,0.7285052617169481,0.7214 (0.7144 - 0.7285)
Nationwide Cohort - Urban,Urban,224440,2075,CatBoost,PR_AUC,0.295787456206146,0.28295447766920995,0.30680267304492603,0.2958 (0.2830 - 0.3068)
Nationwide Cohort - Urban,Urban,224440,2075,CatBoost,F1_Score,0.33708203883991655,0.3265422409971253,0.34658239470524677,0.3371 (0.3265 - 0.3466)
Nationwide Cohort - Urban,Urban,224440,2075,CatBoost,Accuracy,0.7737168062733916,0.7686892933523436,0.7775151488148281,0.7737 (0.7687 - 0.7775)
Nationwide Cohort - Urban,Urban,224440,2075,CatBoost,Precision,0.26252651376072966,0.2530043179690572,0.2712845927722109,0.2625 (0.2530 - 0.2713)
Nationwide Cohort - Urban,Urban,224440,2075,CatBoost,Recall_Sensitivity,0.47083439081896933,0.45469307693241645,0.4849223972855015,0.4708 (0.4547 - 0.4849)
Nationwide Cohort - Urban,Urban,224440,2075,CatBoost,Specificity,0.8158799749871909,0.811632195059403,0.8194472651232291,0.8159 (0.8116 - 0.8194)
Nationwide Cohort - Urban,Urban,224440,2075,CatBoost,Brier_Score,0.20696414213196734,0.20570279172699973,0.20838289653698713,0.2070 (0.2057 - 0.2084)
Nationwide Cohort - Urban,Urban,224440,2075,Random Forest,ROC_AUC,0.6630523601524516,0.6556702568580053,0.6705792396229808,0.6631 (0.6557 - 0.6706)
Nationwide Cohort - Urban,Urban,224440,2075,Random Forest,PR_AUC,0.2217683605042163,0.21244672001309156,0.2310689456712331,0.2218 (0.2124 - 0.2311)
Nationwide Cohort - Urban,Urban,224440,2075,Random Forest,F1_Score,0.28560448972338487,0.27723024898674736,0.2951009812091456,0.2856 (0.2772 - 0.2951)
Nationwide Cohort - Urban,Urban,224440,2075,Random Forest,Accuracy,0.6886999866333987,0.6846590402780253,0.6926294332561042,0.6887 (0.6847 - 0.6926)
Nationwide Cohort - Urban,Urban,224440,2075,Random Forest,Precision,0.1984593622184984,0.19183458861981384,0.20601099665693134,0.1985 (0.1918 - 0.2060)
Nationwide Cohort - Urban,Urban,224440,2075,Random Forest,Recall_Sensitivity,0.5092562104420874,0.49570282733500515,0.5225241139608745,0.5093 (0.4957 - 0.5225)
Nationwide Cohort - Urban,Urban,224440,2075,Random Forest,Specificity,0.7136782024719837,0.7093988294681233,0.7177071228930493,0.7137 (0.7094 - 0.7177)
Nationwide Cohort - Urban,Urban,224440,2075,Random Forest,Brier_Score,0.15599970449854175,0.154968597492473,0.1569921480503241,0.1560 (0.1550 - 0.1570)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,ROC_AUC,0.71116241763208,0.7040730299781692,0.7192746748759166,0.7112 (0.7041 - 0.7193)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,PR_AUC,0.2722728940285055,0.2609762232783871,0.28388452696211125,0.2723 (0.2610 - 0.2839)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,F1_Score,0.3301493194437757,0.3185506379585327,0.3392656547044402,0.3301 (0.3186 - 0.3393)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Accuracy,0.7735824719301373,0.7691805159508109,0.7772077169844948,0.7736 (0.7692 - 0.7772)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Precision,0.25854907064642463,0.2480297071946795,0.26711123708915224,0.2585 (0.2480 - 0.2671)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Recall_Sensitivity,0.4566461185581811,0.44269740771011845,0.47098244824316515,0.4566 (0.4427 - 0.4710)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Specificity,0.8177017299272742,0.8139551833331858,0.8215206831170675,0.8177 (0.8140 - 0.8215)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Brier_Score,0.21424847394131372,0.21298477689517384,0.2155983569123214,0.2142 (0.2130 - 0.2156)
