Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort (Urban),Urban,339307,2075,Standard MLP,ROC_AUC,0.7061021905080571,0.7014022311046311,0.7115718027680034,0.7061 (0.7014 - 0.7116)
Nationwide Cohort (Urban),Urban,339307,2075,Standard MLP,PR_AUC,0.2858968178234305,0.27787930451851545,0.29509042393550516,0.2859 (0.2779 - 0.2951)
Nationwide Cohort (Urban),Urban,339307,2075,Standard MLP,F1_Score,0.34001643291660527,0.3330051054549477,0.3478420378653999,0.3400 (0.3330 - 0.3478)
Nationwide Cohort (Urban),Urban,339307,2075,Standard MLP,Accuracy,0.7646654239486016,0.7614419704694821,0.7676682090124075,0.7647 (0.7614 - 0.7677)
Nationwide Cohort (Urban),Urban,339307,2075,Standard MLP,Precision,0.26612978362651785,0.2599437286277188,0.27312798334084193,0.2661 (0.2599 - 0.2731)
Nationwide Cohort (Urban),Urban,339307,2075,Standard MLP,Recall_Sensitivity,0.470725300859802,0.46009700643463597,0.47939631579267356,0.4707 (0.4601 - 0.4794)
Nationwide Cohort (Urban),Urban,339307,2075,Standard MLP,Specificity,0.8081155005152492,0.8050932308213232,0.8112656381482456,0.8081 (0.8051 - 0.8113)
Nationwide Cohort (Urban),Urban,339307,2075,Standard MLP,Brier_Score,0.21652786615185593,0.2152042599063964,0.2177974281735356,0.2165 (0.2152 - 0.2178)
Nationwide Cohort (Urban),Urban,339307,2075,Standard Transformer,ROC_AUC,0.5938743548069776,0.5885305115098284,0.5989925743474943,0.5939 (0.5885 - 0.5990)
Nationwide Cohort (Urban),Urban,339307,2075,Standard Transformer,PR_AUC,0.1739249382583788,0.16963028531716906,0.1799999231502436,0.1739 (0.1696 - 0.1800)
Nationwide Cohort (Urban),Urban,339307,2075,Standard Transformer,F1_Score,0.24836982312000735,0.24416573418486592,0.25271731411258413,0.2484 (0.2442 - 0.2527)
Nationwide Cohort (Urban),Urban,339307,2075,Standard Transformer,Accuracy,0.5048687778137986,0.501616515870443,0.5087983702219209,0.5049 (0.5016 - 0.5088)
Nationwide Cohort (Urban),Urban,339307,2075,Standard Transformer,Precision,0.1543649303806288,0.15130947155485003,0.15764365314508264,0.1544 (0.1513 - 0.1576)
Nationwide Cohort (Urban),Urban,339307,2075,Standard Transformer,Recall_Sensitivity,0.6352260293229558,0.6260598671678409,0.644714179390036,0.6352 (0.6261 - 0.6447)
Nationwide Cohort (Urban),Urban,339307,2075,Standard Transformer,Specificity,0.485598962732804,0.48167289800221075,0.4892862474515773,0.4856 (0.4817 - 0.4893)
Nationwide Cohort (Urban),Urban,339307,2075,Standard Transformer,Brier_Score,0.2450368514654047,0.24444783333490536,0.24559345939312613,0.2450 (0.2444 - 0.2456)
Nationwide Cohort (Urban),Urban,339307,2075,SAINT Transformer,ROC_AUC,0.5935013362268566,0.5884418781128917,0.5988961076093521,0.5935 (0.5884 - 0.5989)
Nationwide Cohort (Urban),Urban,339307,2075,SAINT Transformer,PR_AUC,0.17463355382911924,0.16980259366094733,0.18058706624503426,0.1746 (0.1698 - 0.1806)
Nationwide Cohort (Urban),Urban,339307,2075,SAINT Transformer,F1_Score,0.22699712907614547,0.22119759105404385,0.23276616077051146,0.2270 (0.2212 - 0.2328)
Nationwide Cohort (Urban),Urban,339307,2075,SAINT Transformer,Accuracy,0.7415610356311336,0.7383793581091038,0.7446468568565618,0.7416 (0.7384 - 0.7446)
Nationwide Cohort (Urban),Urban,339307,2075,SAINT Transformer,Precision,0.18461630471408605,0.17984205340334064,0.19020900819901562,0.1846 (0.1798 - 0.1902)
Nationwide Cohort (Urban),Urban,339307,2075,SAINT Transformer,Recall_Sensitivity,0.29465814334025675,0.28663734143632125,0.3024330100668792,0.2947 (0.2866 - 0.3024)
Nationwide Cohort (Urban),Urban,339307,2075,SAINT Transformer,Specificity,0.8076238330648107,0.8044906355765494,0.8111029758425968,0.8076 (0.8045 - 0.8111)
Nationwide Cohort (Urban),Urban,339307,2075,SAINT Transformer,Brier_Score,0.20741611959388132,0.20673370323026016,0.20809453482307344,0.2074 (0.2067 - 0.2081)
Nationwide Cohort (Urban),Urban,339307,2075,HIR-M3 Transformer,ROC_AUC,0.5924991554580954,0.5866813925637123,0.5986204328484891,0.5925 (0.5867 - 0.5986)
Nationwide Cohort (Urban),Urban,339307,2075,HIR-M3 Transformer,PR_AUC,0.17166952396956373,0.16749171813782415,0.17653739116678532,0.1717 (0.1675 - 0.1765)
Nationwide Cohort (Urban),Urban,339307,2075,HIR-M3 Transformer,F1_Score,0.24026480310996542,0.23603787847768676,0.24484086472673533,0.2403 (0.2360 - 0.2448)
Nationwide Cohort (Urban),Urban,339307,2075,HIR-M3 Transformer,Accuracy,0.26774652972208307,0.265024240370163,0.27091008222569335,0.2677 (0.2650 - 0.2709)
Nationwide Cohort (Urban),Urban,339307,2075,HIR-M3 Transformer,Precision,0.13866132125428432,0.1359688008538906,0.14150872750625842,0.1387 (0.1360 - 0.1415)
Nationwide Cohort (Urban),Urban,339307,2075,HIR-M3 Transformer,Recall_Sensitivity,0.899078665856236,0.8934230483780269,0.9051243521762206,0.8991 (0.8934 - 0.9051)
Nationwide Cohort (Urban),Urban,339307,2075,HIR-M3 Transformer,Specificity,0.17442092901773176,0.1716251062674396,0.17718810310790764,0.1744 (0.1716 - 0.1772)
Nationwide Cohort (Urban),Urban,339307,2075,HIR-M3 Transformer,Brier_Score,0.2793871706746681,0.2787983918525677,0.2799184160438963,0.2794 (0.2788 - 0.2799)
