Dataset,Cohort Size,Num Features,Method,Feature Name,Score
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_93,1.0000001687052085
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Laramie,1.000000168705208
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Mayes,1.0000001663961096
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Galveston,1.0000001638807643
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Greene,1.0000001638084484
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_26,1.000000163571804
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Ionia,1.0000001635718025
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_188,1.0000001581902558
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Larimer,1.0000001443748072
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1BHLS,1.0000001412387616
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2BFKS,1.0000001398651241
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2BFLS,1.0000001372968526
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2CFKS,1.0000001353389123
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Alachua,1.0000001353050278
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_120,1.000000135305027
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_30,1.0000001352525658
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_245,1.0000001316995404
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_val_3,1.000000130307303
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_159,1.0000001301031143
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_344,1.0000001293149208
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Rockbridge,1.0000001293149194
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1BFNS,1.000000125599096
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Logan,1.0000001248706787
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_464,1.0000001248688082
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_123,1.0000001248688082
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_534,1.000000124868808
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_169,1.000000124868808
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Kalkaska,1.000000124868808
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1CHPT,1.00000012451447
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_2,1.0000001242415695
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_158,1.0000001239304488
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1CHKU,1.0000001237739915
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Will,1.000000122754891
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Hanover,1.0000001227211142
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Kalamazoo,1.0000001225967126
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_131,1.00000012105454
