Dataset,Method,Feature Name,Score
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_26,1.0000001591142398
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1AFKT,1.0000001475322948
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2AFKS,1.000000146608178
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CGPT,1.0000001440544823
Complete Cohort,Variance Threshold,depre,1.000000127194665
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_Other,1.000000120774362
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CHLS,1.0000001199039232
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_val_8,1.0000001197545456
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CFKS,1.0000001177947049
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_16,1.0000001166630665
Complete Cohort,Variance Threshold,COUNTY_NAME_Calhoun,1.0000001160015526
Complete Cohort,Variance Threshold,COUNTY_NAME_Red_River,1.0000001160015526
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_Other,1.0000001149155127
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_val_8,1.0000001130073801
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_193,1.00000011300738
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_val_8,1.0000001121987656
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_3BHMS,1.0000001114329689
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_77,1.0000001114329686
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CHMT,1.0000001114329684
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_20,1.00000011116062
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_val_15,1.0000001074636753
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BFKU,1.000000106043417
Complete Cohort,Variance Threshold,COUNTY_NAME_Nolan,1.0000001060434165
Complete Cohort,Variance Threshold,COUNTY_NAME_Burleson,1.0000001060434165
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_10,1.0000001055510124
Complete Cohort,Variance Threshold,COUNTY_NAME_Howard,1.0000001040988529
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_val_11,1.0000001013991506
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_62,1.0000001008926598
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_28,1.0000001000634255
Complete Cohort,Variance Threshold,obes,1.0000000999462884
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_18,1.0000000993583817
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_18,1.0000000988599806
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BGPT,1.000000097918629
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_14,1.0000000975953003
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CGLS,1.0000000975952998
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_7,1.0000000975506074
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1AHPS,1.0000000975506071
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_9,1.0000000968176876
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_72,1.0000000959815771
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_12,1.0000000954251789
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CHNU,1.0000000954251789
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_4,1.0000000952205614
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_3BHKS,1.0000000947593999
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_18,1.0000000946985845
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_28,1.0000000934572988
Complete Cohort,Variance Threshold,COUNTY_NAME_Bee,1.000000091927857
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1AHKS,1.000000091091429
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_46,1.0000000906879427
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_Other,1.0000000899654236
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_13,1.000000089677293
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_116,1.000000089545671
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_112,1.000000089545671
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_16,1.0000000888880316
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_val_30,1.0000000881189683
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_35,1.000000086821251
Complete Cohort,Variance Threshold,COUNTY_NAME_Val_Verde,1.0000000861163703
Complete Cohort,Variance Threshold,Agency_Medicare_Number_freq,1.0000000857958284
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BHKS,1.0000000829580917
Complete Cohort,Variance Threshold,BMI_Category_Obese_Class2,1.0000000809673386
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_24,1.000000080168059
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_val_28,1.000000079833934
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_val_18,1.0000000798339337
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_13,1.0000000789362535
Complete Cohort,Variance Threshold,COUNTY_NAME_Wharton,1.0000000789350598
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_3,1.0000000780620852
Complete Cohort,Variance Threshold,COUNTY_NAME_Guadalupe,1.0000000775352702
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_28,1.0000000763673278
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_val_28,1.0000000763537
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CHMS,1.0000000762535357
Complete Cohort,Variance Threshold,COUNTY_NAME_Tarrant,1.0000000757575567
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_8,1.000000075212116
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_4BGKS,1.0000000749637752
Complete Cohort,Variance Threshold,COUNTY_NAME_Camp,1.000000074963775
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_131,1.000000074963775
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BFPS,1.000000074530883
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2BGKT,1.000000074530883
Complete Cohort,Variance Threshold,COUNTY_NAME_Kendall,1.0000000740043629
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_139,1.0000000736664207
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2BHKS,1.0000000729124887
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_19,1.0000000722933573
Complete Cohort,Variance Threshold,chf,1.0000000713144377
Complete Cohort,Variance Threshold,lymph,1.0000000711594432
Complete Cohort,Variance Threshold,COUNTY_NAME_Harrison,1.0000000708233594
Complete Cohort,Variance Threshold,COUNTY_NAME_Henderson,1.000000070773411
Complete Cohort,Variance Threshold,alcohol,1.0000000707734107
Complete Cohort,Variance Threshold,COUNTY_NAME_San_Patricio,1.0000000705468934
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CGKT,1.0000000698421978
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CGKS,1.0000000696240872
Complete Cohort,Variance Threshold,COUNTY_NAME_Collin,1.000000069150686
Complete Cohort,Variance Threshold,pvd,1.0000000687663533
Complete Cohort,Variance Threshold,COUNTY_NAME_Jim_Wells,1.0000000686404042
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_34,1.0000000682850654
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_4,1.0000000682850652
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_15,1.0000000682850647
Complete Cohort,Variance Threshold,COUNTY_NAME_Grayson,1.0000000678877372
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_10,1.0000000678141374
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_142,1.0000000663265587
Complete Cohort,Variance Threshold,COUNTY_NAME_Duval,1.0000000663265587
Complete Cohort,Variance Threshold,COUNTY_NAME_Gonzales,1.0000000656682186
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_13,1.0000000656682186
Complete Cohort,Variance Threshold,COUNTY_NAME_Aransas,1.0000000654781744
Complete Cohort,Variance Threshold,COUNTY_NAME_DeWitt,1.0000000654781744
Complete Cohort,Variance Threshold,COUNTY_NAME_Liberty,1.000000065117998
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2BGLT,1.000000064882646
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2AHKS,1.000000064882646
Complete Cohort,Variance Threshold,aids,1.0000000648066705
Complete Cohort,Variance Threshold,COUNTY_NAME_Walker,1.0000000646529779
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_val_15,1.000000063109166
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_15,1.0000000626766021
Complete Cohort,Variance Threshold,COUNTY_NAME_Grimes,1.000000062676602
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_val_26,1.000000062676602
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_11,1.0000000620034093
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_7,1.0000000619511566
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2BGLS,1.0000000603883112
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_24,1.000000060145996
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_34,1.0000000598127408
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_2,1.0000000592675815
Complete Cohort,Variance Threshold,ACS_PCT_POV_ASIAN,1.000000058417473
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CHPW,1.0000000582236204
Complete Cohort,Variance Threshold,COUNTY_NAME_Robertson,1.0000000582236204
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_72,1.0000000582236204
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_46,1.0000000570895466
Complete Cohort,Variance Threshold,COUNTY_NAME_Washington,1.000000053627166
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CHKT,1.0000000535130416
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_46,1.0000000534163527
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CGLT,1.0000000532654378
Complete Cohort,Variance Threshold,COUNTY_NAME_Colorado,1.0000000528787023
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CGPS,1.0000000527917015
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_val_4,1.0000000524776085
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_5AGKS,1.0000000513411988
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_val_9,1.0000000499064041
Complete Cohort,Variance Threshold,COUNTY_NAME_Wichita,1.0000000498884576
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_30,1.0000000498216486
Complete Cohort,Variance Threshold,carit,1.0000000496957961
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CHKS,1.0000000496571586
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_19,1.0000000496234824
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_32,1.0000000492080108
Complete Cohort,Variance Threshold,COUNTY_NAME_Martin,1.0000000492080108
Complete Cohort,Variance Threshold,COUNTY_NAME_Medina,1.000000048866511
Complete Cohort,Variance Threshold,elix_quan_ageadj,1.000000048820286
Complete Cohort,Variance Threshold,COUNTY_NAME_Van_Zandt,1.0000000485682714
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_14,1.000000047987896
Complete Cohort,Variance Threshold,ACS_PCT_GRADUATE_DGR,1.0000000478525963
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_5,1.0000000474809965
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CGMS,1.0000000473342998
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_0,1.0000000467257872
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_31,1.000000046711495
Complete Cohort,Variance Threshold,COUNTY_NAME_Cooke,1.0000000467114947
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BFMS,1.0000000465721284
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_val_28,1.000000046572128
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_112,1.0000000458562581
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CHKT,1.000000045856258
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_18,1.0000000458489553
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_9,1.0000000457172815
Complete Cohort,Variance Threshold,COUNTY_NAME_Hale,1.0000000454524451
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_15,1.0000000448432715
Complete Cohort,Variance Threshold,American_Indian_or_Alaska_Native,1.0000000438781906
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_5CHKU,1.0000000436761263
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_Other,1.000000042400919
