Dataset,Method,Feature Name,Score
Complete Cohort,Variance Threshold,metacanc,1.000000000000001
Complete Cohort,Variance Threshold,ACS_PCT_HH_FOOD_STMP_BLW_POV,1.0000000000000009
Complete Cohort,Variance Threshold,Asian,1.0000000000000009
Complete Cohort,Variance Threshold,ACS_PCT_HH_KID_1PRNT,1.0000000000000007
Complete Cohort,Variance Threshold,ACS_PCT_HH_PC,1.0000000000000007
Complete Cohort,Variance Threshold,ond,1.0000000000000007
Complete Cohort,Variance Threshold,ACS_PCT_PERSON_INC_125_199,1.0000000000000007
Complete Cohort,Variance Threshold,ACS_TOT_POP_POV,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_CHILD_1FAM,1.0000000000000004
Complete Cohort,Variance Threshold,copd,1.0000000000000004
Complete Cohort,Variance Threshold,dane,1.0000000000000004
Complete Cohort,Variance Threshold,drug,1.0000000000000004
Complete Cohort,Variance Threshold,hypc,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_HH_SMARTPHONE_ONLY,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_CHILDREN_GRANDPARENT,1.0000000000000004
Complete Cohort,Variance Threshold,chf,1.0000000000000004
Complete Cohort,Variance Threshold,rend,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_HH_INTERNET_NO_SUBS,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_HH_BROADBAND,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_NO_WORK_NO_SCHL_16_19,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_HEALTH_INC_200_399,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_VET_POV_18_64,1.0000000000000004
Complete Cohort,Variance Threshold,cevd,1.0000000000000004
Complete Cohort,Variance Threshold,charlson_ageadj,1.0000000000000004
Complete Cohort,Variance Threshold,Black_or_African_American,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_POV_BLACK,1.0000000000000004
Complete Cohort,Variance Threshold,Native_Hawiian_or_Pacific_Islander,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_NONVET_POV_18_64,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_POV_AIAN,1.0000000000000004
Complete Cohort,Variance Threshold,ACS_PCT_HH_1PERS,1.0000000000000002
Complete Cohort,Variance Threshold,alcohol,1.0000000000000002
Complete Cohort,Variance Threshold,ACS_PCT_POV_WHITE,1.0000000000000002
Complete Cohort,Variance Threshold,ACS_PCT_POV_OTHER,1.0000000000000002
Complete Cohort,Variance Threshold,ACS_PCT_HH_CELLULAR,1.0000000000000002
Complete Cohort,Variance Threshold,ACS_PCT_COLLEGE_ASSOCIATE_DGR,1.0000000000000002
Complete Cohort,Variance Threshold,American_Indian_or_Alaska_Native,1.0000000000000002
Complete Cohort,Variance Threshold,ACS_PCT_HH_NO_INTERNET,1.0000000000000002
Complete Cohort,Variance Threshold,Days_Cared_For,1.0000000000000002
Complete Cohort,Variance Threshold,ACS_PCT_HH_OTHER_COMP_ONLY,1.0000000000000002
Complete Cohort,Variance Threshold,ACS_PCT_PERSON_INC_BELOW99,1.0000000000000002
Complete Cohort,Variance Threshold,lymph,1.0000000000000002
Complete Cohort,Variance Threshold,ld,1.0000000000000002
Complete Cohort,Variance Threshold,White,1.0000000000000002
Complete Cohort,Variance Threshold,ACS_PCT_HH_ALONE_ABOVE65,1.0000000000000002
Complete Cohort,Variance Threshold,Hispanic_or_Latino,1.0
Complete Cohort,Variance Threshold,carit,1.0
Complete Cohort,Variance Threshold,coag,1.0
Complete Cohort,Variance Threshold,POPPCT_URB,1.0
Complete Cohort,Variance Threshold,POP_RUR,1.0
Complete Cohort,Variance Threshold,POPPCT_RUR,1.0
Complete Cohort,Variance Threshold,ACS_PCT_BACHELOR_DGR,1.0
Complete Cohort,Variance Threshold,elix_swiss_score,1.0
Complete Cohort,Variance Threshold,ACS_PCT_GRADUATE_DGR,1.0
Complete Cohort,Variance Threshold,ACS_PCT_VET_COLLEGE,1.0
Complete Cohort,Variance Threshold,hp,1.0
Complete Cohort,Variance Threshold,Age,1.0
Complete Cohort,Variance Threshold,ACS_PCT_HH_PUB_ASSIST,1.0
