Cluster_ID,Cluster_Name,Source_Column
-196,"Factors Influencing Health Status: Z92.21, Z92.3",Other_Diagnosis_Code_1_ICD_10_C_M_Cluster
-195,"Factors Influencing Health Status: Z86.718, Z86.711",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-194,"Factors Influencing Health Status: Z90.5, Z85.528",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-193,"Factors Influencing Health Status: Z74.1, Z74.3",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-192,"Factors Influencing Health Status: Z94.4, Z48.23",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-191,"Factors Influencing Health Status: Z94.0, Z48.22",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-190,"Injury/Toxicity: T87.81, T87.44",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-189,"Factors Influencing Health Status: Z94.2, T86.810",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-188,"Injury/Toxicity: T81.4XXA, T81.31XA",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-187,"Injury/Toxicity: S91.302D, S91.301D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-186,"Injury/Toxicity: S91.302A, S91.301A",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-185,"Injury/Toxicity: S91.104D, S91.101D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-184,"Injury/Toxicity: S91.001D, S91.002D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-183,"Injury/Toxicity: S90.821D, S90.822D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-182,"Injury/Toxicity: S82.62XD, S82.52XD",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-181,"Injury/Toxicity: S82.402D, S82.202D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-180,"Injury/Toxicity: S82.401D, S82.201D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-179,"Injury/Toxicity: S81.811D, S81.812D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-178,"Injury/Toxicity: S81.812A, S81.811A",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-177,"Injury/Toxicity: S81.802S, S81.801S",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-176,"Injury/Toxicity: S81.801D, S81.802D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-175,"Injury/Toxicity: S81.802A, S81.801A",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-174,"Injury/Toxicity: S81.011D, S81.012D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-173,"Injury/Toxicity: S80.822D, S80.821D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-172,"Injury/Toxicity: S80.811D, S80.812D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-171,"Injury/Toxicity: S80.212D, S80.211D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-170,"Injury/Toxicity: S61.402D, S61.401D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-169,"Injury/Toxicity: S60.512D, S60.511D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-168,"Injury/Toxicity: S52.502D, S52.602D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-167,"Injury/Toxicity: S52.501D, S52.601D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-166,"Injury/Toxicity: S51.802D, S51.801D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-165,"Injury/Toxicity: S51.001D, S51.002D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-164,"Injury/Toxicity: S50.912D, S50.911D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-163,"Injury/Toxicity: S50.811D, S50.812D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-162,"Injury/Toxicity: S50.312D, S50.311D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-161,"Injury/Toxicity: S41.112D, S41.111D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-160,"Injury/Toxicity: S41.101D, S41.102D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-159,"Injury/Toxicity: S70.01XD, S40.011D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-158,"Injury/Toxicity: S32.592D, S32.512D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-157,"Injury/Toxicity: S32.591D, S32.511D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
