Method,Dataset,Feature_Short,Score_TX,Score_Nationwide,Score_Diff,Abs_Diff
LightGBM Importance,Complete Cohort,Agency Medicare Number freq,25.0,154.0,-129.0,129.0
LightGBM Importance,Complete Cohort,Facility Internal ID freq,140.0,257.0,-117.0,117.0
LightGBM Importance,Heart Failure Patients,Agency Medicare Number freq,4.0,112.0,-108.0,108.0
LightGBM Importance,Hypertensive Patients,Agency Medicare Number freq,7.0,100.0,-93.0,93.0
LightGBM Importance,Heart Failure Patients,Days Cared For,294.0,382.0,-88.0,88.0
LightGBM Importance,Hypertensive Patients,Primary Dx – Circulatory: I50.22,0.0,87.0,-87.0,87.0
LightGBM Importance,Heart Failure Patients,Facility Internal ID freq,174.0,96.0,78.0,78.0
LightGBM Importance,Diabetic Patients,Agency Medicare Number freq,13.0,90.0,-77.0,77.0
LightGBM Importance,Hypertensive Patients,"Primary Dx – Circulatory: I10., M62.81",58.0,0.0,58.0,58.0
LightGBM Importance,Hypertensive Patients,HYPUNC,28.0,86.0,-58.0,58.0
LightGBM Importance,Hypertensive Patients,HYPC,25.0,78.0,-53.0,53.0
LightGBM Importance,Heart Failure Patients,CHF,52.0,93.0,-41.0,41.0
LightGBM Importance,Diabetic Patients,Facility Internal ID freq,159.0,120.0,39.0,39.0
LightGBM Importance,Hypertensive Patients,Dx5 – Circulatory: I50.22,2.0,40.0,-38.0,38.0
LightGBM Importance,Complete Cohort,Age,148.0,111.0,37.0,37.0
LightGBM Importance,Complete Cohort,ByDiscipline RN,14.0,50.0,-36.0,36.0
LightGBM Importance,Diabetic Patients,Primary Dx – Genitourinary: N18.5,8.0,42.0,-34.0,34.0
LightGBM Importance,Hypertensive Patients,Acs % Hh Sat Internet,46.0,13.0,33.0,33.0
LightGBM Importance,Hypertensive Patients,Facility Internal ID freq,156.0,123.0,33.0,33.0
LightGBM Importance,Heart Failure Patients,Primary Dx – Circulatory: I50.22,2.0,35.0,-33.0,33.0
LightGBM Importance,Complete Cohort,HIPPS: Other,48.0,17.0,31.0,31.0
LightGBM Importance,Complete Cohort,Acs % Hh Cellular Only,31.0,1.0,30.0,30.0
LightGBM Importance,Hypertensive Patients,elix swiss score,46.0,75.0,-29.0,29.0
LightGBM Importance,Diabetic Patients,Dx5 – Circulatory: I50.22,0.0,29.0,-29.0,29.0
LightGBM Importance,Heart Failure Patients,"Dx4 – Circulatory: I10., M62.81",29.0,1.0,28.0,28.0
LightGBM Importance,Complete Cohort,Dx5 – Circulatory: I50.22,0.0,26.0,-26.0,26.0
LightGBM Importance,Complete Cohort,Acs % Hh Broadband Only,32.0,6.0,26.0,26.0
LightGBM Importance,Hypertensive Patients,Age,147.0,121.0,26.0,26.0
LightGBM Importance,Diabetic Patients,Age,149.0,123.0,26.0,26.0
LightGBM Importance,Hypertensive Patients,"Dx5 – Circulatory: I10., M62.81",26.0,0.0,26.0,26.0
LightGBM Importance,Hypertensive Patients,Days Cared For,360.0,334.0,26.0,26.0
LightGBM Importance,Hypertensive Patients,charlson ageadj,28.0,3.0,25.0,25.0
LightGBM Importance,Complete Cohort,elix quan ageadj,26.0,2.0,24.0,24.0
LightGBM Importance,Diabetic Patients,Primary Dx – Circulatory: I50.22,0.0,24.0,-24.0,24.0
LightGBM Importance,Heart Failure Patients,Dx5 – Circulatory: I50.22,4.0,28.0,-24.0,24.0
LightGBM Importance,Hypertensive Patients,Dx4 – Circulatory: I50.22,1.0,25.0,-24.0,24.0
LightGBM Importance,Diabetic Patients,"Primary Dx – Circulatory: I10., M62.81",24.0,0.0,24.0,24.0
LightGBM Importance,Diabetic Patients,Acs % No Work No Schl 16 19,33.0,9.0,24.0,24.0
LightGBM Importance,Hypertensive Patients,Dx3 – Circulatory: I50.22,0.0,23.0,-23.0,23.0
LightGBM Importance,Heart Failure Patients,elix quan ageadj,35.0,12.0,23.0,23.0
LightGBM Importance,Complete Cohort,"Dx5 – Circulatory: I10., M62.81",23.0,0.0,23.0,23.0
LightGBM Importance,Diabetic Patients,elix quan ageadj,30.0,7.0,23.0,23.0
LightGBM Importance,Diabetic Patients,Days Cared For,316.0,338.0,-22.0,22.0
