Cohort,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,LightGBM,ROC_AUC,0.827517008085995,0.8232825266261697,0.8326133241434902,0.8275 (0.8233 - 0.8326)
Texas Cohort,LightGBM,PR_AUC,0.48630570919622174,0.4730610545125299,0.49895219698457777,0.4863 (0.4731 - 0.4990)
Texas Cohort,LightGBM,F1_Score,0.4876114314622189,0.4774231340955039,0.4975714192299228,0.4876 (0.4774 - 0.4976)
Texas Cohort,LightGBM,Accuracy,0.8202437818431971,0.8168825375669111,0.8233409291226863,0.8202 (0.8169 - 0.8233)
Texas Cohort,LightGBM,Precision,0.4333903083823031,0.42215132349730544,0.44337265614431376,0.4334 (0.4222 - 0.4434)
Texas Cohort,LightGBM,Recall_Sensitivity,0.5573818414724677,0.5473580708431856,0.568186020332018,0.5574 (0.5474 - 0.5682)
Texas Cohort,LightGBM,Specificity,0.8678954209224693,0.8645871498529409,0.8713444368329789,0.8679 (0.8646 - 0.8713)
Texas Cohort,LightGBM,Brier_Score,0.1751167371689786,0.1730690025274476,0.1770911420637375,0.1751 (0.1731 - 0.1771)
Texas Cohort,XGBoost,ROC_AUC,0.8234531428718008,0.8188399981362355,0.8287235957888954,0.8235 (0.8188 - 0.8287)
Texas Cohort,XGBoost,PR_AUC,0.4822149757114333,0.4698817086627113,0.4944370735413634,0.4822 (0.4699 - 0.4944)
Texas Cohort,XGBoost,F1_Score,0.484874194497222,0.4756449876430501,0.4941504131741309,0.4849 (0.4756 - 0.4942)
Texas Cohort,XGBoost,Accuracy,0.8151913279016273,0.8120740804437088,0.818433045983189,0.8152 (0.8121 - 0.8184)
Texas Cohort,XGBoost,Precision,0.42366224522349755,0.41308268415905075,0.43262022292936453,0.4237 (0.4131 - 0.4326)
Texas Cohort,XGBoost,Recall_Sensitivity,0.566806850613187,0.5574339798685573,0.5793341145177648,0.5668 (0.5574 - 0.5793)
Texas Cohort,XGBoost,Specificity,0.8602190657431374,0.8567726947381611,0.8633210328363702,0.8602 (0.8568 - 0.8633)
Texas Cohort,XGBoost,Brier_Score,0.10300920113795688,0.10133190563312969,0.10500735043293255,0.1030 (0.1013 - 0.1050)
Texas Cohort,CatBoost,ROC_AUC,0.8211546775485757,0.8155818932237091,0.8261057076032562,0.8212 (0.8156 - 0.8261)
Texas Cohort,CatBoost,PR_AUC,0.47942473775750716,0.46679792105763007,0.4913379959598715,0.4794 (0.4668 - 0.4913)
Texas Cohort,CatBoost,F1_Score,0.48065271355347966,0.47033939304345224,0.49094700562973626,0.4807 (0.4703 - 0.4909)
