Ensemble Model,Split Ratio (Base/HIR),Threshold,ROC_AUC,ROC_AUC [95% CI],PR_AUC,PR_AUC [95% CI],F1_Score,F1 Score [95% CI],Brier_Score,Brier [95% CI]
LightGBM + Standard Transformer,10/90,0.28868733884808817,0.8196237831041804,0.8194 (0.8147 - 0.8244),0.4495467181599827,0.4495 (0.4350 - 0.4621),0.47492377247397755,0.4746 (0.4645 - 0.4844),0.105951209715103,0.1060 (0.1045 - 0.1077)
LightGBM + Standard Transformer,20/80,0.33226778599832174,0.8222596722729876,0.8220 (0.8175 - 0.8271),0.45453545412740215,0.4545 (0.4399 - 0.4672),0.4781416357477013,0.4780 (0.4686 - 0.4876),0.10784833398069112,0.1079 (0.1065 - 0.1095)
LightGBM + Standard Transformer,30/70,0.3721604617646229,0.8241771351970993,0.8239 (0.8191 - 0.8290),0.4593360360866605,0.4593 (0.4446 - 0.4723),0.4814492438254815,0.4814 (0.4725 - 0.4913),0.11119194753506302,0.1113 (0.1099 - 0.1127)
LightGBM + Standard Transformer,40/60,0.41763506918823917,0.8256317249365344,0.8254 (0.8206 - 0.8305),0.4641308967296373,0.4641 (0.4496 - 0.4778),0.4835607246700962,0.4834 (0.4738 - 0.4928),0.11598205375369823,0.1160 (0.1147 - 0.1174)
LightGBM + Standard Transformer,50/50,0.45333751274172973,0.8267175158226839,0.8265 (0.8218 - 0.8316),0.46897377512346683,0.4689 (0.4549 - 0.4830),0.485630107287787,0.4854 (0.4768 - 0.4948),0.12221864816943852,0.1223 (0.1209 - 0.1237)
LightGBM + Standard Transformer,60/40,0.49977430776139115,0.8274847444168678,0.8272 (0.8227 - 0.8324),0.47378980583877184,0.4737 (0.4604 - 0.4874),0.4875753228120516,0.4874 (0.4779 - 0.4965),0.12990173464118554,0.1299 (0.1286 - 0.1314)
LightGBM + Standard Transformer,70/30,0.5350148493727576,0.8279448666195452,0.8277 (0.8232 - 0.8329),0.4786616226549603,0.4785 (0.4660 - 0.4919),0.4886583836771914,0.4886 (0.4792 - 0.4973),0.13903131171725847,0.1391 (0.1375 - 0.1407)
LightGBM + Standard Transformer,80/20,0.5836684050294164,0.8281325348391584,0.8279 (0.8235 - 0.8330),0.48332305544998,0.4832 (0.4709 - 0.4963),0.4885523279891143,0.4884 (0.4790 - 0.4974),0.14960737837390156,0.1496 (0.1480 - 0.1514)
LightGBM + Standard Transformer,90/10,0.6228213268428329,0.8280600199501358,0.8278 (0.8235 - 0.8329),0.4866662127093367,0.4865 (0.4741 - 0.4992),0.4885132722294965,0.4884 (0.4788 - 0.4979),0.1616299360908767,0.1617 (0.1599 - 0.1635)
XGBoost + Standard Transformer,10/90,0.2508017122745514,0.8184676517792038,0.8182 (0.8135 - 0.8234),0.45098271503840315,0.4510 (0.4363 - 0.4637),0.4739963264235109,0.4737 (0.4642 - 0.4837),0.10490370096520604,0.1050 (0.1033 - 0.1070)
XGBoost + Standard Transformer,20/80,0.2558179199695587,0.8206760710866561,0.8204 (0.8159 - 0.8256),0.4577316824683271,0.4577 (0.4429 - 0.4706),0.47617516213753547,0.4760 (0.4663 - 0.4855),0.10438235106542113,0.1045 (0.1028 - 0.1065)
XGBoost + Standard Transformer,30/70,0.25661951303482056,0.8224280142212601,0.8222 (0.8176 - 0.8273),0.46409212169817105,0.4640 (0.4499 - 0.4774),0.48030262091326664,0.4801 (0.4704 - 0.4901),0.10393652692935887,0.1040 (0.1024 - 0.1060)
XGBoost + Standard Transformer,40/60,0.2509414255619049,0.8237519874777293,0.8235 (0.8189 - 0.8286),0.470115501661834,0.4700 (0.4564 - 0.4838),0.4822627037392138,0.4821 (0.4726 - 0.4917),0.10356622886610628,0.1036 (0.1020 - 0.1057)
XGBoost + Standard Transformer,50/50,0.25654181838035583,0.8246411525482866,0.8244 (0.8198 - 0.8296),0.475227568575042,0.4751 (0.4617 - 0.4885),0.48358634296048664,0.4834 (0.4744 - 0.4926),0.10327145683400892,0.1034 (0.1017 - 0.1054)
XGBoost + Standard Transformer,60/40,0.26911935210227966,0.8251636700833056,0.8249 (0.8203 - 0.8302),0.4793349681944302,0.4792 (0.4665 - 0.4922),0.4845306764551652,0.4844 (0.4741 - 0.4939),0.1030522105246015,0.1031 (0.1015 - 0.1052)
XGBoost + Standard Transformer,70/30,0.2665278911590576,0.8253251594884483,0.8251 (0.8205 - 0.8303),0.482139643315818,0.4820 (0.4695 - 0.4946),0.486191691807844,0.4860 (0.4764 - 0.4957),0.1029084903899273,0.1030 (0.1014 - 0.1051)
