Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Model
0.6687158208522309,0.827732847048924,0.48648380293241467,0.48789754274158953,0.8203452501236107,0.4334712543554007,0.5579537491240364,0.8678838047839115,0.17509898437493,3981,34179,5203,3154,Texas Cohort,LightGBM
0.2688508927822113,0.823696389526524,0.48240452975072035,0.4849610545236669,0.8152073435518198,0.42354788069073784,0.5672039243167484,0.8601391498654207,0.10293048548014615,4047,33874,5508,3088,Texas Cohort,XGBoost
0.2481443295667493,0.8213743632037189,0.479605158306727,0.4806526542405529,0.8029322613238171,0.403385317611259,0.5945339873861247,0.8406886394799654,0.10323683471623035,4242,33108,6274,2893,Texas Cohort,CatBoost
0.19999029261925652,0.7987466447717445,0.4350442450486058,0.4635989774369234,0.7925059655609777,0.38410535040058935,0.58458304134548,0.8301762226397846,0.11157961842940184,4171,32694,6688,2964,Texas Cohort,Random Forest
0.2095734392164263,0.8069067762665487,0.44070370422805455,0.46733111849390924,0.7931938861061547,0.3862700228832952,0.5914505956552207,0.8297445533492458,0.10849143473241712,4220,32677,6705,2915,Texas Cohort,Gradient Boosting
0.22931766729596578,0.8151554125108185,0.46367514727406944,0.4770088248954947,0.8063503665326655,0.4071761324214491,0.5757533286615277,0.8481285866639582,0.10459420629960967,4108,33401,5981,3027,Texas Cohort,Logistic Regression
0.2773366868495941,0.8076572107028359,0.4542904492274228,0.47314863831539317,0.8074467399015414,0.4076626799108048,0.5637000700770848,0.8516073332994769,0.10574444315742287,4022,33538,5844,3113,Texas Cohort,Standard MLP
0.2510477900505066,0.8153488656220741,0.44416732701279077,0.4703602848764139,0.7825741126899843,0.37547027840481567,0.6294323756131744,0.8103194352749987,0.1055005769800692,4491,31912,7470,2644,Texas Cohort,Standard Transformer
0.21559058129787445,0.816831397580353,0.46120825063623244,0.47376753835235025,0.7927854332824559,0.3880343409050259,0.6081289418360196,0.8262404144025189,0.1048813002371874,4339,32539,6843,2796,Texas Cohort,SAINT Transformer
0.24479861557483673,0.8181501162120851,0.4599377547420166,0.4756762836735842,0.7995786486660791,0.39723839939883526,0.5927119831814996,0.8370575389771977,0.10447219872325876,4229,32965,6417,2906,Texas Cohort,HIR-M3 Transformer
0.28564987556250643,0.8262432472377987,0.47949022034620004,0.4847850119276197,0.8096394866392932,0.4144448865897334,0.5838822704975473,0.850540856228734,0.10359546017284173,4166,33496,5886,2969,Texas Cohort,Optimized Ensemble
