Cohort,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,LightGBM,ROC_AUC,0.8300581401677847,0.8253643753314769,0.8344577159508488,0.8301 (0.8254 - 0.8345)
Texas Cohort,LightGBM,PR_AUC,0.48470715170970485,0.4719474677038344,0.49629485641839544,0.4847 (0.4719 - 0.4963)
Texas Cohort,LightGBM,F1_Score,0.48755589264780297,0.47836846233769187,0.4961976456596585,0.4876 (0.4784 - 0.4962)
Texas Cohort,LightGBM,Accuracy,0.7949961304469333,0.791402068061139,0.7986418943612013,0.7950 (0.7914 - 0.7986)
Texas Cohort,LightGBM,Precision,0.3954961148286895,0.3861867533242425,0.40403146085465236,0.3955 (0.3862 - 0.4040)
Texas Cohort,LightGBM,Recall_Sensitivity,0.6355214721118381,0.6258178338925555,0.6469683636332904,0.6355 (0.6258 - 0.6470)
Texas Cohort,LightGBM,Specificity,0.8239065328975266,0.8203311392680416,0.8274428288356205,0.8239 (0.8203 - 0.8274)
Texas Cohort,LightGBM,Brier_Score,0.1742812228829449,0.17256462764783825,0.1760181998033478,0.1743 (0.1726 - 0.1760)
Texas Cohort,XGBoost,ROC_AUC,0.825607725201739,0.8214019866132786,0.8300859203465845,0.8256 (0.8214 - 0.8301)
Texas Cohort,XGBoost,PR_AUC,0.47957704041872207,0.4672737905065666,0.4917640186637568,0.4796 (0.4673 - 0.4918)
Texas Cohort,XGBoost,F1_Score,0.48281049744759136,0.4726423744731304,0.49178405318631147,0.4828 (0.4726 - 0.4918)
Texas Cohort,XGBoost,Accuracy,0.8009132145237225,0.797147816927145,0.8045451125395017,0.8009 (0.7971 - 0.8045)
Texas Cohort,XGBoost,Precision,0.4014546532607763,0.39155477267167216,0.4103066498355042,0.4015 (0.3916 - 0.4103)
Texas Cohort,XGBoost,Recall_Sensitivity,0.6055636197380818,0.5945325345333924,0.6157375385656203,0.6056 (0.5945 - 0.6157)
Texas Cohort,XGBoost,Specificity,0.8363268898538255,0.8327651077439935,0.8397285568723725,0.8363 (0.8328 - 0.8397)
Texas Cohort,XGBoost,Brier_Score,0.10292589638093187,0.10106485668721678,0.10479761537977568,0.1029 (0.1011 - 0.1048)
Texas Cohort,Random Forest,ROC_AUC,0.7673443291029142,0.7607241482063611,0.7737097748222926,0.7673 (0.7607 - 0.7737)
Texas Cohort,Random Forest,PR_AUC,0.3865401178508421,0.3753660925406881,0.3991712517060642,0.3865 (0.3754 - 0.3992)
Texas Cohort,Random Forest,F1_Score,0.421171585717255,0.41135089028598976,0.43026152451712507,0.4212 (0.4114 - 0.4303)
Texas Cohort,Random Forest,Accuracy,0.7758379732140938,0.7718237418578154,0.7792468344906163,0.7758 (0.7718 - 0.7792)
Texas Cohort,Random Forest,Precision,0.3488132327635003,0.338776246766211,0.35724738971027775,0.3488 (0.3388 - 0.3572)
Texas Cohort,Random Forest,Recall_Sensitivity,0.5314498360444329,0.5206423425265091,0.5425124940281041,0.5314 (0.5206 - 0.5425)
Texas Cohort,Random Forest,Specificity,0.8201414034420412,0.8165078889611634,0.8233196062622576,0.8201 (0.8165 - 0.8233)
Texas Cohort,Random Forest,Brier_Score,0.11922126766454305,0.11689571254376954,0.1215037450620027,0.1192 (0.1169 - 0.1215)
Texas Cohort,Gradient Boosting,ROC_AUC,0.7651601492132937,0.759536700293128,0.7707141312138283,0.7652 (0.7595 - 0.7707)
Texas Cohort,Gradient Boosting,PR_AUC,0.3802522414782958,0.36820076265038176,0.3920824674721449,0.3803 (0.3682 - 0.3921)
Texas Cohort,Gradient Boosting,F1_Score,0.4202442383941709,0.4111470884472333,0.4292310282401054,0.4202 (0.4111 - 0.4292)
Texas Cohort,Gradient Boosting,Accuracy,0.7540542167379667,0.7496598017928929,0.7575010211320593,0.7541 (0.7497 - 0.7575)
Texas Cohort,Gradient Boosting,Precision,0.3292227169203765,0.3211792520298845,0.3375093881982628,0.3292 (0.3212 - 0.3375)
Texas Cohort,Gradient Boosting,Recall_Sensitivity,0.5808783378354526,0.5696297747038467,0.5910930136789392,0.5809 (0.5696 - 0.5911)
Texas Cohort,Gradient Boosting,Specificity,0.7854484112220323,0.7818957800702817,0.7890456099273875,0.7854 (0.7819 - 0.7890)
Texas Cohort,Gradient Boosting,Brier_Score,0.11750881550210414,0.11520430304734301,0.119629311319151,0.1175 (0.1152 - 0.1196)
Texas Cohort,Logistic Regression,ROC_AUC,0.8005871306586195,0.7951433649338361,0.805674834423997,0.8006 (0.7951 - 0.8057)
Texas Cohort,Logistic Regression,PR_AUC,0.43530917166068156,0.421395499962068,0.4469861201436529,0.4353 (0.4214 - 0.4470)
Texas Cohort,Logistic Regression,F1_Score,0.46808247148950677,0.4581072571661714,0.4772536796688114,0.4681 (0.4581 - 0.4773)
Texas Cohort,Logistic Regression,Accuracy,0.8057666014575317,0.802585076423673,0.8092772534772233,0.8058 (0.8026 - 0.8093)
Texas Cohort,Logistic Regression,Precision,0.4037094513635382,0.3933536834091996,0.41299738485321735,0.4037 (0.3934 - 0.4130)
Texas Cohort,Logistic Regression,Recall_Sensitivity,0.5569271323770977,0.5448909909859347,0.5709920374177117,0.5569 (0.5449 - 0.5710)
Texas Cohort,Logistic Regression,Specificity,0.8508775338662828,0.8474202662555422,0.8541108953182892,0.8509 (0.8474 - 0.8541)
Texas Cohort,Logistic Regression,Brier_Score,0.10786836227851022,0.10584698176144797,0.10982845340153963,0.1079 (0.1058 - 0.1098)
