Cohort,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,572939.0,2570.0,LightGBM,ROC_AUC,0.8214917598946028,0.8184191856254074,0.8246304116303466,0.8215 (0.8184 - 0.8246)
Nationwide Cohort,572939.0,2570.0,LightGBM,PR_AUC,0.4247665050645451,0.41725432731247175,0.433129414480344,0.4248 (0.4173 - 0.4331)
Nationwide Cohort,572939.0,2570.0,LightGBM,F1_Score,0.4465840986055863,0.4415974273980667,0.4534686208048152,0.4466 (0.4416 - 0.4535)
Nationwide Cohort,572939.0,2570.0,LightGBM,Accuracy,0.8077199619506404,0.8055723548713651,0.8102074388243097,0.8077 (0.8056 - 0.8102)
Nationwide Cohort,572939.0,2570.0,LightGBM,Precision,0.3578536306115568,0.35240210678778056,0.36495890089603406,0.3579 (0.3524 - 0.3650)
Nationwide Cohort,572939.0,2570.0,LightGBM,Recall_Sensitivity,0.5938488804174976,0.586076189184036,0.6012835594122922,0.5938 (0.5861 - 0.6013)
Nationwide Cohort,572939.0,2570.0,LightGBM,Specificity,0.8398600350873727,0.8373582449425265,0.8420774919356727,0.8399 (0.8374 - 0.8421)
Nationwide Cohort,572939.0,2570.0,LightGBM,Brier_Score,0.17770199440234927,0.17678102566186088,0.17869627606233995,0.1777 (0.1768 - 0.1787)
Nationwide Cohort,572939.0,2570.0,XGBoost,ROC_AUC,0.8144171920451305,0.8112559954665218,0.81791572075636,0.8144 (0.8113 - 0.8179)
Nationwide Cohort,572939.0,2570.0,XGBoost,PR_AUC,0.4175609451216161,0.41020059873224357,0.4261457273015531,0.4176 (0.4102 - 0.4261)
Nationwide Cohort,572939.0,2570.0,XGBoost,F1_Score,0.44028279644189233,0.4348001310835586,0.44748022418159805,0.4403 (0.4348 - 0.4475)
Nationwide Cohort,572939.0,2570.0,XGBoost,Accuracy,0.8193869776939994,0.8174826334345656,0.8215037787551924,0.8194 (0.8175 - 0.8215)
Nationwide Cohort,572939.0,2570.0,XGBoost,Precision,0.3699048553174521,0.36407716451039007,0.37734606391238323,0.3699 (0.3641 - 0.3773)
Nationwide Cohort,572939.0,2570.0,XGBoost,Recall_Sensitivity,0.543755205656093,0.5363350704760091,0.5511398915277614,0.5438 (0.5363 - 0.5511)
Nationwide Cohort,572939.0,2570.0,XGBoost,Specificity,0.8608080499363502,0.8585134801507183,0.8627530985533445,0.8608 (0.8585 - 0.8628)
Nationwide Cohort,572939.0,2570.0,XGBoost,Brier_Score,0.09376794699977326,0.09263073556817421,0.09485856466576334,0.0938 (0.0926 - 0.0949)
Nationwide Cohort,572939.0,2570.0,CatBoost,ROC_AUC,0.8105861416592964,0.8073753148868013,0.8137355982377074,0.8106 (0.8074 - 0.8137)
Nationwide Cohort,572939.0,2570.0,CatBoost,PR_AUC,0.4139697325171007,0.40651172659338036,0.4230692479539495,0.4140 (0.4065 - 0.4231)
Nationwide Cohort,572939.0,2570.0,CatBoost,F1_Score,0.43752972765281883,0.43237864040909046,0.44392881884218593,0.4375 (0.4324 - 0.4439)
Nationwide Cohort,572939.0,2570.0,CatBoost,Accuracy,0.8167501832652634,0.8148656491081091,0.8190840227598003,0.8168 (0.8149 - 0.8191)
Nationwide Cohort,572939.0,2570.0,CatBoost,Precision,0.36522175499450726,0.35914231542018615,0.3718102147837827,0.3652 (0.3591 - 0.3718)
Nationwide Cohort,572939.0,2570.0,CatBoost,Recall_Sensitivity,0.5455604500726987,0.5370220820888525,0.5524081201451841,0.5456 (0.5370 - 0.5524)
Nationwide Cohort,572939.0,2570.0,CatBoost,Specificity,0.8575040740701705,0.8553098170889086,0.8594248451964067,0.8575 (0.8553 - 0.8594)
Nationwide Cohort,572939.0,2570.0,CatBoost,Brier_Score,0.09412245312780611,0.09310086493707191,0.09528501307604588,0.0941 (0.0931 - 0.0953)
Nationwide Cohort,572939.0,2570.0,Random Forest,ROC_AUC,0.7725195377024394,0.7685887275420874,0.7763688359934068,0.7725 (0.7686 - 0.7764)
Nationwide Cohort,572939.0,2570.0,Random Forest,PR_AUC,0.3578363947942528,0.35030722317026786,0.36559717973916345,0.3578 (0.3503 - 0.3656)
Nationwide Cohort,572939.0,2570.0,Random Forest,F1_Score,0.3991753801976729,0.3941045306316625,0.406271994912915,0.3992 (0.3941 - 0.4063)
Nationwide Cohort,572939.0,2570.0,Random Forest,Accuracy,0.7958064107934513,0.7934423761650434,0.7982262540580165,0.7958 (0.7934 - 0.7982)
Nationwide Cohort,572939.0,2570.0,Random Forest,Precision,0.3242259511725636,0.31907475845505456,0.3303419744895956,0.3242 (0.3191 - 0.3303)
