Ensemble Model,Split Ratio (Base/HIR),Threshold,ROC_AUC,ROC_AUC [95% CI],PR_AUC,PR_AUC [95% CI],F1_Score,F1 Score [95% CI],Brier_Score,Brier [95% CI]
LightGBM + Optimized Ensemble,10/90,0.32737880764450106,0.8304655348398347,0.8304 (0.8254 - 0.8350),0.48415621749034543,0.4840 (0.4708 - 0.4963),0.4896386080545161,0.4896 (0.4805 - 0.4989),0.10787912423632935,0.1079 (0.1064 - 0.1095)
LightGBM + Optimized Ensemble,20/80,0.36501699859968767,0.830872028908301,0.8308 (0.8258 - 0.8353),0.4853863931420795,0.4852 (0.4723 - 0.4977),0.49057458250778374,0.4906 (0.4811 - 0.4992),0.11073617011763189,0.1108 (0.1094 - 0.1122)
LightGBM + Optimized Ensemble,30/70,0.4003600822379078,0.8310745659542952,0.8310 (0.8261 - 0.8355),0.4864243926291134,0.4862 (0.4733 - 0.4988),0.49030941856511395,0.4903 (0.4808 - 0.4991),0.11472456525146342,0.1147 (0.1135 - 0.1161)
LightGBM + Optimized Ensemble,40/60,0.4385088576386501,0.831139443576345,0.8311 (0.8262 - 0.8356),0.4872482022312665,0.4870 (0.4742 - 0.4998),0.4901240238860818,0.4901 (0.4804 - 0.4989),0.1198443096378241,0.1199 (0.1186 - 0.1211)
LightGBM + Optimized Ensemble,50/50,0.4773697341866437,0.8311127380538073,0.8310 (0.8262 - 0.8355),0.48776298081175007,0.4875 (0.4746 - 0.5005),0.49014807042089314,0.4901 (0.4807 - 0.4988),0.12609540327671376,0.1261 (0.1249 - 0.1274)
LightGBM + Optimized Ensemble,60/40,0.4929940853959403,0.8310086811810091,0.8309 (0.8261 - 0.8354),0.4880193901548317,0.4878 (0.4749 - 0.5009),0.48984247691472016,0.4897 (0.4811 - 0.4990),0.13347784616813255,0.1335 (0.1322 - 0.1348)
LightGBM + Optimized Ensemble,70/30,0.5305798387825016,0.8308519250307937,0.8308 (0.8260 - 0.8352),0.4879544562734959,0.4877 (0.4749 - 0.5007),0.48840142582944884,0.4883 (0.4785 - 0.4973),0.1419916383120804,0.1420 (0.1407 - 0.1433)
LightGBM + Optimized Ensemble,80/20,0.5674364380980724,0.8306493310433869,0.8306 (0.8258 - 0.8350),0.487462658104021,0.4872 (0.4742 - 0.4997),0.48815323294951285,0.4881 (0.4787 - 0.4971),0.15163677970855732,0.1516 (0.1502 - 0.1530)
LightGBM + Optimized Ensemble,90/10,0.5914383709320703,0.8304125864437373,0.8303 (0.8256 - 0.8348),0.4864773966137516,0.4862 (0.4733 - 0.4982),0.4880316306903184,0.4879 (0.4788 - 0.4964),0.1624132703575633,0.1624 (0.1608 - 0.1639)
XGBoost + Optimized Ensemble,10/90,0.28688526460166575,0.8300038752190153,0.8299 (0.8249 - 0.8345),0.4844610962155004,0.4843 (0.4712 - 0.4967),0.4894313453536754,0.4894 (0.4805 - 0.4989),0.10546777783024483,0.1055 (0.1039 - 0.1072)
XGBoost + Optimized Ensemble,20/80,0.28044946704097196,0.8301049177557809,0.8300 (0.8251 - 0.8346),0.48565952338435076,0.4854 (0.4726 - 0.4979),0.4894951050489495,0.4895 (0.4805 - 0.4986),0.10486114359440843,0.1049 (0.1033 - 0.1066)
XGBoost + Optimized Ensemble,30/70,0.2745890313208085,0.8300573716762096,0.8300 (0.8251 - 0.8345),0.48623717232490393,0.4860 (0.4732 - 0.4986),0.4886649874055415,0.4886 (0.4798 - 0.4979),0.10433352490018326,0.1044 (0.1027 - 0.1061)
XGBoost + Optimized Ensemble,40/60,0.281308464894617,0.8298611871565655,0.8298 (0.8250 - 0.8343),0.48629007071056407,0.4860 (0.4734 - 0.4987),0.4887943914492587,0.4888 (0.4795 - 0.4979),0.10388492174715971,0.1039 (0.1023 - 0.1056)
XGBoost + Optimized Ensemble,50/50,0.2699125635718864,0.8295152716334928,0.8294 (0.8248 - 0.8339),0.48583368819415645,0.4856 (0.4727 - 0.4982),0.4878321053806654,0.4878 (0.4787 - 0.4964),0.10351533412799262,0.1036 (0.1019 - 0.1053)
XGBoost + Optimized Ensemble,60/40,0.2687294679976003,0.8290259740745036,0.8289 (0.8244 - 0.8333),0.4850025823820421,0.4847 (0.4719 - 0.4973),0.4879262568568682,0.4878 (0.4775 - 0.4971),0.10322476204246162,0.1033 (0.1015 - 0.1050)
XGBoost + Optimized Ensemble,70/30,0.27031483608633833,0.828401999398058,0.8283 (0.8238 - 0.8327),0.4839681445485253,0.4837 (0.4710 - 0.4961),0.486191691807844,0.4861 (0.4758 - 0.4950),0.10301320553932937,0.1031 (0.1013 - 0.1048)
XGBoost + Optimized Ensemble,80/20,0.2682071185692755,0.827631724438297,0.8275 (0.8232 - 0.8319),0.48272522132074247,0.4824 (0.4699 - 0.4947),0.4856039325842697,0.4854 (0.4753 - 0.4953),0.10288066455035859,0.1029 (0.1012 - 0.1047)
XGBoost + Optimized Ensemble,90/10,0.2651361817181805,0.8267388190286955,0.8266 (0.8224 - 0.8311),0.48139254498480244,0.4811 (0.4686 - 0.4933),0.4845778743904589,0.4844 (0.4741 - 0.4940),0.10282713918521974,0.1029 (0.1011 - 0.1047)
Random Forest + Optimized Ensemble,10/90,0.2752571791132441,0.8290107671584851,0.8290 (0.8239 - 0.8337),0.4811572420779772,0.4810 (0.4675 - 0.4937),0.48784449618279285,0.4879 (0.4792 - 0.4971),0.1064732974240363,0.1065 (0.1049 - 0.1082)
