Cohort,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,572939,2570,Standard MLP,ROC_AUC,0.7913441671605059,0.787941293578392,0.7943730486171555,0.7913 (0.7879 - 0.7944)
Nationwide Cohort,572939,2570,Standard MLP,PR_AUC,0.3854701191968445,0.37851260331750386,0.3937334748333338,0.3855 (0.3785 - 0.3937)
Nationwide Cohort,572939,2570,Standard MLP,F1_Score,0.42010230908287133,0.4145893841273237,0.4272374886132133,0.4201 (0.4146 - 0.4272)
Nationwide Cohort,572939,2570,Standard MLP,Accuracy,0.8041324135162494,0.8018963591301009,0.8063239606241491,0.8041 (0.8019 - 0.8063)
Nationwide Cohort,572939,2570,Standard MLP,Precision,0.3425501763981385,0.337283399800376,0.34931567861533297,0.3426 (0.3373 - 0.3493)
Nationwide Cohort,572939,2570,Standard MLP,Recall_Sensitivity,0.5430701622230142,0.5364256201313921,0.5503384896356617,0.5431 (0.5364 - 0.5503)
Nationwide Cohort,572939,2570,Standard MLP,Specificity,0.8433640894120993,0.8405552395792392,0.8455219124679775,0.8434 (0.8406 - 0.8455)
Nationwide Cohort,572939,2570,Standard MLP,Brier_Score,0.09649169243220414,0.0954815641371571,0.09768624343267897,0.0965 (0.0955 - 0.0977)
Nationwide Cohort,572939,2570,Standard Transformer,ROC_AUC,0.5160105976459168,0.5129628249180929,0.5191221816913743,0.5160 (0.5130 - 0.5191)
Nationwide Cohort,572939,2570,Standard Transformer,PR_AUC,0.13752724694615848,0.13514460786661953,0.14020770159511062,0.1375 (0.1351 - 0.1402)
Nationwide Cohort,572939,2570,Standard Transformer,F1_Score,0.23209417073827482,0.2290883574824344,0.23518448778247356,0.2321 (0.2291 - 0.2352)
Nationwide Cohort,572939,2570,Standard Transformer,Accuracy,0.18514508500017451,0.182732703249904,0.18747163751876286,0.1851 (0.1827 - 0.1875)
Nationwide Cohort,572939,2570,Standard Transformer,Precision,0.13234129636048003,0.13042414808871905,0.1343209106919937,0.1323 (0.1304 - 0.1343)
Nationwide Cohort,572939,2570,Standard Transformer,Recall_Sensitivity,0.9425816747955764,0.9389782964915265,0.9462371510399228,0.9426 (0.9390 - 0.9462)
Nationwide Cohort,572939,2570,Standard Transformer,Specificity,0.07131955081492249,0.06985688734726031,0.07275818315778057,0.0713 (0.0699 - 0.0728)
Nationwide Cohort,572939,2570,Standard Transformer,Brier_Score,0.11356387116873826,0.11234794716551792,0.11507526108843691,0.1136 (0.1123 - 0.1151)
Nationwide Cohort,572939,2570,SAINT Transformer,ROC_AUC,0.5165845698599425,0.5114802990698856,0.5218651516532028,0.5166 (0.5115 - 0.5219)
Nationwide Cohort,572939,2570,SAINT Transformer,PR_AUC,0.13791176195502086,0.13522009599001983,0.14100150864594918,0.1379 (0.1352 - 0.1410)
Nationwide Cohort,572939,2570,SAINT Transformer,F1_Score,0.2330988080261618,0.23017133556534605,0.23635338484529222,0.2331 (0.2302 - 0.2364)
Nationwide Cohort,572939,2570,SAINT Transformer,Accuracy,0.18072053792718262,0.1782808845603379,0.18272484902433064,0.1807 (0.1783 - 0.1827)
Nationwide Cohort,572939,2570,SAINT Transformer,Precision,0.13278918482700547,0.1309463695263636,0.1348741637596503,0.1328 (0.1309 - 0.1349)
Nationwide Cohort,572939,2570,SAINT Transformer,Recall_Sensitivity,0.953049268378849,0.9495894962280285,0.9564242451539072,0.9530 (0.9496 - 0.9564)
Nationwide Cohort,572939,2570,SAINT Transformer,Specificity,0.06465714021926736,0.0631883753261669,0.06595955287300552,0.0647 (0.0632 - 0.0660)
Nationwide Cohort,572939,2570,SAINT Transformer,Brier_Score,0.11347945814454176,0.11221781473967904,0.1150391803731767,0.1135 (0.1122 - 0.1150)
Nationwide Cohort,572939,2570,HIR-M3 Transformer,ROC_AUC,0.5193924306315367,0.5156591308937793,0.5225395898020689,0.5194 (0.5157 - 0.5225)
Nationwide Cohort,572939,2570,HIR-M3 Transformer,PR_AUC,0.13905167191234952,0.13638912359446906,0.14191284886820638,0.1391 (0.1364 - 0.1419)
Nationwide Cohort,572939,2570,HIR-M3 Transformer,F1_Score,0.23279425351306643,0.2298457252338889,0.2360966237532322,0.2328 (0.2298 - 0.2361)
Nationwide Cohort,572939,2570,HIR-M3 Transformer,Accuracy,0.18346506615003316,0.18114069536077076,0.1856496753586763,0.1835 (0.1811 - 0.1856)
Nationwide Cohort,572939,2570,HIR-M3 Transformer,Precision,0.1326852014630126,0.13078647615651745,0.1348913098050848,0.1327 (0.1308 - 0.1349)
Nationwide Cohort,572939,2570,HIR-M3 Transformer,Recall_Sensitivity,0.9482387823966322,0.944860392082458,0.9521873547311493,0.9482 (0.9449 - 0.9522)
Nationwide Cohort,572939,2570,HIR-M3 Transformer,Specificity,0.06853697020019903,0.06686761958826386,0.06999148713250178,0.0685 (0.0669 - 0.0700)
Nationwide Cohort,572939,2570,HIR-M3 Transformer,Brier_Score,0.11338711068111536,0.11214342346083662,0.11492922611726804,0.1134 (0.1121 - 0.1149)
Nationwide Cohort,572939,2570,Neural Weighted Ensemble,ROC_AUC,0.7870769501022374,0.783275620776612,0.7903650330959519,0.7871 (0.7833 - 0.7904)
Nationwide Cohort,572939,2570,Neural Weighted Ensemble,PR_AUC,0.3758344979151358,0.3692877475711972,0.3843672162110098,0.3758 (0.3693 - 0.3844)
Nationwide Cohort,572939,2570,Neural Weighted Ensemble,F1_Score,0.41725077271342587,0.41158026736919934,0.42389760598127424,0.4173 (0.4116 - 0.4239)
Nationwide Cohort,572939,2570,Neural Weighted Ensemble,Accuracy,0.8041857349809753,0.8018271983104688,0.8064046846092086,0.8042 (0.8018 - 0.8064)
Nationwide Cohort,572939,2570,Neural Weighted Ensemble,Precision,0.341342169980094,0.3361175603374903,0.3481572578212838,0.3413 (0.3361 - 0.3482)
Nationwide Cohort,572939,2570,Neural Weighted Ensemble,Recall_Sensitivity,0.5365985311770308,0.5292456745461588,0.5439400096285545,0.5366 (0.5292 - 0.5439)
Nationwide Cohort,572939,2570,Neural Weighted Ensemble,Specificity,0.8443977372241929,0.841759828583968,0.8466794969137895,0.8444 (0.8418 - 0.8467)
Nationwide Cohort,572939,2570,Neural Weighted Ensemble,Brier_Score,0.10570802066735663,0.10454267347493668,0.10702329906969996,0.1057 (0.1045 - 0.1070)
