Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort - Urban,Urban,373608,2570,LightGBM,ROC_AUC,0.8207516014618383,0.8166855363950106,0.8246459312812838,0.8208 (0.8167 - 0.8246)
Nationwide Cohort - Urban,Urban,373608,2570,LightGBM,PR_AUC,0.40156080380878073,0.39183257978786507,0.41221716806480263,0.4016 (0.3918 - 0.4122)
Nationwide Cohort - Urban,Urban,373608,2570,LightGBM,F1_Score,0.4377940787765137,0.43059178672066617,0.44497491508396014,0.4378 (0.4306 - 0.4450)
Nationwide Cohort - Urban,Urban,373608,2570,LightGBM,Accuracy,0.8142182355932657,0.8111904793768904,0.817173991595514,0.8142 (0.8112 - 0.8172)
Nationwide Cohort - Urban,Urban,373608,2570,LightGBM,Precision,0.34965379286244286,0.34303317613636447,0.35707465739626804,0.3497 (0.3430 - 0.3571)
Nationwide Cohort - Urban,Urban,373608,2570,LightGBM,Recall_Sensitivity,0.5853807961893994,0.5754839739539858,0.5943662356192335,0.5854 (0.5755 - 0.5944)
Nationwide Cohort - Urban,Urban,373608,2570,LightGBM,Specificity,0.8464834375302803,0.8436570733537151,0.8491506501578647,0.8465 (0.8437 - 0.8492)
Nationwide Cohort - Urban,Urban,373608,2570,LightGBM,Brier_Score,0.17735583121035148,0.17584529159545179,0.17884232410118733,0.1774 (0.1758 - 0.1788)
Nationwide Cohort - Urban,Urban,373608,2570,XGBoost,ROC_AUC,0.8138046162475066,0.8097059943916712,0.8177066710901953,0.8138 (0.8097 - 0.8177)
Nationwide Cohort - Urban,Urban,373608,2570,XGBoost,PR_AUC,0.39825286346417754,0.3887216351460265,0.4096013116884059,0.3983 (0.3887 - 0.4096)
Nationwide Cohort - Urban,Urban,373608,2570,XGBoost,F1_Score,0.43331778112662067,0.4261101882107586,0.4408761388648039,0.4333 (0.4261 - 0.4409)
Nationwide Cohort - Urban,Urban,373608,2570,XGBoost,Accuracy,0.808057800915393,0.80499953159712,0.8109415567035144,0.8081 (0.8050 - 0.8109)
Nationwide Cohort - Urban,Urban,373608,2570,XGBoost,Precision,0.34110772745876294,0.3345185972414094,0.348046383278325,0.3411 (0.3345 - 0.3480)
Nationwide Cohort - Urban,Urban,373608,2570,XGBoost,Recall_Sensitivity,0.5938831597235619,0.5845767043266089,0.6020982104625863,0.5939 (0.5846 - 0.6021)
Nationwide Cohort - Urban,Urban,373608,2570,XGBoost,Specificity,0.8382552976672535,0.8353493358642671,0.8408741759843176,0.8383 (0.8353 - 0.8409)
