Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Pair Name,Base Model,HIR Model,Weight Base,Weight HIR,Ensemble Ratio (Base:HIR),Optimal Threshold,Sample Size
0.624041754306799,0.8281988751437459,0.4879441241102608,0.48833554937749307,0.8180020207666014,0.42928487939645094,0.5662228451296426,0.8636178965009396,0.16068147315050615,4040,34011,5371,3095,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.9,0.1,90:10,0.624041754306799,232581
0.5917393134228955,0.8284927070684258,0.48833470461151307,0.4894922819416032,0.8229679472020982,0.43886171631836374,0.5533286615276805,0.8718196130211772,0.14787103539144514,3948,34334,5048,3187,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.8,0.2,80:20,0.5917393134228955,232581
0.5410659925244343,0.828641494979707,0.4880947215528977,0.4895933014354067,0.8165401896081003,0.4270213875847679,0.5736510161177295,0.8605454268447514,0.13666767153315917,4093,33890,5492,3042,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.7,0.3,70:30,0.5410659925244343,232581
0.4901379864722869,0.8286284874257523,0.48739114396773153,0.48856896055283616,0.8090805511963368,0.4146627565982405,0.5945339873861247,0.847950840485501,0.12707138026941167,4242,33394,5988,2893,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.6,0.4,60:40,0.4901379864722869,232581
0.4492679713520668,0.8284583536024003,0.48638472521174325,0.48829469818682575,0.8082851430659759,0.41338773924026034,0.5963559915907498,0.8466812249250927,0.11908216253604453,4255,33344,6038,2880,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.5,0.5,50:50,0.4492679713520668,232581
0.42461040734053696,0.8280878607420882,0.48506324370856113,0.4878577884905092,0.8172926027043876,0.42790697674418604,0.567344078486335,0.8625768117414047,0.11270001949075753,4048,33970,5412,3087,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.4,0.6,40:60,0.42461040734053696,232581
0.38162192237711645,0.827480786988688,0.48341356359041915,0.48653789004457654,0.8142829503192381,0.42239422084623324,0.5736510161177295,0.8578792341678939,0.10792494805685562,4093,33785,5597,3042,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.3,0.7,30:70,0.38162192237711645,232581
0.33710690538268184,0.8265202422985226,0.48148376652443314,0.48589818607372737,0.8111228153148311,0.4170768458061276,0.5819201121233357,0.8526484180590117,0.10475695160969883,4152,33579,5803,2983,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.2,0.8,20:80,0.33710690538268184,232581
0.2942658095316761,0.82501103862667,0.4792521314387683,0.4849817697783436,0.8086935958896747,0.4130520504731861,0.5872459705676244,0.8488141790665786,0.10319602792713811,4190,33428,5954,2945,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.1,0.9,10:90,0.2942658095316761,232581
0.6687158208522309,0.827732847048924,0.48648380293241467,0.48789754274158953,0.8203452501236107,0.4334712543554007,0.5579537491240364,0.8678838047839115,0.17509898437493,3981,34179,5203,3154,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,1.0,0.0,100:0,0.6687158208522309,232581
0.24967992305755615,0.8220984444424593,0.4765334016943704,0.48353276353276353,0.8051465055786057,0.40739318290926546,0.5946741415557113,0.8432786552231984,0.10324217814484205,4243,33210,6172,2892,LightGBM + HIR-M3 Transformer,LightGBM,HIR-M3 Transformer,0.0,1.0,0:100,0.24967992305755615,232581
