Cohort,Ensemble Model,Base Model,HIR Model,Ensemble Ratio,Metric,Base Value,HIR-M3 Value,Ensemble Value,Incremental Ensemble Value,Direction,Interpretation,CI Lower,CI Upper
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,ROC AUC,0.8241,0.7063,0.8239,-0.0002,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,PR AUC,0.4167,0.2631,0.4156,-0.0012,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,F1 Score,0.4494,0.3239,0.449,-0.0004,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,Recall,0.5595,0.471,0.5621,0.0025,Higher is better,Positive IEV: Ensemble improves on both individual components,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,Specificity,0.8624,0.7875,0.8608,-0.0016,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,Precision,0.3755,0.2468,0.3738,-0.0017,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,Net Benefit,,,,,N/A,Calculation Warning: Metric unavailable for one or more components,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,FPSA,0.0,0.0,0.0,0.0,Higher is better,Zero IEV: Ensemble provides no additional value beyond better component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,Brier Score,0.169,0.2645,0.173,-0.004,Lower is better,Negative IEV: Ensemble is worse than at least one component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10),XGBoost baseline,HIR-M3 Transformer,90:10,ACT-Parity Gap,0.3226,0.1941,0.3292,-0.1351,Lower is better,Negative IEV: Ensemble is worse than at least one component,,
