Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope,Subgroup,Source_File
Nationwide,Diabetes (d),LightGBM with ACT-parity,0.4562,0.7803,0.5342,0.5355,0.7189,0.4389,0.6867,1317,4527,1684,601,0.3717413972888425,0.7380952380952381,0.4163359788359789,0.1624379753474953,0.4163359788359789,0.2893869770917371,1.0,,,0.548252007174002,0.1702,0.7489,Diabetes,parity_Nationwide_Cohort_Diabetes_d.csv
Nationwide,Diabetes (d),XGBoost with ACT-parity,0.4951,0.7835,0.5279,0.541,0.7232,0.4444,0.6913,1326,4553,1658,592,0.3164754953076121,0.7142857142857143,0.4272486772486772,0.2364022770398481,0.4272486772486772,0.3318254771442627,1.0,,,0.4613964737218364,0.1783,0.843,Diabetes,parity_Nationwide_Cohort_Diabetes_d.csv
Nationwide,Diabetes (d),XGBoost baseline,0.458,0.7847,0.5278,0.5352,0.7011,0.4227,0.7294,1399,4300,1911,519,0.3253388946819603,0.5238095238095238,0.2257065427797135,0.1392073732718894,0.2257065427797135,0.1824569580258014,1.0,,,0.2337757607329886,0.1754,0.9141,Diabetes,parity_Nationwide_Cohort_Diabetes_d.csv
Nationwide,Diabetes (d),LightGBM baseline,0.4153,0.7807,0.5195,0.5304,0.7021,0.4222,0.7132,1368,4339,1872,550,0.4004171011470281,0.6428571428571429,0.2562830687830688,0.0864895635673624,0.2562830687830688,0.1713863161752156,1.0,,,0.4020049230239466,0.1671,0.7865,Diabetes,parity_Nationwide_Cohort_Diabetes_d.csv
Nationwide,Diabetes (d),HIR-M3 Transformer,0.4847,0.5461,0.2646,0.3818,0.2359,0.2359,1.0,1918,0,6211,0,0.6178310740354536,0.715,0.1324382716049382,0.2060460829493087,0.1324382716049382,0.1692421772771235,1.0,,,0.1321349057859766,0.2497,10.2613,Diabetes,parity_Nationwide_Cohort_Diabetes_d.csv
Nationwide,Diabetes (d),HIR-M3 Transformer with ACT-parity,0.1567,0.5126,0.2509,0.3821,0.2375,0.2362,0.999,1916,15,6196,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.1926,0.1227,Diabetes,parity_Nationwide_Cohort_Diabetes_d.csv
Nationwide,Diabetes (d),XGBoost + HIR-M3 Ensemble (90:10),0.4671,0.7847,0.5278,0.5354,0.7039,0.4251,0.7231,1387,4335,1876,531,0.3253388946819603,0.5238095238095238,0.2257065427797135,0.1392073732718894,0.2257065427797135,0.1824569580258014,1.0,,90:10,0.2337757607329886,0.1759,1.1002,Diabetes,parity_Nationwide_Cohort_Diabetes_d.csv
Nationwide,Diabetes (d),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.49,0.7831,0.5288,0.5402,0.7281,0.4494,0.6767,1298,4621,1590,620,0.3415015641293014,0.7380952380952381,0.4271384479717813,0.2160151802656546,0.4271384479717813,0.3215768141187179,1.0,,90:10,0.5263069516492569,0.1728,1.0081,Diabetes,parity_Nationwide_Cohort_Diabetes_d.csv
Nationwide,Heart Failure + Hypertension (hf+hyp),LightGBM baseline,0.4104,0.7634,0.6036,0.6313,0.673,0.5202,0.8026,2326,3267,2145,572,0.3033126293995859,0.4,0.1016728624535316,0.2242562929061785,0.1016728624535316,0.162964577679855,1.0,,,0.090223058769256,0.1925,0.7883,Heart Failure + Hypertension,parity_Nationwide_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv
Nationwide,Heart Failure + Hypertension (hf+hyp),LightGBM with ACT-parity,0.3501,0.7485,0.5785,0.6156,0.6412,0.4914,0.824,2388,2940,2472,510,0.3209109730848861,0.5166666666666667,0.2188042131350682,0.2184262585246499,0.2188042131350682,0.218615235829859,1.0,,,0.1843404188300817,0.2017,0.6512,Heart Failure + Hypertension,parity_Nationwide_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv
