Analysis_Cohort,Analysis_Subgroup,Source_File,Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas,Overall,parity_Texas_Cohort_Overall.csv,Texas Cohort,Overall,CatBoost with ACT-parity,0.6555,0.8076,0.4309,0.4576,0.8199,0.4105,0.5169,949,9291,1363,887,0.2903050108932462,0.7727272727272727,0.5131852879944483,0.2801204819277108,0.5131852879944483,0.3966528849610795,1.0,0.0,,0.0229811283247657,0.1713,0.9248
Texas,Overall,parity_Texas_Cohort_Overall.csv,Texas Cohort,Overall,CatBoost baseline,0.5927,0.8147,0.454,0.4665,0.7861,0.3682,0.6362,1168,8650,2004,668,0.2559912854030501,0.3636363636363636,0.172796668979875,0.2755477651183173,0.172796668979875,0.2241722170490961,1.0,0.0,,0.0111950843008159,0.1707,1.0155
Texas,Overall,parity_Texas_Cohort_Overall.csv,Texas Cohort,Overall,XGBoost with ACT-parity,0.5568,0.808,0.4334,0.4593,0.7849,0.3643,0.6215,1141,8663,1991,695,0.3202614379084967,0.7272727272727273,0.4291958041958042,0.2476733713599519,0.4291958041958042,0.3384345877778781,1.0,0.0,,0.0481444175174079,0.1603,0.8259
Texas,Overall,parity_Texas_Cohort_Overall.csv,Texas Cohort,Overall,XGBoost baseline,0.5736,0.8096,0.4436,0.4619,0.7941,0.375,0.6013,1104,8814,1840,732,0.3142701525054466,0.5,0.2633587786259542,0.2684195150452819,0.2633587786259542,0.265889146835618,1.0,0.0,,0.0261540373933009,0.1562,0.878
Texas,Overall,parity_Texas_Cohort_Overall.csv,Texas Cohort,Overall,HIR-M3 Transformer,0.5067,0.6191,0.2158,0.302,0.638,0.2107,0.5327,978,6991,3663,858,0.4493464052287582,0.5,0.099236641221374,0.4432234432234432,0.099236641221374,0.2712300422224086,1.0,0.0,,0.0124995437191239,0.2335,0.9499
Texas,Overall,parity_Texas_Cohort_Overall.csv,Texas Cohort,Overall,HIR-M3 Transformer with ACT-parity,0.1106,0.528,0.1622,0.2574,0.1685,0.1481,0.9804,1800,304,10350,36,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.1254,0.7865
Texas,Overall,parity_Texas_Cohort_Overall.csv,Texas Cohort,Overall,XGBoost + HIR-M3 Ensemble (30:70),0.5192,0.7678,0.3822,0.4249,0.7741,0.3395,0.5675,1042,8627,2027,794,0.3725490196078431,0.5454545454545454,0.2401110340041637,0.1347193347193347,0.2401110340041637,0.1874151843617492,1.0,0.0,30:70,0.0324991751691744,0.1925,1.9399
Texas,Overall,parity_Texas_Cohort_Overall.csv,Texas Cohort,Overall,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2639,0.8066,0.4212,0.4599,0.7903,0.3701,0.6073,1115,8756,1898,721,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30:70,0.0,0.1112,2.4856
Texas,Rural,parity_Texas_Cohort_Rural.csv,Texas Cohort,Rural,CatBoost with ACT-parity,0.6555,0.8076,0.4309,0.4576,0.8199,0.4105,0.5169,949,9291,1363,887,0.2903050108932462,0.7727272727272727,0.5131852879944483,0.2801204819277108,0.5131852879944483,0.3966528849610795,1.0,,,0.0229811283247657,0.1713,0.9248
Texas,Rural,parity_Texas_Cohort_Rural.csv,Texas Cohort,Rural,CatBoost baseline,0.5927,0.8147,0.454,0.4665,0.7861,0.3682,0.6362,1168,8650,2004,668,0.2559912854030501,0.3636363636363636,0.172796668979875,0.2755477651183173,0.172796668979875,0.2241722170490961,1.0,,,0.0111950843008159,0.1707,1.0155
Texas,Rural,parity_Texas_Cohort_Rural.csv,Texas Cohort,Rural,XGBoost baseline,0.5736,0.8096,0.4436,0.4619,0.7941,0.375,0.6013,1104,8814,1840,732,0.3142701525054466,0.5,0.2633587786259542,0.2684195150452819,0.2633587786259542,0.265889146835618,1.0,,,0.0261540373933009,0.1562,0.878
