Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope,Incremental Ensemble Value for ROC AUC,Incremental Ensemble Value for PR AUC,Incremental Ensemble Value for F1 Score,Incremental Ensemble Value for Brier Score,Incremental Ensemble Value for ACT-Parity Gap,Incremental Ensemble Value for FNR Gap,Incremental Ensemble Value for FPR Gap,Transportability Gap for ROC AUC,Transportability Gap for PR AUC,Transportability Gap for Brier Score,Transportability Gap for ACT-Parity Gap,Transportability Gap for FNR Gap,Transportability Gap for FPR Gap,Transportability Gap for FPSA
Nationwide Cohort,Overall,XGBoost with ACT-parity,0.6571,0.8136,0.3963,0.4352,0.813,0.3562,0.5593,4889,50284,8837,3852,0.25008580253975515,0.7333333333333333,0.49696969696969695,0.17593955966905062,0.49696969696969695,0.3364546283193738,1.0,0.0,N/A,0.1381597612469549,0.1723,0.9283,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Nationwide Cohort,Overall,XGBoost baseline,0.6554,0.8241,0.4167,0.4494,0.8234,0.3755,0.5595,4891,50985,8136,3850,0.23967509438279372,0.5333333333333333,0.3225895316804408,0.0759027878381659,0.3225895316804408,0.19924615975930335,1.0,0.0,N/A,0.07049581360746769,0.169,1.0158,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Nationwide Cohort,Overall,LightGBM baseline,0.6319,0.8256,0.4237,0.4492,0.8128,0.3616,0.5927,5181,49975,9146,3560,0.24413682645006293,0.6,0.3785123966942149,0.0945494157983412,0.3785123966942149,0.23653090624627804,1.0,0.0,N/A,0.11675374016262988,0.1647,0.995,,,,,,,,,,,,,,
Nationwide Cohort,Overall,LightGBM with ACT-parity,0.631,0.8129,0.3999,0.4335,0.799,0.3403,0.597,5218,49007,10114,3523,0.2555771650840865,0.8,0.5593495934959349,0.21673933365467477,0.5593495934959349,0.38804446357530487,1.0,0.0,N/A,0.4195898229027335,0.1716,0.8911,,,,,,,,,,,,,,
Nationwide Cohort,Overall,HIR-M3 Transformer,0.6176,0.7063,0.2631,0.3239,0.7467,0.2468,0.471,4117,46556,12565,4624,0.11589063036265873,0.29411764705882354,0.19411764705882353,0.3065079365079365,0.19411764705882353,0.25031279178338,1.0,0.0,N/A,0.029764625101919833,0.2645,1.071,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Nationwide Cohort,Overall,HIR-M3 Transformer with ACT-parity,0.11,0.655,0.2163,0.2882,0.7134,0.2119,0.4504,3937,44476,14645,4804,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,N/A,0.0,0.1093,0.8674,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Nationwide Cohort,Overall,XGBoost + HIR-M3 Ensemble (90:10),0.647,0.8239,0.4156,0.449,0.8223,0.3738,0.5621,4913,50889,8232,3828,0.23178126072531746,0.5333333333333333,0.32920110192837465,0.07517490127804019,0.32920110192837465,0.20218800160320743,1.0,0.0,90:10,0.06708062119200185,0.173,1.1223,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
Nationwide Cohort,Overall,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.5963,0.8136,0.3963,0.4358,0.8098,0.3527,0.5702,4984,49973,9148,3757,0.29104221484955956,0.7333333333333333,0.46473829201101924,0.1624158603281447,0.46473829201101924,0.31357707616958197,1.0,0.0,90:10,0.19481872619716778,0.1538,1.0714,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Nationwide Cohort,Urban,XGBoost with ACT-parity,0.6571,0.8136,0.3963,0.4352,0.813,0.3562,0.5593,4889,50284,8837,3852,0.25008580253975515,0.7333333333333333,0.49696969696969695,0.17593955966905062,0.49696969696969695,0.3364546283193738,1.0,,N/A,0.1381597612469549,0.1723,0.9283,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Nationwide Cohort,Urban,XGBoost baseline,0.6554,0.8241,0.4167,0.4494,0.8234,0.3755,0.5595,4891,50985,8136,3850,0.23967509438279372,0.5333333333333333,0.3225895316804408,0.0759027878381659,0.3225895316804408,0.19924615975930335,1.0,,N/A,0.07049581360746769,0.169,1.0158,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Nationwide Cohort,Urban,LightGBM baseline,0.6319,0.8256,0.4237,0.4492,0.8128,0.3616,0.5927,5181,49975,9146,3560,0.24413682645006293,0.6,0.3785123966942149,0.0945494157983412,0.3785123966942149,0.23653090624627804,1.0,,N/A,0.11675374016262988,0.1647,0.995,,,,,,,,,,,,,,
Nationwide Cohort,Urban,LightGBM with ACT-parity,0.631,0.8129,0.3999,0.4335,0.799,0.3403,0.597,5218,49007,10114,3523,0.2555771650840865,0.8,0.5593495934959349,0.21673933365467477,0.5593495934959349,0.38804446357530487,1.0,,N/A,0.4195898229027335,0.1716,0.8911,,,,,,,,,,,,,,
Nationwide Cohort,Urban,HIR-M3 Transformer,0.5518,0.7103,0.2681,0.3243,0.7691,0.2602,0.4302,3760,48433,10688,4981,0.36117149067612403,0.5228758169934641,0.2071733376546211,0.21531746031746032,0.2071733376546211,0.21124539898604072,1.0,,N/A,0.14659546864236286,0.2039,0.9369,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Nationwide Cohort,Urban,HIR-M3 Transformer with ACT-parity,0.1267,0.6622,0.2185,0.2917,0.6868,0.2058,0.5007,4377,42231,16890,4364,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1077,1.0063,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Nationwide Cohort,Urban,XGBoost + HIR-M3 Ensemble (90:10),0.6381,0.824,0.4153,0.4492,0.8222,0.3737,0.5629,4920,50876,8245,3821,0.2424207756549594,0.5333333333333333,0.32280701754385965,0.07732839123342833,0.32280701754385965,0.200067704388644,1.0,,90:10,0.08198580582716633,0.1686,1.1128,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
Nationwide Cohort,Urban,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.592,0.8136,0.3963,0.4358,0.8057,0.3481,0.5828,5094,49580,9541,3647,0.2885253403500744,0.7333333333333333,0.46556473829201095,0.1653607488430795,0.46556473829201095,0.3154627435675452,1.0,,90:10,0.19421860693328746,0.1548,1.0707,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Nationwide Cohort,Rural,LightGBM baseline,0.6319,0.8256,0.4237,0.4492,0.8128,0.3616,0.5927,5181,49975,9146,3560,0.24413682645006293,0.6,0.3785123966942149,0.0945494157983412,0.3785123966942149,0.23653090624627804,1.0,,N/A,0.11675374016262988,0.1647,0.995,,,,,,,,,,,,,,
Nationwide Cohort,Rural,LightGBM with ACT-parity,0.631,0.8129,0.3999,0.4335,0.799,0.3403,0.597,5218,49007,10114,3523,0.2555771650840865,0.8,0.5593495934959349,0.21673933365467477,0.5593495934959349,0.38804446357530487,1.0,,N/A,0.4195898229027335,0.1716,0.8911,,,,,,,,,,,,,,
