Cohort,Model,Threshold,Threshold Type,Accuracy,F1 Score,Precision,Recall,Specificity,ROC AUC,PR AUC,Brier Score,ACT-Parity Gap,FNR Gap,FPR Gap,Net Benefit,Acceptable Threshold,Valid Threshold,Exclusion Reason,Predicted Positive Count,Predicted Negative Count
Nationwide Cohort,XGBoost with ACT-parity,0.1,Sweep,0.3102,0.2703,0.1565,0.9919,0.2094,0.8136,0.3963,0.1723,0.2585,0.2606,0.2924,0.0512,False,True,None,55409,12453
Nationwide Cohort,XGBoost with ACT-parity,0.11,Sweep,0.3275,0.2748,0.1595,0.9891,0.2296,0.8136,0.3963,0.1723,0.2558,0.2581,0.2788,0.0445,False,True,None,54191,13671
Nationwide Cohort,XGBoost with ACT-parity,0.12,Sweep,0.3444,0.2792,0.1627,0.9859,0.2496,0.8136,0.3963,0.1723,0.2526,0.2556,0.273,0.0378,False,True,None,52983,14879
Nationwide Cohort,XGBoost with ACT-parity,0.13,Sweep,0.3624,0.2841,0.1661,0.982,0.2708,0.8136,0.3963,0.1723,0.2487,0.2523,0.279,0.0316,False,True,None,51693,16169
Nationwide Cohort,XGBoost with ACT-parity,0.14,Sweep,0.3798,0.2889,0.1695,0.978,0.2913,0.8136,0.3963,0.1723,0.2447,0.2488,0.2646,0.0255,False,True,None,50448,17414
Nationwide Cohort,XGBoost with ACT-parity,0.15,Sweep,0.3972,0.2938,0.173,0.9733,0.3121,0.8136,0.3963,0.1723,0.24,0.2441,0.278,0.0196,False,True,None,49180,18682
Nationwide Cohort,XGBoost with ACT-parity,0.16,Sweep,0.4147,0.2989,0.1767,0.9688,0.3327,0.8136,0.3963,0.1723,0.2354,0.2396,0.2705,0.0141,False,True,None,47918,19944
Nationwide Cohort,XGBoost with ACT-parity,0.17,Sweep,0.4311,0.304,0.1804,0.9644,0.3523,0.8136,0.3963,0.1723,0.2311,0.2349,0.2576,0.0086,False,True,None,46723,21139
Nationwide Cohort,XGBoost with ACT-parity,0.18,Sweep,0.4479,0.3094,0.1844,0.96,0.3722,0.8136,0.3963,0.1723,0.36,0.3638,0.2408,0.0036,False,True,None,45507,22355
Nationwide Cohort,XGBoost with ACT-parity,0.19,Sweep,0.4637,0.3145,0.1883,0.9554,0.391,0.8136,0.3963,0.1723,0.3554,0.3595,0.2292,-0.0014,False,True,None,44358,23504
Nationwide Cohort,XGBoost with ACT-parity,0.2,Sweep,0.4786,0.3192,0.1919,0.9491,0.409,0.8136,0.3963,0.1723,0.3491,0.3531,0.221,-0.0065,False,True,None,43234,24628
Nationwide Cohort,XGBoost with ACT-parity,0.21,Sweep,0.4921,0.3236,0.1953,0.9431,0.4255,0.8136,0.3963,0.1723,0.3431,0.3478,0.2112,-0.0116,False,True,None,42211,25651
Nationwide Cohort,XGBoost with ACT-parity,0.22,Sweep,0.5053,0.3279,0.1987,0.937,0.4415,0.8136,0.3963,0.1723,0.337,0.341,0.2053,-0.0165,False,True,None,41209,26653
Nationwide Cohort,XGBoost with ACT-parity,0.23,Sweep,0.5178,0.3322,0.2021,0.931,0.4567,0.8136,0.3963,0.1723,0.331,0.3342,0.1932,-0.0215,False,True,None,40260,27602
Nationwide Cohort,XGBoost with ACT-parity,0.24,Sweep,0.5307,0.337,0.206,0.926,0.4722,0.8136,0.3963,0.1723,0.326,0.3298,0.2085,-0.0259,False,True,None,39298,28564
Nationwide Cohort,XGBoost with ACT-parity,0.25,Sweep,0.5425,0.3414,0.2096,0.9206,0.4866,0.8136,0.3963,0.1723,0.3206,0.3248,0.2152,-0.0305,False,True,None,38397,29465
Nationwide Cohort,XGBoost with ACT-parity,0.26,Sweep,0.5539,0.3457,0.2131,0.915,0.5005,0.8136,0.3963,0.1723,0.315,0.3215,0.2121,-0.035,False,True,None,37528,30334
Nationwide Cohort,XGBoost with ACT-parity,0.27,Sweep,0.5641,0.3493,0.2162,0.9081,0.5133,0.8136,0.3963,0.1723,0.3748,0.3877,0.2099,-0.0399,False,True,None,36713,31149
Nationwide Cohort,XGBoost with ACT-parity,0.28,Sweep,0.5739,0.3527,0.2192,0.9012,0.5255,0.8136,0.3963,0.1723,0.4345,0.4544,0.2031,-0.0447,False,True,None,35929,31933
Nationwide Cohort,XGBoost with ACT-parity,0.29,Sweep,0.5822,0.3557,0.2219,0.8952,0.536,0.8136,0.3963,0.1723,0.4285,0.4544,0.2043,-0.0498,False,True,None,35259,32603
Nationwide Cohort,XGBoost with ACT-parity,0.3,Sweep,0.5918,0.3594,0.2252,0.8888,0.5479,0.8136,0.3963,0.1723,0.4888,0.5025,0.1988,-0.0543,False,True,None,34497,33365
Nationwide Cohort,XGBoost with ACT-parity,0.31,Sweep,0.6003,0.363,0.2284,0.884,0.5584,0.8136,0.3963,0.1723,0.484,0.4992,0.1883,-0.059,False,True,None,33835,34027
Nationwide Cohort,XGBoost with ACT-parity,0.32,Sweep,0.6086,0.3662,0.2313,0.8778,0.5688,0.8136,0.3963,0.1723,0.4778,0.4942,0.1759,-0.0637,False,True,None,33167,34695
Nationwide Cohort,XGBoost with ACT-parity,0.33,Sweep,0.617,0.3696,0.2345,0.8718,0.5793,0.8136,0.3963,0.1723,0.4718,0.4917,0.189,-0.0682,False,True,None,32491,35371
Nationwide Cohort,XGBoost with ACT-parity,0.34,Sweep,0.6255,0.3737,0.2381,0.8674,0.5897,0.8136,0.3963,0.1723,0.5341,0.5559,0.1771,-0.0724,False,True,None,31838,36024
Nationwide Cohort,XGBoost with ACT-parity,0.35,Sweep,0.6336,0.3773,0.2415,0.862,0.5998,0.8136,0.3963,0.1723,0.5287,0.5501,0.1759,-0.0767,False,True,None,31196,36666
