Standardized Model Name,Nationwide Model Name,Texas Model Name,Nationwide Ensemble Ratio,Texas Ensemble Ratio,Metric,Direction,Nationwide Value,Texas Value,Transportability Gap,Worst-Cohort Value,Comparison Available,Notes
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,ROC_AUC,Higher is better,0.8241,0.8096,0.0145,0.8096,True,Matched cross-cohort family comparison
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,PR_AUC,Higher is better,0.4167,0.4436,0.0269,0.4167,True,Matched cross-cohort family comparison
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,F1_Score,Higher is better,0.4494,0.4619,0.0125,0.4494,True,Matched cross-cohort family comparison
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,Brier_Score,Lower is better,0.169,0.1562,0.0128,0.169,True,Matched cross-cohort family comparison
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,Precision,Higher is better,0.3755,0.375,0.0005,0.375,True,Matched cross-cohort family comparison
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,Recall,Higher is better,0.5595,0.6013,0.0418,0.5595,True,Matched cross-cohort family comparison
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,Specificity,Higher is better,,,,,True,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,FNR_Gap_DGAP,Lower is better,0.3226,0.2634,0.0592,0.3226,True,Matched cross-cohort family comparison
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,Equalized_Odds_Difference_EOD,Lower is better,0.1992,0.2659,0.0666,0.2659,True,Matched cross-cohort family comparison
XGBoost baseline,XGBoost baseline,XGBoost baseline,N/A,N/A,Fairness-Performance Stability Area,Higher is better,0.0,0.0,0.0,0.0,True,Matched cross-cohort family comparison
HIR-M3 Transformer,HIR-M3 Transformer,HIR-M3 Transformer,N/A,N/A,ROC_AUC,Higher is better,0.7063,0.6191,0.0872,0.6191,True,Matched cross-cohort family comparison
HIR-M3 Transformer,HIR-M3 Transformer,HIR-M3 Transformer,N/A,N/A,PR_AUC,Higher is better,0.2631,0.2158,0.0473,0.2158,True,Matched cross-cohort family comparison
HIR-M3 Transformer,HIR-M3 Transformer,HIR-M3 Transformer,N/A,N/A,F1_Score,Higher is better,0.3239,0.302,0.0219,0.302,True,Matched cross-cohort family comparison
