Cohort,Model Name,Optimal_Threshold,Overall_ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,AUC_Retention_Ratio,Overall_FNR,Worst_Group_FNR,FNR_Gap,Equalized_Odds_Difference,Generalized_Entropy_Index,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas,LightGBM,0.4162,0.6904,0.3092,0.3522,0.6993,0.2577,0.5561,1021,7713,2941,815,1.0,0.590958605664488,0.6190476190476191,0.0808796801163214,0.14913549223207373,1.6827885228419932,0.04427776915328535,0.16466543870207628,0.7569782883660964
Texas,XGBoost,0.5187,0.6894,0.3121,0.3557,0.7668,0.2994,0.4379,804,8773,1881,1032,1.0,0.539760348583878,0.6666666666666666,0.2124681933842239,0.2366688793008076,1.501590541728585,0.04540869208541824,0.17699721881505717,0.7920411753421159
Texas,CatBoost,0.5483,0.7022,0.327,0.3692,0.7691,0.3085,0.4597,844,8762,1892,992,1.0185,0.4662309368191721,0.5714285714285714,0.2241003271537622,0.1901308488810427,1.2586506783584226,0.0638505490551085,0.19602382669288376,0.9657956156713815
Texas,Random Forest,0.5077,0.6814,0.2834,0.3381,0.701,0.2506,0.5196,954,7801,2853,882,0.9884,0.4542483660130719,0.4772727272727273,0.12231089521165861,0.1312486350805066,1.072249047124041,0.030640871810091504,0.21531830951093028,1.707892463892138
Texas,Logistic Regression,0.5668,0.6989,0.3101,0.3638,0.7457,0.2877,0.4946,908,8406,2248,928,1.0137,0.3959694989106754,0.6190476190476191,0.3022537259178481,0.28459910929798754,1.0473176010817244,0.027534460161115652,0.21240608937762553,0.8010030042257809
Texas,HIR-M3 Transformer,0.5671,0.7002,0.3147,0.3643,0.7471,0.2889,0.4929,905,8426,2228,931,1.0156,0.3698257080610022,0.6190476190476191,0.3137041075972374,0.1950328899824739,0.9492866759769008,0.009048939681370924,0.21406435009947813,0.7287902979353537
Texas,70% XGBoost : 30% HIR-M3 Ensemble,0.4982,0.7025,0.3236,0.3649,0.7383,0.2836,0.5114,939,8282,2372,897,1.019,0.4929193899782135,0.6190476190476191,0.21065067248273356,0.1588370419269855,1.4221189521084312,0.03935897295289767,0.18308116183663484,0.8849609998426909
Texas,ACT-Parity v2,0.4608,0.6095,0.2098,0.2907,0.6163,0.1996,0.5349,982,6715,3939,854,0.8841,0.5778867102396514,0.6059850374064838,0.13651938855152196,0.13300271779786,1.0996343573488245,0.048891586221435676,0.20659384661585609,0.7401954344794505
Texas,70% GBDT : 30% ACT-Parity Ensemble,0.4748,0.6922,0.3064,0.3549,0.7336,0.2755,0.4984,915,8248,2406,921,1.004,0.5555555555555556,0.6666666666666666,0.20865139949109412,0.18136453750673245,1.5733601252930214,0.06415634421099123,0.17888776036773635,1.0778894975786693
Texas,HIR-M3 + ACT-Parity Hybrid,0.4689,0.6135,0.216,0.2912,0.6279,0.2022,0.5202,955,6887,3767,881,0.8899,0.5827886710239651,0.6334164588528678,0.18685157335668456,0.16951274320008142,1.1309667663630443,0.09176528378061428,0.20977297982548107,0.8279644499774075
